stock_code,parent_stock_type,parent_stock_code,stock_available
GL34041-BLK-XL,"Bra Set",GL34041,2,"Glitter\34041-F"
GL34041X-BLK-1X,"Bra Set",GL34041X,2,"Glitter\34041X-BLACK-F"
GL34041X-BLK-2X,"Bra Set",GL34041X,1,"Glitter\34041X-BLACK-F"
GL34041X-BLK-3X,"Bra Set",GL34041X,2,"Glitter\34041X-BLACK-F"
GL34044X-RED-1X,"Bra Set",GL34044X,2,"Glitter\34044X-RED-F.jpg","Glitter\34044X-RED-B.jpg"
GL34044X-RED-2X,"Bra Set",GL34044X,2,"Glitter\34044X-RED-F.jpg","Glitter\34044X-RED-B.jpg"
GL34044X-RED-3X,"Bra Set",GL34044X,1,"Glitter\34044X-RED-F.jpg","Glitter\34044X-RED-B.jpg"
GL35002,Teddy,GL35002,8,"Glitter\35002-BLAC"
GL35019X-BLK-QUEEN,Teddy,GL35019X,1,"Glitter\35019X-BLAC-F"
GL35019X-RED-QUEEN,Teddy,GL35019X,2,"Glitter\35019X-RED-F"
GL35053,Teddy,GL35053,2,"Glitter\35053-NAVY-F"
GL35063-BLK-S/M,Teddy,GL35063,2,"Glitter\35063-BLAC-F"
GL35063-BLK-L/XL,Teddy,GL35063,1,"Glitter\35063-BLAC-F"
GL35065-NVY-L,Teddy,GL35065-NVY-L,1,"Glitter\35065-NAVY-F"
GL35065X-NVY-1X,Teddy,GL35065X,1,"Glitter\35065X-NAVY-F"
GL35065X-NVY-2X,Teddy,GL35065X,1,"Glitter\35065X-NAVY-F"
GL35065X-NVY-3X,Teddy,GL35065X,1,"Glitter\35065X-NAVY-F"
GL35065X-RED-1X,Teddy,GL35065X,0,"Glitter\35065X-RED-F"
GL35065X-RED-2X,Teddy,GL35065X,0,"Glitter\35065X-RED-F"
GL35065X-RED-3X,Teddy,GL35065X,0,"Glitter\35065X-RED-F"
GL35068-BLK-S,Teddy,GL35068,2,"Glitter\35068-BLAC-F"
GL35068-BLK-M,Teddy,GL35068,2,"Glitter\35068-BLAC-F"
GL35068-BLK-L,Teddy,GL35068,2,"Glitter\35068-BLAC-F"
GL35068-BLK-XL,Teddy,GL35068,2,"Glitter\35068-BLAC-F"
GL35068X-BLK-1X,Teddy,GL35068X,2,"Glitter\35068X-BLAC-F"
GL35068X-BLK-2X,Teddy,GL35068X,2,"Glitter\35068X-BLAC-F"
GL35068X-BLK-3X,Teddy,GL35068X,0,"Glitter\35068X-BLAC-F"
GL35070,Teddy,GL35070,1,"Glitter\35070-BLAC-F"
GL35070X,Teddy,GL35070X,3,"Glitter\35070X-BLAC-F"
GL35072-LBLU-S,Teddy,GL35072,1,"Glitter\35072-L-BL-F"
GL35072-LBLU-M,Teddy,GL35072,0,"Glitter\35072-L-BL-F"
GL35072-LBLU-L,Teddy,GL35072,0,"Glitter\35072-L-BL-F"
GL35072-LBLU-XL,Teddy,GL35072,0,"Glitter\35072-L-BL-F"
GL35074-GRN-S,Teddy,GL35074,1,"Glitter\35074-GREE-F"
GL35074-GRN-M,Teddy,GL35074,1,"Glitter\35074-GREE-F"
GL35074-GRN-L,Teddy,GL35074,0,"Glitter\35074-GREE-F"
GL35074-GRN-XL,Teddy,GL35074,0,"Glitter\35074-GREE-F"
GL35075,Teddy,GL35075,2,"Glitter\35075-BLAC-F"
GL35078X,Teddy,GL35078X,2,"Glitter\35078X-BLAC-F"
GL35079-BLK-S,Teddy,GL35079,1,"Glitter\35079-BLAC-F"
GL35079-BLK-M,Teddy,GL35079,2,"Glitter\35079-BLAC-F"
GL35079-BLK-L,Teddy,GL35079,2,"Glitter\35079-BLAC-F"
GL35079-BLK-XL,Teddy,GL35079,0,"Glitter\35079-BLAC-F"
GL35084,Teddy,GL35084,2,"Glitter\35084-BLAC-F"
GL35085,Teddy,GL35085,3,"Glitter\35085-TEAL-F"
GL35086-BLK-S,Teddy,GL35086,2,"Glitter\35086-BLAC-F"
GL35086-BLK-M,Teddy,GL35086,2,"Glitter\35086-BLAC-F"
GL35086-BLK-L,Teddy,GL35086,2,"Glitter\35086-BLAC-F"
GL35086-BLK-XL,Teddy,GL35086,1,"Glitter\35086-BLAC-F"
GL35086X-BLK-1X,Teddy,GL35086X,2,"Glitter\35086X-BLACK-F"
GL35086X-BLK-2X,Teddy,GL35086X,3,"Glitter\35086X-BLACK-F"
GL35086X-BLK-3X,Teddy,GL35086X,3,"Glitter\35086X-BLACK-F"
GL35087-BLK-S,Teddy,GL35087,7,"Glitter\35087-BLAC-F"
GL35087-BLK-M,Teddy,GL35087,5,"Glitter\35087-BLAC-F"
GL35087-BLK-L,Teddy,GL35087,6,"Glitter\35087-BLAC-F"
GL35087-BLK-XL,Teddy,GL35087,1,"Glitter\35087-BLAC-F"
GL35087X-BLK-1X,Teddy,GL35087X,4,"Glitter\35087X-BLACK-F"
GL35087X-BLK-2X,Teddy,GL35087X,1,"Glitter\35087X-BLACK-F"
GL35087X-BLK-3X,Teddy,GL35087X,2,"Glitter\35087X-BLACK-F"
GL35089,Teddy,GL35089,2,"Glitter\35089-RED-F"
GL35093,Teddy,GL35093,8,"Glitter\35093-RED-F"
GL35093X,Teddy,GL35093X,4,"Glitter\35093X-RED-F"
GL35094,Teddy,GL35094,6,"Glitter\35094-BLAC-F"
GL35098,Teddy,GL35098,3,"Glitter\35098-BLAC-F"
GL37503,Bodystocking,GL37503,0,"Glitter\37503-BLAC-F"
GL37517,Bodystocking,GL37517,3,"Glitter\37517-BLAC-F"
GL37518,Bodystocking,GL37518,1,"Glitter\37518-BLAC-F"
GL37530,Bodystocking,GL37530,2,"Glitter\37530-BLAC-F"
GL37531,Bodystocking,GL37531,1,"Glitter\37531-BLAC-F"
GL37532,Bodystocking,GL37532,3,"Glitter\37532-BLAC-F"
GL37532X,Bodystocking,GL37532X,0,"Glitter\37532X-BLAC-F"
GL37533,Bodystocking,GL37533,1,"Glitter\37533-BLAC-F-2"
GL37533X,Bodystocking,GL37533X,2,"Glitter\37533X-BLAC-F"
GL37536-BLK-S/M,Bodystocking,GL37536,2,"Glitter\37536-BLAC-F"
GL37536-BLK-L/XL,Bodystocking,GL37536,2,"Glitter\37536-BLAC-F"
GL37536X-BLK-1X,Bodystocking,GL37536X,1,"Glitter\37536X-BLAC-F"
GL37536X-BLK-2X,Bodystocking,GL37536X,2,"Glitter\37536X-BLAC-F"
GL37536X-BLK-3X,Bodystocking,GL37536X,2,"Glitter\37536X-BLAC-F"
GL37538X,Bodystocking,GL37538X,2,"Glitter\37538X-BLAC-F"
GL37539,Bodystocking,GL37539,8,"Glitter\37539-BLAC-F"
GL37540,Bodystocking,GL37540,3,"Glitter\37540-BLAC-F"
GL37540X,Bodystocking,GL37540X,2,"Glitter\37540X-BLAC-F"
GL32051-BLK-OS,Chemise,GL32051,1,"Glitter\32051-BLAC-F.jpg","Glitter\32051-BLAC-B.jpg"
GL32051-BLK-QS,Chemise,GL32051,5,"Glitter\32051X-BLAC-F.jpg","Glitter\32051X-BLAC-B.jpg"
GL34027-BLK-M,"Bra Set",GL34027,0,"Glitter\34027-BLAC-F.jpg","Glitter\34027-BLAC-B.jpg"
GL34027-BLK-S,"Bra Set",GL34027,0,"Glitter\34027-BLAC-F.jpg","Glitter\34027-BLAC-B.jpg"
GL34027-BLK-L,"Bra Set",GL34027,0,"Glitter\34027-BLAC-F.jpg","Glitter\34027-BLAC-B.jpg"
GL34027-BLK-XL,"Bra Set",GL34027,0,"Glitter\34027-BLAC-F.jpg","Glitter\34027-BLAC-B.jpg"
GL34027-NVY-L,"Bra Set",GL34027,0,"Glitter\34027-BLAC-F"
GL34027-NVY-XL,"Bra Set",GL34027,0,"Glitter\34027-BLAC-F"
GL30006X-BLK-1X,Knicker,GL30006X,1,"Glitter\30006X-BLAC-F"
GL30006X-BLK-3X,Knicker,GL30006X,8,"Glitter\30006X-BLAC-F"
GL30007-FUS-ML,Knicker,GL30007,4,"Glitter\30007-FUCH-F"
GL30007-FUS-SM,Knicker,GL30007,4,"Glitter\30007-FUCH-F"
GL30008-BLK-3X,Knicker,GL30008,1,"Glitter\30008-BLAC-F"
GL30008-BLK-SM,Knicker,GL30008,1,"Glitter\30008-BLAC-F"
GL30008X-BLK-1X,Knicker,GL30008X,1,"Glitter\30008X-BLAC-F"
GL30013-BLK-OS,Knicker,GL30013,1,"Glitter\30013-BLAC-F"
GL30017-BLK-S,Knicker,GL30017,2,"Glitter\30017-BLAC-F"
GL30017-BLK-XL,Knicker,GL30017,1,"Glitter\30017-BLAC-F"
GL30512-RED-OS,"Bedroom Costume",GL30512,1,"Glitter\30512-RED-F"
GL30519-RED-OS,Merrywidow,GL30519,12,"Glitter\30519-RED-F"
GL32013X-BLK-QS,Chemise,GL32013X,2,"Glitter\32013X-BLAC-F"
GL32014X-PUR-QS,Dress,GL32014X,1,"Glitter\32014X-PURP-F"
GL32016-BLK-OS,Chemise,GL32016,1,"Glitter\32016-BLAC-F"
GL32024-BLK-OS,Dress,GL32024,1,"Glitter\32024-BLAC-F"
GL32028-BLK-OS,Dress,GL32028,6,"Glitter\32028-BLAC-F.jpg","Glitter\32028-BLAC-B.jpg"
GL32030X-BLK-QS,Dress,GL32030X,2,"Glitter\32030X-BLAC-F.jpg","Glitter\32030X-BLAC-B.jpg"
GL32041-NVY-OS,Chemise,GL32041,0,"Glitter\32041-NAVY-F.jpg","Glitter\32041-NAVY-B.jpg"
GL32041X-NVY-QS,Chemise,GL32041X,1,"Glitter\32041X-NAVY-F.jpg","Glitter\32041X-NAVY-B.jpg"
GL32047-RED-OS,Chemise,GL32047,5,"Glitter\32047-RED-F.jpg","Glitter\32047-RED-B.jpg"
