stock_code,description,parent_stock_type,parent_stock_code,stock_available,post_type,image_1,image_2
HU22113-PNK-38DD,"Hustler Maximum Cleavage 5 Way Bra / Pink / 38DD",Bra,HU22113,1,product,"Hustler\HU22113_PNK_01.jpg",
HU22115-WHT-36D,"Hustler Sexiest Push Up Bra - White 36D",Bra,HU22115,5,product,"Hustler\HU22115_WHT_01",
HU3-BLK-S/M,"Hustler Maximum Cleavage Lace Chemise - Black Small/Medium",Chemise,HU3,16,product,"Hustler\HU3",
HU3-BLK-M/L,"Hustler Maximum Cleavage Lace Chemise - Black Medium/Large",Chemise,HU3,10,product,"Hustler\HU3",
HU8-M/L-BLK,"Hustler Tie Back Fishnet Teddy - Medium Black",Teddy,HU8,2,product,"Hustler\HU8-BLK_01",
HU9-RED-S/M,"Hustler Lace Chemise and Panty Set - Red Small/Medium",Chemise,HU9,1,product,"Hustler\HU9",
NU11-BLK-S/M,"Hustler Fundies - Rip Off - Black Small/Medium","Mens Dress Up",NU11,0,product,"Hustler\NU11-BLK_01",
NU11-RED-S/M,"Hustler Fundies - Rip Off - Red Small/Medium","Mens Dress Up",NU11,7,product,"Hustler\NU11-RED_01",
NU5-BLK-M/L,"Hustler Fundies - Respect The Game - Black Medium/Large",Shorts,NU5,1,product,"Hustler\NU5-BLK_01",
NU5-BLK-S/M,"Hustler Fundies - Respect The Game - Black Small/Medium",Shorts,NU5,1,product,"Hustler\NU5-BLK_01",
NU5-WHT-S/M,"Hustler Fundies - Respect The Game - White Small/Medium",Shorts,NU5,1,product,"Hustler\NU5-WHT_01",
NU7-BLK-S/M,"Hustler Fundies - Drive The Ladies Wild - Black Small/Medium",Thong,NU7,6,product,"Hustler\NU7_01",
HP1-BLK-M/L,"Hustler Ultra-Sexy Crotchless Lace Thong - Black Medium/Large",Thong,HP1,7,product,"Hustler\HP1-Front",
HP2-BLK-M/L,"Hustler Ultra-Sexy Crotchless Lace Thong - Black Medium/Large",Thong,HP2,1,product,"Hustler\HP2_01",
