stock_code,description,parent_stock_type,parent_stock_code,stock_available
RR1036X-BLK-3X/4X,"Crotchless Garter Thong - Black 3X/4X",Thong,RR1036X,4,"Rene\1036X-BLK-8885"
RR1036X-RED-1X/2X,"Crotchless Garter Thong - Red 1X/2X",Thong,RR1036X,2,"Rene\1036X-RED-8929","Rene\1036X-RED-8956.jpg"
RR1036X-RED-3X/4X,"Crotchless Garter Thong - Red 3X/4X",Thong,RR1036X,2,"Rene\1036X-RED-8929","Rene\1036X-RED-8956.jpg"
RR1037-BLK-M/L,"Crotchless Lace V-Thong - Black Medium/Large",Thong,RR1037,1,"Rene\1037-BLK-front-1","Rene\1037-BLK-rear.jpg"
RR1037-BLK-S/M,"Crotchless Lace V-Thong - Black Small/Medium",Thong,RR1037,1,"Rene\1037-BLK-front-1","Rene\1037-BLK-rear.jpg"
RR1037-FPUR-M/L,"Crotchless Lace V-Thong - Fuchsia/Purple Medium/Large",Thong,RR1037,9,"Rene\1037-PUR-front-2","Rene\1037-PUR-rear-2.jpg"
RR1037-FPUR-S/M,"Crotchless Lace V-Thong - Fuchsia/Purple Small/Medium",Thong,RR1037,2,"Rene\1037-PUR-front-2","Rene\1037-PUR-rear-2.jpg"
RR1037-RED-S/M,"Crotchless Lace V-Thong - Red Small/Medium",Thong,RR1037,3,"Rene\1037-REDB-B"
RR1037-RED-M/L,"Crotchless Lace V-Thong - Red Medium/Large",Thong,RR1037,2,"Rene\1037-REDB-B"
RR1037X-RED-1X/2X,"Crotchless Thong - Red 1X/2X",Thong,RR1037X,1,"Rene\1037X-REDB-9007","Rene\1037X-REDB-9020.jpg"
RR1044-BLK-S/M,"Crotchless Cut It Out Panty - Black Small/Medium",Panty,RR1044,15,"Rene\1044-BLK-front","Rene\1044-BLK-rear.jpg"
RR1046-RED-M/L,"Crotchless Frills Panty - Red Medium/Large",Panty,RR1046,0,"Rene\1046-RED","Rene\1046-RED-B.jpg"
RR1046-RED-S/M,"Crotchless Frills Panty - Red Small/Medium",Panty,RR1046,1,"Rene\1046-RED","Rene\1046-RED-B.jpg"
RR1046-PNK-M/L,"Crotchless Frills Panty - Pink Medium/Large",Panty,RR1046,0,"Rene\1046-front","Rene\1046-rear.jpg"
RR1046-PNK-S/M,"Crotchless Frills Panty - Pink Small/Medium",Panty,RR1046,0,"Rene\1046-front","Rene\1046-rear.jpg"
RR1046-BLK-M/L,"Crotchless Frills Panty - Black Medium/Large",Panty,RR1046,3,"Rene\1046-BLK","Rene\1046-BLK-B.jpg"
