stock_code,description,parent_stock_type,parent_stock_code,stock_available
RR1154X-WHT-1X/2X,"Forever Sexy Crotchless Panty - White 1X/2X",Panty,RR1154X,10,"Rene\1154X-WHT--Forever-Sexy-Crotchless-Panty-3564.jpg","Rene\1154X-WHT--Forever-Sexy-Crotchless-Panty-3573.jpg"
RR1154X-WHT-3X/4X,"Forever Sexy Crotchless Panty - White 3X/4X",Panty,RR1154X,11,"Rene\1154X-WHT--Forever-Sexy-Crotchless-Panty-3564.jpg","Rene\1154X-WHT--Forever-Sexy-Crotchless-Panty-3573.jpg"
RR20004-PNK-M/L,"Unwrap Me Satin Bow Teddy - Pink Medium/Large",Teddy,RR20004,38,"Rene\20004-PNK","Rene\20004-HP-B.jpg"
RR20004-PNK-S/M,"Unwrap Me Satin Bow Teddy - Pink Small/Medium",Teddy,RR20004,40,"Rene\20004-PNK","Rene\20004-HP-B.jpg"
RR20004-RED-M/L,"Unwrap Me Satin Bow Teddy - Red Medium/Large",Teddy,RR20004,4,"Rene\20004-RED","Rene\20004-RED-B.jpg"
RR20004-RED-S/M,"Unwrap Me Satin Bow Teddy - Red Small/Medium",Teddy,RR20004,252,"Rene\20004-RED","Rene\20004-RED-B.jpg"
RR20004-WHT-M/L,"Unwrap Me Satin Bow Teddy - White Medium/Large",Teddy,RR20004,74,"Rene\20004-WHT","Rene\20004-WHT-B.jpg"
RR20004-WHT-S/M,"Unwrap Me Satin Bow Teddy - White Small/Medium",Teddy,RR20004,63,"Rene\20004-WHT","Rene\20004-WHT-B.jpg"
RR21195-BLK-M/L,"Lace Peek A Boo Bra & Crotchless Thong - Black Medium/Large","Bra Set",RR21195,0,"Rene\21195-BLK","Rene\21195-BLK-B.jpg"
RR21195-BLK-S/M,"Lace Peek A Boo Bra & Crotchless Thong - Black Small/Medium","Bra Set",RR21195,1,"Rene\21195-BLK","Rene\21195-BLK-B.jpg"
RR21195-PNK-M/L,"Lace Peek A Boo Bra & Crotchless Thong - Pink Medium/Large","Bra Set",RR21195,1,"Rene\21195-PNK","Rene\21195-PNK-B.jpg"
RR21195-PNK-S/M,"Lace Peek A Boo Bra & Crotchless Thong - Pink Small/Medium","Bra Set",RR21195,0,"Rene\21195-PNK"
RR300980-BLK-L,"Scandalous Teddy - Black Large",Teddy,RR300980,6,"Rene\300980-BLK-front","Rene\300980-BLK-rear.jpg"
RR301190-LEO-M/L,"Microfibre & Lace Bra & Thong - Leopard Medium/Large","Bra Set",RR301190,11,"Rene\301190-2279"
RR301193-BLK-S/M,"Sparkle Mesh & Lace Twister Teddy - Black Small/Medium",Teddy,RR301193,3,"Rene\301193-BLK"
RR301283-BLK-M/L,"Strappy Lace Teddy - Black Medium/Large",Teddy,RR301283,4,"Rene\301283-BLK","Rene\301283-BLK-B.jpg"
RR301284,,Teddy,RR301284,0,"Rene\301284-BLK-front","Rene\301284-BLK-rear.jpg"
RR301285-BLK-S/M,"Lace Show Me Teddy - Black Small/Medium",Teddy,RR301285,0,"Rene\301285-BLK-front","Rene\301285-BLK-rear.jpg"
RR301471,,Teddy,RR301471,39,"Rene\301471-3353-OS-front.jpg","Rene\301471-3353-OS-rear.jpg"
RR30941-BLK-L,"Sexiest Halter Chemise/G Set - Black Large",Chemise,RR30941,17,"Rene\30941-BLK-front"
RR30941-BLK-M,"Sexiest Halter Chemise/G Set - Black Medium",Chemise,RR30941,0,"Rene\30941-BLK-front"
RR30941-BLK-S,"Sexiest Halter Chemise/G Set - Black Small",Chemise,RR30941,5,"Rene\30941-BLK-front"
RR30941-RED-L,"Sexiest Halter Chemise/G Set - Red Large",Chemise,RR30941,0,"Rene\30941-RED front","Rene\30941-RED rear.jpg"
RR30941-RED-M,"Sexiest Halter Chemise/G Set - Red Medium",Chemise,RR30941,5,"Rene\30941-RED front","Rene\30941-RED rear.jpg"
RR30941-RED-S,"Sexiest Halter Chemise/G Set - Red Small",Chemise,RR30941,0,"Rene\30941-RED front","Rene\30941-RED rear.jpg"
RR321180-BLK-M/L,"Lace Garter Bralet & Thong Set - Black Medium/Large","Bra Set",RR321180,17,"Rene\321180-BLK front","Rene\321180-BLK rear.jpg"
RR321180-BLK-S/M,"Lace Garter Bralet & Thong Set - Black Small/Medium","Bra Set",RR321180,0,"Rene\321180-BLK front","Rene\321180-BLK rear.jpg"
RR321180-RED-M/L,"Lace Garter Bralet & Thong Set - Red Medium/Large","Bra Set",RR321180,1,"Rene\321180-RED"
RR321184-BLK-M/L,"Lace & Mesh Criss Cross Merry Widow - Black Medium/Large",Merrywidow,RR321184,0,"Rene\321184-BLK-front"
RR321479,,Teddy,RR321479,19,"Rene\321479-BLK-OS-front.jpg","Rene\321479-BLK-OS-rear.jpg"
RR50001X,,Teddy,RR50001X,0,"Rene\50001X-BLK-7718","Rene\50001X-BLK-7787.jpg","Rene\50001X-RED-7855.jpg","Rene\50001X-RED-7904.jpg"
RR50002X-BLK-1X/2X,"Va Voom Garter Chemise Set - Black 1X/2X",Chemise,RR50002X,5,"Rene\50002X-BLK-7170","Rene\50002X-BLK-7242.jpg"
RR50002X-BLK-3X/4X,"Va Voom Garter Chemise Set - Black 3X/4X",Chemise,RR50002X,3,"Rene\50002X-BLK-7170","Rene\50002X-BLK-7242.jpg"
RR50003-BLK-M/L,"Back Talk Body Jewelry Teddy - Black Medium/Large",Teddy,RR50003,1,"Rene\50003-BLK-9090","Rene\50003-BLK-9071.jpg"
RR50003-BLK-S/M,"Back Talk Body Jewelry Teddy - Black Small/Medium",Teddy,RR50003,2,"Rene\50003-BLK-9090","Rene\50003-BLK-9071.jpg"
RR50004-BLK-M/L,"Wham Glam Body Jewelry Teddy - Black Medium/Large",Teddy,RR50004,9,"Rene\50004-BLK-9274","Rene\50004-BLK-9324.jpg"
RR50004-BLK-S/M,"Wham Glam Body Jewelry Teddy - Black Small/Medium",Teddy,RR50004,9,"Rene\50004-BLK-9274","Rene\50004-BLK-9324.jpg"
RR50005-BLK-M/L,"Radiant Body Jewelry Bodysuit - Black Medium/Large",Bodysuit,RR50005,4,"Rene\50005-BLK-9352","Rene\50005-BLK-9429.jpg"
RR50005-BLK-S/M,"Radiant Body Jewelry Bodysuit - Black Small/Medium",Bodysuit,RR50005,1,"Rene\50005-BLK-9352","Rene\50005-BLK-9429.jpg"
RR50006-BLK-M/L,"Come Together Bondage Teddy - Black Medium/Large",Teddy,RR50006,5,"Rene\50006-BLK-ERIN-1784","Rene\50006-BLK-ERIN-1797.jpg"
RR50006-BLK-S/M,"Come Together Bondage Teddy - Black Small/Medium",Teddy,RR50006,1,"Rene\50006-BLK-ERIN-1784","Rene\50006-BLK-ERIN-1797.jpg"
RR50007-BLK-M/L,"All Eyes On Me Bodysuit - Black Medium/Large",Bodysuit,RR50007,2,"Rene\50007-BLK-0145","Rene\50007-BLK-0221.jpg"
RR50008-BLK-M/L,"Choke Out Sexcessory Bodysuit - Black Medium/Large",Bodysuit,RR50008,7,"Rene\50008-BLK-0296","Rene\50008-BLK-0269.jpg"
RR50009-BUR-M/L,"Grand Finale 2Pc Ruffle Teddy - Burgundy Medium/Large",Teddy,RR50009,5,"Rene\50009-BUR-6468","Rene\50009-BUR-6478.jpg"
RR50009-BUR-S/M,"Grand Finale 2Pc Ruffle Teddy - Burgundy Small/Medium",Teddy,RR50009,2,"Rene\50009-BUR-6468","Rene\50009-BUR-6478.jpg"
RR50009X-BUR-1X/2X,"Grand Finale 2Pc Ruffle Teddy - Burgundy 1X/2X",Teddy,RR50009X,5,"Rene\50009X-BUR-5700","Rene\50009X-BUR-5719.jpg"
RR50009X-BUR-3X/4X,"Grand Finale 2Pc Ruffle Teddy - Burgundy 3X/4X",Teddy,RR50009X,6,"Rene\50009X-BUR-5700","Rene\50009X-BUR-5719.jpg"
RR50010X-BLK-1X/2X,"Peep Star Teddy - Black 1X/2X",Teddy,RR50010X,2,"Rene\50010X-BLK-5905","Rene\50010X-BLK-5946.jpg"
RR50011-BLK-M/L,"Aim To Tease Bodysuit - Black Medium/Large",Bodysuit,RR50011,2,"Rene\50011-BLK--Aim-To-Tease-Bodysuit-0328","Rene\50011-BLK--Aim-To-Tease-Bodysuit-0404.jpg"
RR50011-BLK-S/M,"Aim To Tease Bodysuit - Black Small/Medium",Bodysuit,RR50011,3,"Rene\50011-BLK--Aim-To-Tease-Bodysuit-0328","Rene\50011-BLK--Aim-To-Tease-Bodysuit-0404.jpg"
RR50013-BLK-M/L,"Down To Flaunt Bodysuit - Black Medium/Large",Bodysuit,RR50013,5,"Rene\50013-BLK--Down-To-Flaunt-Bodysuit-0282","Rene\50013-BLK--Down-To-Flaunt-Bodysuit-0263.jpg"
RR50013-BLK-S/M,"Down To Flaunt Bodysuit - Black Small/Medium",Bodysuit,RR50013,4,"Rene\50013-BLK--Down-To-Flaunt-Bodysuit-0282","Rene\50013-BLK--Down-To-Flaunt-Bodysuit-0263.jpg"
RR50014-WHT-M/L,"Plunge In Teddy - White Medium/Large",Teddy,RR50014,0,"Rene\50014-WHT-Plunge-In-Lace-Teddy-1pc-2818","Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-3024.jpg"
RR50014-WHT-S/M,"Plunge In Teddy - White Small/Medium",Teddy,RR50014,0,"Rene\50014-WHT-Plunge-In-Lace-Teddy-1pc-2818","Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-3024.jpg"
RR50014-RED-S/M,"Plunge In Teddy Red / Small/Medium",Teddy,RR50014,2,"Rene\50014-WHT-Plunge-In-Lace-Teddy-1pc-2818","Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-3024.jpg"
RR50014-RED-M/L,"Plunge In Teddy Red / Medium/large",Teddy,RR50014,2,"Rene\50014-WHT-Plunge-In-Lace-Teddy-1pc-2818","Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-3024.jpg"
RR50014-BLK-S/M,"Plunge In Teddy Black / Small/Medium",Teddy,RR50014,2,"Rene\50014-WHT-Plunge-In-Lace-Teddy-1pc-2818","Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-3024.jpg"
RR50014-BLK-M/L,"Plunge In Teddy Black / Medium/Large",Teddy,RR50014,2,"Rene\50014-WHT-Plunge-In-Lace-Teddy-1pc-2818","Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-3024.jpg"
RR50014X-WHT-1X/2X,"Plunge In Teddy - White 1X/2X",Teddy,RR50014X,8,"Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-2994","Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-3024.jpg"
RR50014X-WHT-3X/4X,"Plunge In Teddy - White 3X/4X",Teddy,RR50014X,10,"Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-2994","Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-3024.jpg"
RR501168-LEO-M/L,"Leopard Lace & Mesh Halter Babydoll - Leopard Medium/Large",Babydoll,RR501168,1,"Rene\501168-427-front"
RR501168-LEO-S/M,"Leopard Lace & Mesh Halter Babydoll - Leopard Small/Medium",Babydoll,RR501168,6,"Rene\501168-427-front"
RR501185-BLK-M/L,"2 Pc St Sat/Lace Garter Slip/G - Black Medium/Large",Slip,RR501185,1,"Rene\501185-BLK","Rene\501185-BLK-B.jpg"
RR501185-BLK-S/M,"2 Pc St Sat/Lace Garter Slip/G - Black Small/Medium",Slip,RR501185,4,"Rene\501185-BLK","Rene\501185-BLK-B.jpg"
RR501455-LEO-M/L,"Print Chiffon Babydoll Set - Leopard Medium/Large",Babydoll,RR501455,1,"Rene\501455-3154-front","Rene\501455-3154-rear.jpg"
RR501455-LEO-S/M,"Print Chiffon Babydoll Set - Leopard Small/Medium",Babydoll,RR501455,12,"Rene\501455-3154-front","Rene\501455-3154-rear.jpg"
RR502001-LEO-M/L,"Mesh Apron With Ruffles - Leopard Medium/Large",Babydoll,RR502001,3,"Rene\502001-001-front","Rene\502001-001-rear.jpg"
RR502003-BLK-M/L,"Sparkle Mesh Sequin Teddy - Black Medium/Large",Teddy,RR502003,18,"Rene\502003-BLK-front","Rene\502003-BLK-rear.jpg"
RR502004-BLK-M/L,"Microfibre Halter Teddy - Black Medium/Large",Teddy,RR502004,92,"Rene\502004-BLK front","Rene\502004-BLK rear.jpg"
RR502005-BLK-M/L,"Sweetheart Halter Mesh & Ruffles Teddy - Black Medium/Large",Teddy,RR502005,19,"Rene\502005-BLK-front","Rene\502005-BLK-rear.jpg"
RR502005-BLK-S/M,"Sweetheart Halter Mesh & Ruffles Teddy - Black Small/Medium",Teddy,RR502005,25,"Rene\502005-BLK-front","Rene\502005-BLK-rear.jpg"
RR502014-BLK-M/L,"Fishnet Apron Teddy & G-String - Black Medium/Large",Teddy,RR502014,19,"Rene\502014-front","Rene\502014-rear.jpg"
RR502014-BLK-S/M,"Fishnet Apron Teddy & G-String - Black Small/Medium",Teddy,RR502014,18,"Rene\502014-front","Rene\502014-rear.jpg"
RR502024-BLK-M/L,"Leopard Printed Mesh Teddy - Black Medium/Large",Teddy,RR502024,19,"Rene\502024-BLK-front","Rene\502024-BLK-rear.jpg"
RR502024-BLK-S/M,"Leopard Printed Mesh Teddy - Black Small/Medium",Teddy,RR502024,14,"Rene\502024-BLK-front","Rene\502024-BLK-rear.jpg"
RR502028-BLK-M/L,"Fringe Apron Teddy & G-String - Black Medium/Large",Teddy,RR502028,1,"Rene\502028-front","Rene\502028-rear.jpg"
RR502028-BLK-S/M,"Fringe Apron Teddy & G-String - Black Small/Medium",Teddy,RR502028,3,"Rene\502028-front","Rene\502028-rear.jpg"
RR502040-BLK-M/L,"Lace Bodysuit with Jeweled Garter - Black Medium/Large",Bodysuit,RR502040,37,"Rene\502040-BLK","Rene\502040-BLK-B.jpg"
RR502040-BLK-S/M,"Lace Bodysuit with Jeweled Garter - Black Small/Medium",Bodysuit,RR502040,65,"Rene\502040-BLK","Rene\502040-BLK-B.jpg"
RR502046-BLK-M/L,"Center Strap Garter Teddy - Black Medium/Large",Teddy,RR502046,33,"Rene\502046-BLK","Rene\502046-BLK-B.jpg"
RR502122-BLK-M/L,"Strappy Seduction Teddy - Black Medium/Large",Teddy,RR502122,5,"Rene\502122-BLK","Rene\502122-BLK-B.jpg"
RR502126-BLK-M/L,"1Pc Stage Door Bodysuit - Black Medium/Large",Bodysuit,RR502126,4,"Rene\502126-BLK","Rene\502126-BLK-B.jpg"
RR502126-BLK-S/M,"1Pc Stage Door Bodysuit - Black Small/Medium",Bodysuit,RR502126,4,"Rene\502126-BLK","Rene\502126-BLK-B.jpg"
RR502127-BLK-M/L,"1Pc Bedroom Ready Teddy - Black Medium/Large",Teddy,RR502127,5,"Rene\502127-BLK","Rene\502127-BLK-B.jpg"
RR502138-RED-M/L,"Spank Me Strap-Back Lace Teddy - Red Medium/Large",Teddy,RR502138,11,"Rene\502138-RED","Rene\502138-RED-B.jpg"
RR502138-RED-S/M,"Spank Me Strap-Back Lace Teddy - Red Small/Medium",Teddy,RR502138,0,"Rene\502138-RED","Rene\502138-RED-B.jpg"
RR502138-BLK-M/L,"Spank Me Strap-Back Lace Teddy - Black Medium/Large",Teddy,RR502138,5,"Rene\502138-BLK","Rene\502138-BLK-B.jpg"
RR502138-BLK-S/M,"Spank Me Strap-Back Lace Teddy - Black Small/Medium",Teddy,RR502138,5,"Rene\502138-BLK","Rene\502138-BLK-B.jpg"
RR502138-NVY-S/M,"Spank Me Strap-Back Lace Teddy Navy / Small/Medium",Teddy,RR502138,2,"Rene\502138-BLK","Rene\502138-BLK-B.jpg","Rene\502138-RED.jpg","Rene\502138-RED-B.jpg"
RR502138-NVY-M/L,"Spank Me Strap-Back Lace Teddy Navy / Medium/Large",Teddy,RR502138,0,"Rene\502138-BLK","Rene\502138-BLK-B.jpg","Rene\502138-RED.jpg","Rene\502138-RED-B.jpg"
RR502139-BLK-M/L,"No Mercy Lace Cage Teddy - Black Medium/Large",Teddy,RR502139,10,"Rene\502139-BLK","Rene\502139-BLK-B.jpg"
RR502139-BLK-S/M,"No Mercy Lace Cage Teddy - Black Small/Medium",Teddy,RR502139,9,"Rene\502139-BLK","Rene\502139-BLK-B.jpg"
RR502140-BLK-M/L,"Hot Pursuit Lace Bodysuit - Black Medium/Large",Bodysuit,RR502140,3,"Rene\502140-BLK","Rene\502140-BLK-B.jpg"
RR502140-BLK-S/M,"Hot Pursuit Lace Bodysuit - Black Small/Medium",Bodysuit,RR502140,0,"Rene\502140-BLK","Rene\502140-BLK-B.jpg"
RR502140-RED-M/L,"Hot Pursuit Lace Bodysuit - Red Medium/Large",Bodysuit,RR502140,1,"Rene\502140-RED","Rene\502140-RED-B.jpg"
RR502140-RED-S/M,"Hot Pursuit Lace Bodysuit - Red Small/Medium",Bodysuit,RR502140,6,"Rene\502140-RED","Rene\502140-RED-B.jpg"
RR502141-BLK-M/L,"Crotchless Lace & Mesh Teddy - Black Medium/Large",Teddy,RR502141,10,"Rene\502141-BLK","Rene\502141-BLK-B.jpg"
RR502141-BLK-S/M,"Crotchless Lace & Mesh Teddy - Black Small/Medium",Teddy,RR502141,3,"Rene\502141-BLK","Rene\502141-BLK-B.jpg"
RR502141-RED-M/L,"Crotchless Lace & Mesh Teddy - Red Medium/Large",Teddy,RR502141,40,"Rene\502141-RED","Rene\502141-RED-B.jpg"
RR502141-RED-S/M,"Crotchless Lace & Mesh Teddy - Red Small/Medium",Teddy,RR502141,6,"Rene\502141-RED","Rene\502141-RED-B.jpg"
RR502141-NVY-S/M,"Crotchless Lace & Mesh Teddy Navy / Small/Medium",Teddy,RR502141,3,"Rene\502141-BLK","Rene\502141-BLK-B.jpg","Rene\502141-RED.jpg","Rene\502141-RED-B.jpg"
RR502141-NVY-M/L,"Crotchless Lace & Mesh Teddy Navy / Medium/Large",Teddy,RR502141,3,"Rene\502141-BLK","Rene\502141-BLK-B.jpg","Rene\502141-RED.jpg","Rene\502141-RED-B.jpg"
RR502142-BLK-M/L,"Open Back Lace & Net Teddy - Black Medium/Large",Teddy,RR502142,672,"Rene\502142-BLK","Rene\502142-BLK-B.jpg"
RR502142-BLK-S/M,"Open Back Lace & Net Teddy - Black Small/Medium",Teddy,RR502142,374,"Rene\502142-BLK","Rene\502142-BLK-B.jpg"
RR502142-RED-M/L,"Heart Back Teddy - Red Medium/Large",Teddy,RR502142,665,"Rene\502142-RED","Rene\502142-RED-B.jpg"
RR502142-RED-S/M,"Heart Back Teddy - Red Small/Medium",Teddy,RR502142,849,"Rene\502142-RED","Rene\502142-RED-B.jpg"
RR502143,,Teddy,RR502143,6,"Rene\502143-BLK.jpg","Rene\502143-BLK-B.jpg"
RR502146,,Teddy,RR502146,34,"Rene\502146-BLK.jpg","Rene\502146-BLK-B.jpg"
RR502147-BLK-M/L,"Wrapped In Lust Body Harness - Black Medium/Large",Bondage,RR502147,2,"Rene\502147-BLK","Rene\502147-BLK-B.jpg"
RR502147-BLK-S/M,"Wrapped In Lust Body Harness - Black Small/Medium",Bondage,RR502147,1,"Rene\502147-BLK","Rene\502147-BLK-B.jpg"
RR502153-BLK-M/L,"Plunge In Teddy - Black Medium/Large",Teddy,RR502153,8,"Rene\502153-BLK","Rene\502153-BLK-B.jpg"
RR502153-BLK-S/M,"Plunge In Teddy - Black Small/Medium",Teddy,RR502153,2,"Rene\502153-BLK","Rene\502153-BLK-B.jpg"
RR502159-BLK-M/L,"Guilty Pleasure Teddy - Black Medium/Large",Teddy,RR502159,0,"Rene\502159-BLK","Rene\502159-BLK-B.jpg"
RR502167-BLK-M/L,"Peep Show Strap & Lace Teddy - Black Medium/Large",Teddy,RR502167,33,"Rene\502167-BLK-05","Rene\502167-BLK-06.jpg"
RR502167-BLK-S/M,"Peep Show Strap & Lace Teddy - Black Small/Medium",Teddy,RR502167,28,"Rene\502167-BLK-05","Rene\502167-BLK-06.jpg"
RR502169-RED-M/L,"X Marks The Spot Lace Teddy - Red Medium/Large",Teddy,RR502169,14,"Rene\502169-RED-05","Rene\502169-RED-04.jpg"
RR502169-RED-S/M,"X Marks The Spot Lace Teddy - Red Small/Medium",Teddy,RR502169,0,"Rene\502169-RED-05","Rene\502169-RED-04.jpg"
RR502170-BLK-M/L,"Slay With Me Lace Teddy - Black Medium/Large",Teddy,RR502170,1,"Rene\502170-BLK-07","Rene\502170-BLK-06.jpg"
RR502170-BLK-S/M,"Slay With Me Lace Teddy - Black Small/Medium",Teddy,RR502170,0,"Rene\502170-BLK-07","Rene\502170-BLK-06.jpg"
RR5039-BLK-M/L,"2-pc Satin & Mesh Ruffle Set - Black Medium/Large","Bra Set",RR5039,3,"Rene\5039-RED-front-3","Rene\5039-RED-rear-2.jpg"
RR50619X,,Dress,RR50619X,75,"Rene\50619X-BLK-front.jpg","Rene\50619X-BLK-rear.jpg"
RR51001X-BLK-1X/2X,"Lace Time Garter Chemise Set - Black 1X/2X",Chemise,RR51001X,16,"Rene\51001X-BLK-7086","Rene\51001X-BLK-7111.jpg"
RR51001X-BLK-3X/4X,"Lace Time Garter Chemise Set - Black 3X/4X",Chemise,RR51001X,18,"Rene\51001X-BLK-7086","Rene\51001X-BLK-7111.jpg"
RR51002-BLK-M/L,"2Pc Without A Lace Chemise Set - Black Medium/Large",Chemise,RR51002,3,"Rene\51002-BLK-0924","Rene\51002-BLK-0961.jpg"
RR51002-BLK-S/M,"2Pc Without A Lace Chemise Set - Black Small/Medium",Chemise,RR51002,2,"Rene\51002-BLK-0924","Rene\51002-BLK-0961.jpg"
RR51003-BLK-M/L,"All Out There Open Cup Dress - Black Medium/Large",Dress,RR51003,13,"Rene\51003-BLK-6667","Rene\51003-BLK-6703.jpg"
RR51003-BLK-S/M,"All Out There Open Cup Dress - Black Small/Medium",Dress,RR51003,14,"Rene\51003-BLK-6667","Rene\51003-BLK-6703.jpg"
RR51004X-BLK-1X/2X,"All Out There 2Pc Gown Set - Black 1X/2X","Gowns & Robes",RR51004X,12,"Rene\51004X-BLK-5574","Rene\51004X-BLK-5623.jpg"
RR51004X-BLK-3X/4X,"All Out There 2Pc Gown Set - Black 3X/4X","Gowns & Robes",RR51004X,9,"Rene\51004X-BLK-5574","Rene\51004X-BLK-5623.jpg"
RR51005-BLK-M/L,"With Love Chemise Set - Black Medium/Large",Chemise,RR51005,0,"Rene\51005-BLK-6786","Rene\51005-BLK-6857.jpg"
RR51005-BLK-S/M,"With Love Chemise Set - Black Small/Medium",Chemise,RR51005,1,"Rene\51005-BLK-6786","Rene\51005-BLK-6857.jpg"
RR51006X-BLK-1X/2X,"Playful Paradise Chemise Set - Black 1X/2X",Chemise,RR51006X,6,"Rene\51006X-BLK-5818","Rene\51006X-BLK-5885.jpg"
RR51006X-BLK-3X/4X,"Playful Paradise Chemise Set - Black 3X/4X",Chemise,RR51006X,6,"Rene\51006X-BLK-5818","Rene\51006X-BLK-5885.jpg"
RR51007X-BLK-1X/2X,"Finest Of All Garter Chemise - Black 1X/2X",Chemise,RR51007X,4,"Rene\51007X-BLK-5358","Rene\51007X-BLK-5389.jpg"
RR51007X-BLK-3X/4X,"Finest Of All Garter Chemise - Black 3X/4X",Chemise,RR51007X,4,"Rene\51007X-BLK-5358","Rene\51007X-BLK-5389.jpg"
RR51007X-BUR-1X/2X,"Finest Of All Garter Chemise - Burgundy 1X/2X",Chemise,RR51007X,4,"Rene\51007X-BOR-5477","Rene\51007X-BOR-5502.jpg"
RR51007X-BUR-3X/4X,"Finest Of All Garter Chemise - Burgundy 3X/4X",Chemise,RR51007X,4,"Rene\51007X-BOR-5477","Rene\51007X-BOR-5502.jpg"
RR511542X,,Babydoll,RR511542X,3,"Rene\511542X-BLK-front.jpg","Rene\511542X-BLK-rear.jpg"
RR511543X,,Babydoll,RR511543X,1,"Rene\511543X-BLK-front.jpg","Rene\511543X-BLK-rear.jpg"
RR511574,,Babydoll,RR511574,2,"Rene\511574-BLK-OS-front.jpg","Rene\511574-BLK-OS-rear.jpg"
RR511575-PNK-OS,"Empire Flower Mesh Babydoll Set Pink / One Size",Babydoll,RR511575,13,"Rene\511575-PNK-OS-front.jpg","Rene\511575-PNK-OS-rear.jpg"
RR511575-PNK-QS,"Empire Flower Mesh Babydoll Set Pink / Queen Size",Babydoll,RR511575,3,"Rene\511575-PNK-OS-front.jpg","Rene\511575-PNK-OS-rear.jpg"
RR511576,,Chemise,RR511576,4,"Rene\511576-PNK-OS-front.jpg","Rene\511576-PNK-OS-rear.jpg"
RR512017,,Chemise,RR512017,11,"Rene\512017-BLK.jpg","Rene\512017-BLK-B.jpg"
RR512019-BLK-M/L,"Lace & Mesh Merry Widow - Black Medium/Large",Merrywidow,RR512019,1,"Rene\512019-front","Rene\512019-rear.jpg"
RR512020,,Dress,RR512020,0,"Rene\512020-BLK-front","Rene\512020-BLK-rear.jpg"
RR512029-BLK-M/L,"2Pc Femme Fetale Babydoll G Se - Black Medium/Large",Babydoll,RR512029,84,"Rene\512029-front","Rene\512029-rear.jpg"
RR512029-BLK-S/M,"2Pc Femme Fetale Babydoll G Se - Black Small/Medium",Babydoll,RR512029,128,"Rene\512029-front","Rene\512029-rear.jpg"
RR512037-BLK-M/L,"Hollywood Chemise W/G-String - Black Medium/Large",Chemise,RR512037,3,"Rene\512037-BLK","Rene\512037-BLK-B.jpg"
RR512037-BLK-S/M,"Hollywood Chemise W/G-String - Black Small/Medium",Chemise,RR512037,1,"Rene\512037-BLK","Rene\512037-BLK-B.jpg"
RR512037-RED-M/L,"Hollywood Chemise W/G-String - Red Medium/Large",Chemise,RR512037,5,"Rene\512037-RED","Rene\512037-RED-B.jpg"
RR512037-RED-S/M,"Hollywood Chemise W/G-String - Red Small/Medium",Chemise,RR512037,0,"Rene\512037-RED","Rene\512037-RED-B.jpg"
RR512041-BLK-M/L,"Sophisticated Lace Chemise W G - Black Medium/Large",Chemise,RR512041,95,"Rene\512041-BLK","Rene\512041-BLK-B.jpg"
RR512041-BLK-S/M,"Sophisticated Lace Chemise W G - Black Small/Medium",Chemise,RR512041,67,"Rene\512041-BLK","Rene\512041-BLK-B.jpg"
RR512058-RED-M/L,"2 Pc Lace Garter Chemise Set - Red Medium/Large",Chemise,RR512058,0,"Rene\512058-RED","Rene\512058-RED-B.jpg"
RR512060-BLK-S/M,"Halter Floral Lace Chemise & G - Black Small/Medium",Chemise,RR512060,19,"Rene\512060-BLK","Rene\512060-BLK-B.jpg"
RR512065-BLK-M/L,"Rouched Up Right Chemise Set - Black Medium/Large",Chemise,RR512065,14,"Rene\512065-BLK","Rene\512065-BLK-B.jpg"
RR512065-BLK-S/M,"Rouched Up Right Chemise Set - Black Small/Medium",Chemise,RR512065,15,"Rene\512065-BLK","Rene\512065-BLK-B.jpg"
RR512068-RED-M/L,"MOD Goddess Chemise w Garter & - Red Medium/Large",Chemise,RR512068,188,"Rene\512068-RED","Rene\512068-RED-B.jpg"
RR512068-RED-S/M,"MOD Goddess Chemise w Garter & - Red Small/Medium",Chemise,RR512068,201,"Rene\512068-RED","Rene\512068-RED-B.jpg"
RR512071-BLK-S,"Royal Garden Floral Lace Bustier - Black Small","Bustiers & Corsets",RR512071,10,"Rene\512071","Rene\512071-B.jpg"
RR512072-BLK-XL,"Sinful Satin Demi Cup Bustier & - Black X-Large","Bustiers & Corsets",RR512072,3,"Rene\512072","Rene\512072-B.jpg"
RR512075-RED-L,"Lace Up Bustier W/Garters G-St - Red Large","Bustiers & Corsets",RR512075,30,"Rene\512075-RED","Rene\512075-B.jpg"
RR512075-RED-M,"Lace Up Bustier W/Garters G-St - Red Medium","Bustiers & Corsets",RR512075,49,"Rene\512075-RED","Rene\512075-B.jpg"
RR512075-RED-S,"Lace Up Bustier W/Garters G-St - Red Small","Bustiers & Corsets",RR512075,52,"Rene\512075-RED","Rene\512075-B.jpg"
