stock_code,description,parent_stock_type,parent_stock_code,stock_available
ADORE-1008SQ-SLV-9,"7"" Heel, 2 3/4"" PF Peep Toe Sequins Ankle Boot, Side Zip Slv Sequins/Slv Chrome / UK6 / US9 / EU39",Boots,ADORE-1008SQ,0,"Pleaser\adore-1008sq-sch.jpg"
ADORE-1016-WPU/M-10,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot, Side Zip Wht Faux Leather/Wht / UK7 / US10 / EU41",Boots,ADORE-1016,0,"Pleaser\adore-1016-wpu.jpg"
ADORE-1016-WPU/M-11,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot, Side Zip Wht Faux Leather/Wht / UK8 / US11 / EU42",Boots,ADORE-1016,0,"Pleaser\adore-1016-wpu.jpg"
ADORE-1016-WPU/M-5,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot, Side Zip Wht Faux Leather/Wht / UK2 / US5 / EU35",Boots,ADORE-1016,0,"Pleaser\adore-1016-wpu.jpg"
ADORE-1016-WPU/M-6,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot, Side Zip Wht Faux Leather/Wht / UK3 / US6 / EU36",Boots,ADORE-1016,0,"Pleaser\adore-1016-wpu.jpg"
ADORE-1016-WPU/M-7,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot, Side Zip Wht Faux Leather/Wht / UK4 / US7 / EU37",Boots,ADORE-1016,0,"Pleaser\adore-1016-wpu.jpg"
ADORE-1016-WPU/M-8,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot, Side Zip Wht Faux Leather/Wht / UK5 / US8 / EU38",Boots,ADORE-1016,0,"Pleaser\adore-1016-wpu.jpg"
ADORE-1016-WPU/M-9,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot, Side Zip Wht Faux Leather/Wht / UK6 / US9 / EU39",Boots,ADORE-1016,0,"Pleaser\adore-1016-wpu.jpg"
ADORE-1016-BPU/M-10,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot, Side Zip Blk Faux Leather/Blk Matte / UK7 / US10 / EU41",Boots,ADORE-1016,0,"Pleaser\adore-1016-bpu.jpg"
ADORE-1016-BPU/M-11,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot, Side Zip Blk Faux Leather/Blk Matte / UK8 / US11 / EU42",Boots,ADORE-1016,0,"Pleaser\adore-1016-bpu.jpg"
ADORE-1016-BPU/M-5,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot, Side Zip Blk Faux Leather/Blk Matte / UK2 / US5 / EU35",Boots,ADORE-1016,0,"Pleaser\adore-1016-bpu.jpg"
ADORE-1016-BPU/M-6,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot, Side Zip Blk Faux Leather/Blk Matte / UK3 / US6 / EU36",Boots,ADORE-1016,0,"Pleaser\adore-1016-bpu.jpg"
ADORE-1016-BPU/M-7,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot, Side Zip Blk Faux Leather/Blk Matte / UK4 / US7 / EU37",Boots,ADORE-1016,0,"Pleaser\adore-1016-bpu.jpg"
ADORE-1016-BPU/M-8,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot, Side Zip Blk Faux Leather/Blk Matte / UK5 / US8 / EU38",Boots,ADORE-1016,0,"Pleaser\adore-1016-bpu.jpg"
ADORE-1016-BPU/M-9,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot, Side Zip Blk Faux Leather/Blk Matte / UK6 / US9 / EU39",Boots,ADORE-1016,0,"Pleaser\adore-1016-bpu.jpg"
ADORE-1017MFF-C-W/C-10,"7"" Heel, 2 3/4"" PF Marabou Fur Fringe Ankle Boot, Side Zip Clr-Wht Marabou/Clr-Gltr / UK7 / US10 / EU41",Boots,ADORE-1017MFF,0,"Pleaser\adore-1017mff-cwc.jpg"
ADORE-1017MFF-C-W/C-11,"7"" Heel, 2 3/4"" PF Marabou Fur Fringe Ankle Boot, Side Zip Clr-Wht Marabou/Clr-Gltr / UK8 / US11 / EU42",Boots,ADORE-1017MFF,0,"Pleaser\adore-1017mff-cwc.jpg"
ADORE-1017MFF-C-W/C-5,"7"" Heel, 2 3/4"" PF Marabou Fur Fringe Ankle Boot, Side Zip Clr-Wht Marabou/Clr-Gltr / UK2 / US5 / EU35",Boots,ADORE-1017MFF,0,"Pleaser\adore-1017mff-cwc.jpg"
