stock_code,description,parent_stock_type,parent_stock_code,stock_available,post_type,image_1,image_2
BW201-RED-S,"French cut heart mesh bikini / Red / Small",Bikini,BW201,40,product,"Baci\BW201_01.jpg",
BW202-RED/BLK-DS,"Microfiber Boyshorts with Lace Trim / Red/Black / Diva Size",Boyshort,BW202,87,product,"Baci\BW202_03.jpg",
BW202-RED/BLK-QS,"Microfiber Boyshorts with Lace Trim / Red/Black / Queen Size",Boyshort,BW202,86,product,"Baci\BW202_03.jpg",
BW204-RED-DS,"Mesh chemise with bows / Red / Diva Size",Chemise,BW204,37,product,"Baci\BW204_03.jpg",
BW204-RED-QS,"Mesh chemise with bows / Red / Queen Size",Chemise,BW204,50,product,"Baci\BW204_03.jpg",
BW210,,Boyshort,BW210,0,product,"Baci\BW210_01.jpg",
BW225-BLK-QS,"Classic Bodysuit Black / Queen Size",Bodystocking,BW225,11,product,"Baci\BW225_003_01.jpg","Baci\BW225_003_02.jpg","Baci\BW225_03.jpg","Baci\BW225_04.jpg"
BW231,,Babydoll,BW231,0,product,"Baci\BW231_01.jpg","Baci\BW231_02.jpg","Baci\BW231_03.jpg","Baci\BW231_04.jpg"
BW250-RED-L,"Lace And Mesh Thong / Red / Large",Thong,BW250,2,product,"Baci\BW250_01.jpg",
BW250-RED-S,"Lace And Mesh Thong / Red / Small",Thong,BW250,1,product,"Baci\BW250_01.jpg",
BW254-PURP-DS,"Lace Boyshorts / Purple / Diva Size",Boyshorts,BW254,48,product,"Baci\BW254_03.jpg",
BW254-PURP-L,"Lace Boyshorts / Purple / Large",Boyshorts,BW254,7,product,"Baci\BW254_01.jpg",
BW254-PURP-M,"Lace Boyshorts / Purple / Medium",Boyshorts,BW254,40,product,"Baci\BW254_01.jpg",
BW254-PURP-QS,"Lace Boyshorts / Purple / Queen Size",Boyshorts,BW254,12,product,"Baci\BW254_03.jpg",
BW256-PUR-M,"French cut heart mesh bikini - Purple Medium",Bikini,BW256,22,product,"Baci\BW256_01.jpg","Baci\BW256_02.jpg"
BW256-PUR-L,"French cut heart mesh bikini - Purple Large",Bikini,BW256,20,product,"Baci\BW256_01.jpg","Baci\BW256_02.jpg"
BW257-BLK/PNK-DS,"Ruffle mesh nightie / Black/Pink / Diva Size",Nightie,BW257,54,product,"Baci\BW257_03.jpg",
BW257-BLK/PNK-QS,"Ruffle mesh nightie / Black/Pink / Queen Size",Nightie,BW257,40,product,"Baci\BW257_03.jpg",
BW258-BLK/PURP-DS,"Mesh Boyshorts With Lace Trim / Black/Purple / Diva Size",Boyshorts,BW258,69,product,"Baci\BW258_03.jpg",
BW258-BLK/PURP-L,"Mesh Boyshorts With Lace Trim / Black/Purple / Large",Boyshorts,BW258,22,product,"Baci\BW258_01.jpg",
BW258-BLK/PURP-QS,"Mesh Boyshorts With Lace Trim / Black/Purple / Queen Size",Boyshorts,BW258,69,product,"Baci\BW258_03.jpg",
BW260-PUR/BLK-DIVA,"Ruffle Mesh Nightie - Purple/Black Diva Size",Dress,BW260,57,product,"Baci\BW260_03.jpg","Baci\BW260_04.jpg"
BW260-PUR/BLK-QUEEN,"Ruffle Mesh Nightie - Purple/Black Queen Size",Dress,BW260,67,product,"Baci\BW260_03.jpg","Baci\BW260_04.jpg"
BW276-RED-DIVA,"Crotchless Lace Thong - Red Diva Size",Thong,BW276,15,product,"Baci\BW276_03.jpg","Baci\BW276_04.jpg"
BW277-BLK-QUEEN,"Industrial Net Garter & Thigh High - Black Queen Size","Thigh High",BW277,11,product,"Baci\BW277_03.jpg","Baci\BW277_04.jpg"
BW279-RED-S,"Lace G-string - Red Small",G-String,BW279,3,product,"Baci\BW279_01.jpg","Baci\BW279_02.jpg"
BW279-RED-L,"Lace G-string - Red Large",G-String,BW279,42,product,"Baci\BW279_01.jpg","Baci\BW279_02.jpg"
BW291-BLU/BLK-DS,"Dot lace and mesh dress / Blue/Black / Diva Size",Dress,BW291,46,product,"Baci\BW291_03.jpg",
BW291-BLU/BLK-QS,"Dot lace and mesh dress / Blue/Black / Queen Size",Dress,BW291,88,product,"Baci\BW291_03.jpg",
BW3001-BLK-L,"Black/Pink Mesh Thong w/Bow - Black Large",Thong,BW3001,75,product,"Baci\BW3001_01","Baci\BW3001_02.jpg"
BW3001-BLK-M,"Black/Pink Mesh Thong w/Bow - Black Medium",Thong,BW3001,77,product,"Baci\BW3001_01","Baci\BW3001_02.jpg"
BW3001-BLK-S,"Black/Pink Mesh Thong w/Bow - Black Small",Thong,BW3001,74,product,"Baci\BW3001_01","Baci\BW3001_02.jpg"
BW3001-BLK-XL,"Black/Pink Mesh Thong w/Bow - Black X-Large",Thong,BW3001,83,product,"Baci\BW3001_01","Baci\BW3001_02.jpg"
BW3002-PNK-L,"Raspberry Pink Mesh/Lace Thong w/Bow - Pink Large",Thong,BW3002,24,product,"Baci\BW3002_01","Baci\BW3002_02.jpg"
BW3002-PNK-M,"Raspberry Pink Mesh/Lace Thong w/Bow - Pink Medium",Thong,BW3002,14,product,"Baci\BW3002_01","Baci\BW3002_02.jpg"
BW3002-PNK-S,"Raspberry Pink Mesh/Lace Thong w/Bow - Pink Small",Thong,BW3002,14,product,"Baci\BW3002_01","Baci\BW3002_02.jpg"
BW3002-PNK-XL,"Raspberry Pink Mesh/Lace Thong w/Bow - Pink X-Large",Thong,BW3002,28,product,"Baci\BW3002_01","Baci\BW3002_02.jpg"
BW3003-PNK/BLK-L,"Black/Pink Satin/Lace Thong w/Bow - Pink/Black Large",Thong,BW3003,11,product,"Baci\BW3003_01","Baci\BW3003_02.jpg"
BW3003-PNK/BLK-M,"Black/Pink Satin/Lace Thong w/Bow - Pink/Black Medium",Thong,BW3003,20,product,"Baci\BW3003_01","Baci\BW3003_02.jpg"
BW3003-PNK/BLK-XL,"Black/Pink Satin/Lace Thong w/Bow - Pink/Black X-Large",Thong,BW3003,29,product,"Baci\BW3003_01","Baci\BW3003_02.jpg"
BW3003-PNK/BLK-S,"Black/Pink Satin/Lace Thong w/Bow - Pink/Black Small",Thong,BW3003,21,product,"Baci\BW3003_01","Baci\BW3003_02.jpg"
BW3004-RED-L,"Red Flower Lace Boyshort - Red Large",Boyshort,BW3004,51,product,"Baci\BW3004_01","Baci\BW3004_02.jpg"
BW3004-RED-M,"Red Flower Lace Boyshort - Red Medium",Boyshort,BW3004,39,product,"Baci\BW3004_01","Baci\BW3004_02.jpg"
BW3004-RED-S,"Red Flower Lace Boyshort - Red Small",Boyshort,BW3004,53,product,"Baci\BW3004_01","Baci\BW3004_02.jpg"
BW3004-RED-XL,"Red Flower Lace Boyshort - Red X-Large",Boyshort,BW3004,71,product,"Baci\BW3004_01","Baci\BW3004_02.jpg"
BW3005-GRY-L,"Light Grey Flower Lace Boyshort - Grey Large",Boyshort,BW3005,29,product,"Baci\BW3005_01","Baci\BW3005_02.jpg"
BW3005-GRY-M,"Light Grey Flower Lace Boyshort - Grey Medium",Boyshort,BW3005,32,product,"Baci\BW3005_01","Baci\BW3005_02.jpg"
BW3005-GRY-S,"Light Grey Flower Lace Boyshort - Grey Small",Boyshort,BW3005,34,product,"Baci\BW3005_01","Baci\BW3005_02.jpg"
BW3005-GRY-XL,"Light Grey Flower Lace Boyshort - Grey X-Large",Boyshort,BW3005,32,product,"Baci\BW3005_01","Baci\BW3005_02.jpg"
BW3006-LPNK-L,"Mid Pink Flower Lace Boyshort - LightPink Large",Boyshort,BW3006,27,product,"Baci\BW3006_01","Baci\BW3006_02.jpg"
BW3006-LPNK-M,"Mid Pink Flower Lace Boyshort - LightPink Medium",Boyshort,BW3006,24,product,"Baci\BW3006_01","Baci\BW3006_02.jpg"
BW3006-LPNK-S,"Mid Pink Flower Lace Boyshort - LightPink Small",Boyshort,BW3006,32,product,"Baci\BW3006_01","Baci\BW3006_02.jpg"
BW3006-LPNK-XL,"Mid Pink Flower Lace Boyshort - LightPink X-Large",Boyshort,BW3006,38,product,"Baci\BW3006_01","Baci\BW3006_02.jpg"
BW3007-BLK-L,"Black/Silver Glitter Lace Thong - Black Large",Thong,BW3007,41,product,"Baci\BW3007_01","Baci\BW3007_02.jpg"
BW3007-BLK-S,"Black/Silver Glitter Lace Thong - Black Small",Thong,BW3007,10,product,"Baci\BW3007_01","Baci\BW3007_02.jpg"
BW3007-BLK-XL,"Black/Silver Glitter Lace Thong - Black X-Large",Thong,BW3007,60,product,"Baci\BW3007_01","Baci\BW3007_02.jpg"
BW3008-BLK-L,"Black Flower Lace Boyshort - Black Large",Boyshort,BW3008,17,product,"Baci\BW3008_01","Baci\BW3008_02.jpg"
BW3008-BLK-M,"Black Flower Lace Boyshort - Black Medium",Boyshort,BW3008,16,product,"Baci\BW3008_01","Baci\BW3008_02.jpg"
BW3008-BLK-S,"Black Flower Lace Boyshort - Black Small",Boyshort,BW3008,25,product,"Baci\BW3008_01","Baci\BW3008_02.jpg"
BW3008-BLK-XL,"Black Flower Lace Boyshort - Black X-Large",Boyshort,BW3008,16,product,"Baci\BW3008_01","Baci\BW3008_02.jpg"
BW3009-BLK-L,"Black Flower Lace Boyshort - Black Large",Boyshort,BW3009,42,product,"Baci\BW3009_01","Baci\BW3009_02.jpg"
BW3009-BLK-S,"Black Flower Lace Boyshort - Black Small",Boyshort,BW3009,44,product,"Baci\BW3009_01","Baci\BW3009_02.jpg"
BW3009-BLK-M,"Black Flower Lace Boyshort - Black Medium",Boyshort,BW3009,44,product,"Baci\BW3009_01","Baci\BW3009_02.jpg"
BW3009-BLK-XL,"Black Flower Lace Boyshort - Black X-Large",Boyshort,BW3009,44,product,"Baci\BW3009_01","Baci\BW3009_02.jpg"
BW3010-WHT-S,"White Mesh/Lace Thong w/Bow - White Small",Thong,BW3010,43,product,"Baci\BW3010_01","Baci\BW3010_02.jpg"
BW3010-WHT-XL,"White Mesh/Lace Thong w/Bow - White X-Large",Thong,BW3010,30,product,"Baci\BW3010_01","Baci\BW3010_02.jpg"
BW3011-WHT-L,"White Lace/Mesh Thong - White Large",Thong,BW3011,12,product,"Baci\BW3011_01","Baci\BW3011_02.jpg"
BW3011-WHT-M,"White Lace/Mesh Thong - White Medium",Thong,BW3011,5,product,"Baci\BW3011_01","Baci\BW3011_02.jpg"
BW3011-WHT-S,"White Lace/Mesh Thong - White Small",Thong,BW3011,18,product,"Baci\BW3011_01","Baci\BW3011_02.jpg"
BW3011-WHT-XL,"White Lace/Mesh Thong - White X-Large",Thong,BW3011,25,product,"Baci\BW3011_01","Baci\BW3011_02.jpg"
BW3012-LPNK-L,"Light Pink Flower Lace Thong - LightPink Large",Thong,BW3012,29,product,"Baci\BW3012_01","Baci\BW3012_02.jpg"
BW3012-LPNK-M,"Light Pink Flower Lace Thong - LightPink Medium",Thong,BW3012,12,product,"Baci\BW3012_01","Baci\BW3012_02.jpg"
BW3012-LPNK-S,"Light Pink Flower Lace Thong - LightPink Small",Thong,BW3012,30,product,"Baci\BW3012_01","Baci\BW3012_02.jpg"
BW3012-LPNK-XL,"Light Pink Flower Lace Thong - LightPink X-Large",Thong,BW3012,81,product,"Baci\BW3012_01","Baci\BW3012_02.jpg"
BW3013-WHT-L,"White Flower Lace Thong - White Large",Thong,BW3013,67,product,"Baci\BW3013_01","Baci\BW3013_02.jpg"
BW3013-WHT-M,"White Flower Lace Thong - White Medium",Thong,BW3013,39,product,"Baci\BW3013_01","Baci\BW3013_02.jpg"
BW3013-WHT-S,"White Flower Lace Thong - White Small",Thong,BW3013,62,product,"Baci\BW3013_01","Baci\BW3013_02.jpg"
BW3013-WHT-XL,"White Flower Lace Thong - White X-Large",Thong,BW3013,77,product,"Baci\BW3013_01","Baci\BW3013_02.jpg"
BW3014-IVRY-L,"Ivory Flower Lace Thong - Ivory Large",Thong,BW3014,31,product,"Baci\BW3014_01","Baci\BW3014_02.jpg"
BW3014-IVRY-M,"Ivory Flower Lace Thong - Ivory Medium",Thong,BW3014,25,product,"Baci\BW3014_01","Baci\BW3014_02.jpg"
BW3014-IVRY-S,"Ivory Flower Lace Thong - Ivory Small",Thong,BW3014,34,product,"Baci\BW3014_01","Baci\BW3014_02.jpg"
BW3014-IVRY-XL,"Ivory Flower Lace Thong - Ivory X-Large",Thong,BW3014,35,product,"Baci\BW3014_01","Baci\BW3014_02.jpg"
BW3015-BLK-L,"Black Microfiber Ruffle Back Bikini - Black Large",Bikini,BW3015,29,product,"Baci\BW3015_01","Baci\BW3015_02.jpg"
BW3015-BLK-M,"Black Microfiber Ruffle Back Bikini - Black Medium",Bikini,BW3015,25,product,"Baci\BW3015_01","Baci\BW3015_02.jpg"
BW3015-BLK-S,"Black Microfiber Ruffle Back Bikini - Black Small",Bikini,BW3015,25,product,"Baci\BW3015_01","Baci\BW3015_02.jpg"
BW3015-BLK-XL,"Black Microfiber Ruffle Back Bikini - Black X-Large",Bikini,BW3015,41,product,"Baci\BW3015_01","Baci\BW3015_02.jpg"
BW3016-BLK-L,"Black/Red Lace Thong w/Bow - Black Large",Thong,BW3016,53,product,"Baci\BW3016_01","Baci\BW3016_02.jpg"
BW3016-BLK-M,"Black/Red Lace Thong w/Bow - Black Medium",Thong,BW3016,20,product,"Baci\BW3016_01","Baci\BW3016_02.jpg"
BW3016-BLK-S,"Black/Red Lace Thong w/Bow - Black Small",Thong,BW3016,38,product,"Baci\BW3016_01","Baci\BW3016_02.jpg"
BW3016-BLK-XL,"Black/Red Lace Thong w/Bow - Black X-Large",Thong,BW3016,74,product,"Baci\BW3016_01","Baci\BW3016_02.jpg"
BW3017-BLK-XL,"Black Mesh G-String - Black X-Large",G-String,BW3017,25,product,"Baci\BW3017_01",
BW3018-LPNK-L,"Light Pink Lace Thong w/Bow - LightPink Large",Thong,BW3018,27,product,"Baci\BW3018_01","Baci\BW3018_02.jpg"
BW3018-LPNK-M,"Light Pink Lace Thong w/Bow - LightPink Medium",Thong,BW3018,18,product,"Baci\BW3018_01","Baci\BW3018_02.jpg"
BW3018-LPNK-S,"Light Pink Lace Thong w/Bow - LightPink Small",Thong,BW3018,36,product,"Baci\BW3018_01","Baci\BW3018_02.jpg"
BW3018-LPNK-XL,"Light Pink Lace Thong w/Bow - LightPink X-Large",Thong,BW3018,32,product,"Baci\BW3018_01","Baci\BW3018_02.jpg"
BW3019-BLK-L,"Black/Baby Pink Mesh Crotchless Panty - Black Large",Knicker,BW3019,57,product,"Baci\BW3019_01","Baci\BW3019_02.jpg"
BW3019-BLK-M,"Black/Baby Pink Mesh Crotchless Panty - Black Medium",Knicker,BW3019,59,product,"Baci\BW3019_01","Baci\BW3019_02.jpg"
BW3019-BLK-S,"Black/Baby Pink Mesh Crotchless Panty - Black Small",Knicker,BW3019,69,product,"Baci\BW3019_01","Baci\BW3019_02.jpg"
BW3019-BLK-XL,"Black/Baby Pink Mesh Crotchless Panty - Black X-Large",Knicker,BW3019,73,product,"Baci\BW3019_01","Baci\BW3019_02.jpg"
BW3020-PNK-L,"Raspberry Pink Mesh Crotchless Panty - Pink Large",Knicker,BW3020,21,product,"Baci\BW3020_01","Baci\BW3020_02.jpg"
BW3020-PNK-M,"Raspberry Pink Mesh Crotchless Panty - Pink Medium",Knicker,BW3020,0,product,"Baci\BW3020_01","Baci\BW3020_02.jpg"
BW3020-PNK-S,"Raspberry Pink Mesh Crotchless Panty - Pink Small",Knicker,BW3020,24,product,"Baci\BW3020_01","Baci\BW3020_02.jpg"
BW3020-PNK-XL,"Raspberry Pink Mesh Crotchless Panty - Pink X-Large",Knicker,BW3020,28,product,"Baci\BW3020_01","Baci\BW3020_02.jpg"
BW3021-BLK-L,"Black Crotchless Lace Panty - Black Large",Knicker,BW3021,123,product,"Baci\BW3021_01","Baci\BW3021_02.jpg"
BW3021-BLK-M,"Black Crotchless Lace Panty - Black Medium",Knicker,BW3021,148,product,"Baci\BW3021_01","Baci\BW3021_02.jpg"
BW3021-BLK-S,"Black Crotchless Lace Panty - Black Small",Knicker,BW3021,94,product,"Baci\BW3021_01","Baci\BW3021_02.jpg"
BW3021-BLK-XL,"Black Crotchless Lace Panty - Black X-Large",Knicker,BW3021,190,product,"Baci\BW3021_01","Baci\BW3021_02.jpg"
BW3022-BLK-L,"Black Mesh Crotchless Panty - Black Large",Knicker,BW3022,8,product,"Baci\BW3022_01","Baci\BW3022_02.jpg"
BW3022-BLK-S,"Black Mesh Crotchless Panty - Black Small",Knicker,BW3022,1,product,"Baci\BW3022_01","Baci\BW3022_02.jpg"
BW3022-BLK-XL,"Black Mesh Crotchless Panty - Black X-Large",Knicker,BW3022,9,product,"Baci\BW3022_01","Baci\BW3022_02.jpg"
BW3023-WHT-L,"Wht/Baby Pink Dot Mesh Crotchless Panty - White Large",Panty,BW3023,67,product,"Baci\BW3023_01","Baci\BW3023_02.jpg"
BW3023-WHT-M,"Wht/Baby Pink Dot Mesh Crotchless Panty - White Medium",Panty,BW3023,53,product,"Baci\BW3023_01","Baci\BW3023_02.jpg"
BW3023-WHT-S,"Wht/Baby Pink Dot Mesh Crotchless Panty - White Small",Panty,BW3023,61,product,"Baci\BW3023_01","Baci\BW3023_02.jpg"
BW3023-WHT-XL,"Wht/Baby Pink Dot Mesh Crotchless Panty - White X-Large",Panty,BW3023,57,product,"Baci\BW3023_01","Baci\BW3023_02.jpg"
BW3024-WHT-M,"White Lace/Mesh Crotchless Panty - White Medium",Knicker,BW3024,15,product,"Baci\BW3024_01","Baci\BW3024_02.jpg"
BW3024-WHT-S,"White Lace/Mesh Crotchless Panty - White Small",Knicker,BW3024,20,product,"Baci\BW3024_01","Baci\BW3024_02.jpg"
BW3031-WHT-S/M,"White Lace/Mesh Chemise w/Wire w Thong - White Small/Medium",Chemise,BW3031,2,product,"Baci\BW3031_01","Baci\BW3031_02.jpg"
BW3032-BLK/LEO-M/L,"Blk/Leopard Cheetah Mesh Chemise w/Wire - Black/Leopard Medium/Large",Chemise,BW3032,53,product,"Baci\BW3032_01","Baci\BW3032_02.jpg"
BW3032-BLK/LEO-S/M,"Blk/Leopard Cheetah Mesh Chemise w/Wire - Black/Leopard Small/Medium",Chemise,BW3032,70,product,"Baci\BW3032_01","Baci\BW3032_02.jpg"
BW3035-LPNK-M/L,"Light Pink Satin Camisole/Shorts Set - LightPink Medium/Large","Cami Set",BW3035,72,product,"Baci\BW3035_01","Baci\BW3035_02.jpg"
BW3035-LPNK-S/M,"Light Pink Satin Camisole/Shorts Set - LightPink Small/Medium","Cami Set",BW3035,20,product,"Baci\BW3035_01","Baci\BW3035_02.jpg"
BW3036-LEO-M/L,"Leopard Satin Camisole/Shorts Set - Leopard Medium/Large","Cami Set",BW3036,27,product,"Baci\BW3036_01","Baci\BW3036_02.jpg"
BW3036-LEO-S/M,"Leopard Satin Camisole/Shorts Set - Leopard Small/Medium","Cami Set",BW3036,23,product,"Baci\BW3036_01","Baci\BW3036_02.jpg"
BW3041-BLK-M/L,"Blk/Rasp Flocked Mesh Babydoll Wire G-St - Black Medium/Large",Babydoll,BW3041,22,product,"Baci\BW3041_01","Baci\BW3041_02.jpg"
BW3041-BLK-S/M,"Blk/Rasp Flocked Mesh Babydoll Wire G-St - Black Small/Medium",Babydoll,BW3041,21,product,"Baci\BW3041_01","Baci\BW3041_02.jpg"
BW3043-WHT-M/L,"Wht/Baby Pnk Softcup Mesh Bra/Garterbelt - White Medium/Large","Bra Set",BW3043,52,product,"Baci\BW3043_01","Baci\BW3043_02.jpg"
BW3043-WHT-S/M,"Wht/Baby Pnk Softcup Mesh Bra/Garterbelt - White Small/Medium","Bra Set",BW3043,36,product,"Baci\BW3043_01","Baci\BW3043_02.jpg"
BW3059-BLK-M/L,"Black Lace/Mesh Chemise w/Wire and Thong - Black Medium/Large",Chemise,BW3059,32,product,"Baci\BW3059_01","Baci\BW3059_02.jpg"
BW3059-BLK-S/M,"Black Lace/Mesh Chemise w/Wire w Thong - Black Small/Medium",Chemise,BW3059,31,product,"Baci\BW3059_01","Baci\BW3059_02.jpg"
BW3061-LPNK-M/L,"Mid Pink Microfiber/Lace Chemi Wire G-St - LightPink Medium/Large",Chemise,BW3061,59,product,"Baci\BW3061_01","Baci\BW3061_02.jpg"
BW3061-LPNK-S/M,"Mid Pink Microfiber/Lace Chemi Wire G-St - LightPink Small/Medium",Chemise,BW3061,38,product,"Baci\BW3061_01","Baci\BW3061_02.jpg"
BW3064-GRY-M/L,"Black/Silver Satin Camisole/Shorts Set - Grey Medium/Large","Cami Set",BW3064,6,product,"Baci\BW3064_01","Baci\BW3064_02.jpg"
BW3064-GRY-S/M,"Black/Silver Satin Camisole/Shorts Set - Grey Small/Medium","Cami Set",BW3064,2,product,"Baci\BW3064_01","Baci\BW3064_02.jpg"
BW3073-BLK-M/L,"Blk/Champ 3pc Peekabo Bra Garterbel G-St - Black Medium/Large","Bra Set",BW3073,233,product,"Baci\BW3073_01","Baci\BW3073_02.jpg"
BW3073-BLK-S/M,"Blk/Champ 3pc Peekabo Bra Garterbel G-St - Black Small/Medium","Bra Set",BW3073,235,product,"Baci\BW3073_01","Baci\BW3073_02.jpg"
BW3074-RED-M/L,"Red Dot Mesh Wire Bra/Skirt Set - Red Medium/Large","Bra Set",BW3074,83,product,"Baci\BW3074_01","Baci\BW3074_02.jpg"
BW3074-RED-S/M,"Red Dot Mesh Wire Bra/Skirt Set - Red Small/Medium","Bra Set",BW3074,68,product,"Baci\BW3074_01","Baci\BW3074_02.jpg"
BW3075-CHMPN/BLK-M/L,"Blk/Champ Softcup Mesh Wire Bra/Skirt - Champagne/Black Medium/Large","Bra Set",BW3075,32,product,"Baci\BW3075_01","Baci\BW3075_04.jpg"
BW3075-CHMPN/BLK-S/M,"Blk/Champ Softcup Mesh Wire Bra/Skirt - Champagne/Black Small/Medium","Bra Set",BW3075,13,product,"Baci\BW3075_01","Baci\BW3075_04.jpg"
BW3100X,,"Bra Set",BW3100X,0,product,"Baci\3100-BLK-Q_front.jpg","Baci\3100-BLK-Q_back.jpg"
BW3103X,,Babydoll,BW3103X,0,product,"Baci\3103-BLK-Q_front.jpg","Baci\3103-BLK-Q_back.jpg"
BW3109-LEO-OS,"Leopard Basque w/Garter Stays no Panty - Leopard One Size","Bustiers & Corsets",BW3109,292,product,"Baci\3109-LEO_front","Baci\3109-LEO_back.jpg"
BW3109-RED-QS,"Leopard Basque w/Garter Stays no Panty Red / Queen Size","Bustiers & Corsets",BW3109,99,product,"Baci\3109-RED-Q_front","Baci\3109-RED-Q_back.jpg"
BW3112X,,Bodysuit,BW3112X,0,product,"Baci\3112-BLK-Q_front.jpg","Baci\3112-BLK-Q_back.jpg"
BW3122-BLK-S,"Rose Open Crotch Boyshort Panty - Black Small",Boyshort,BW3122,93,product,"Baci\3122-BLK_front","Baci\3122-BLK_back.jpg"
BW3122-BLK-M,"Rose Open Crotch Boyshort Panty - Black Medium",Boyshort,BW3122,148,product,"Baci\3122-BLK_front","Baci\3122-BLK_back.jpg"
BW3122-BLK-L,"Rose Open Crotch Boyshort Panty - Black Large",Boyshort,BW3122,106,product,"Baci\3122-BLK_front","Baci\3122-BLK_back.jpg"
BW3122-BLK-XL,"Rose Open Crotch Boyshort Panty - Black X-Large",Boyshort,BW3122,132,product,"Baci\3122-BLK_front","Baci\3122-BLK_back.jpg"
BW3122-BLK-QUEEN,"Rose Open Crotch Boyshort Panty - Black Queen Size",Boyshort,BW3122,62,product,"Baci\3122-BLK-Q_front","Baci\3122-BLK-Q_back.jpg"
BW3122-RED-S,"Rose Open Crotch Boyshort Panty - Red Small",Boyshort,BW3122,111,product,"Baci\3122-RED_front","Baci\3122-RED_back.jpg"
BW3122-RED-M,"Rose Open Crotch Boyshort Panty - Red Medium",Boyshort,BW3122,179,product,"Baci\3122-RED_front","Baci\3122-RED_back.jpg"
BW3122-RED-L,"Rose Open Crotch Boyshort Panty - Red Large",Boyshort,BW3122,138,product,"Baci\3122-RED_front","Baci\3122-RED_back.jpg"
BW3122-RED-XL,"Rose Open Crotch Boyshort Panty - Red X-Large",Boyshort,BW3122,133,product,"Baci\3122-RED_front","Baci\3122-RED_back.jpg"
BW3122-RED-QUEEN,"Rose Open Crotch Boyshort Panty - Red Queen Size",Boyshort,BW3122,61,product,"Baci\3122-RED-Q_front","Baci\3122-RED-Q_back.jpg"
BW3122-WHT-S,"Rose Open Crotch Boyshort Panty - White Small",Boyshort,BW3122,22,product,"Baci\3122-WHT_front","Baci\3122-WHT_back.jpg"
BW3122-WHT-M,"Rose Open Crotch Boyshort Panty - White Medium",Boyshort,BW3122,14,product,"Baci\3122-WHT_front","Baci\3122-WHT_back.jpg"
BW3122-WHT-L,"Rose Open Crotch Boyshort Panty - White Large",Boyshort,BW3122,15,product,"Baci\3122-WHT_front","Baci\3122-WHT_back.jpg"
BW3122-WHT-XL,"Rose Open Crotch Boyshort Panty - White X-Large",Boyshort,BW3122,21,product,"Baci\3122-WHT_front","Baci\3122-WHT_back.jpg"
BW3122-WHT-QUEEN,"Rose Open Crotch Boyshort Panty - White Queen Size",Boyshort,BW3122,0,product,"Baci\3122-WHT-Q_front","Baci\3122-WHT-Q_back.jpg"
BW399-BLU-S,"Low-rise lace booty short - Blue Small",Boyshort,BW399,33,product,"Baci\BW399_01.jpg","Baci\BW399_02.jpg"
BW399-BLU-L,"Low-rise lace booty short - Blue Large",Boyshort,BW399,102,product,"Baci\BW399_01.jpg","Baci\BW399_02.jpg"
BW419,,Babydoll,BW419,0,product,"Baci\BW419_03.jpg","Baci\BW419_04.jpg"
BW420-BLK-QUEEN,"Lace Mesh Tube Dress - Black Queen Size",Dress,BW420,9,product,"Baci\BW420_03.jpg","Baci\BW420_04.jpg"
BW420-BLK-DIVA,"Lace Mesh Tube Dress - Black Diva Size",Dress,BW420,3,product,"Baci\BW420_03.jpg","Baci\BW420_04.jpg"
BW427,,Bodystocking,BW427,0,product,"Baci\BW427_03.jpg","Baci\BW427_04.jpg"
BW441-RED-DS,"Low Rise Lace Booty Shorts / Red / Diva Size",Boyshorts,BW441,60,product,"Baci\BW441_03.jpg",
BW441-RED-L,"Low Rise Lace Booty Shorts / Red / Large",Boyshorts,BW441,5,product,"Baci\BW441_01.jpg",
BW441-RED-QS,"Low Rise Lace Booty Shorts / Red / Queen Size",Boyshorts,BW441,1,product,"Baci\BW441_03.jpg",
BW441-RED-S,"Low Rise Lace Booty Shorts / Red / Small",Boyshorts,BW441,7,product,"Baci\BW441_01.jpg",
BW449-BLK-S,"Lace Boyshort - Black Small",Boyshort,BW449,30,product,"Baci\BW449_01.jpg","Baci\BW449_02.jpg"
BW449-BLK-L,"Lace Boyshort - Black Large",Boyshort,BW449,121,product,"Baci\BW449_01.jpg","Baci\BW449_02.jpg"
BW466-BLK-DS,"Low Rise Lace Booty Shorts / Black / Diva Size",Boyshorts,BW466,51,product,"Baci\BW466_03.jpg",
BW466-BLK-QS,"Low Rise Lace Booty Shorts / Black / Queen Size",Boyshorts,BW466,1,product,"Baci\BW466_03.jpg",
AD2005,,Pantyhose,AD2005,98,product,"Baci\AD2005_01.jpg","Baci\AD2005_02.jpg"
AD2006,,"Thigh High",AD2006,53,product,"Baci\AD2006_01.jpg","Baci\AD2006_02.jpg"
AD2009,,"Thigh High",AD2009,79,product,"Baci\AD2009_01.jpg","Baci\AD2009_02.jpg"
AD2013,,"Thigh High",AD2013,127,product,"Baci\AD2013_01.jpg","Baci\AD2013_02.jpg"
AD2014,,"Thigh High",AD2014,63,product,"Baci\AD2014_01.jpg","Baci\AD2014_02.jpg"
AD2015,,Pantyhose,AD2015,99,product,"Baci\AD2015_01.jpg","Baci\AD2015_02.jpg"
AD2018,,Pantyhose,AD2018,350,product,"Baci\AD2018_01.jpg","Baci\AD2018_02.jpg"
MASQ10,,Masks,MASQ10,42,product,"Baci\MASQ-10_01",
MASQ11,,Masks,MASQ11,28,product,"Baci\MASQ-11_01",
