stock_code,description,parent_stock_type,parent_stock_code,stock_available,post_type,image_1,image_2
BE658,,Eyelash,BE658,42,product,"Baci\BE658_01",BE658_01,"Eyelashes\BE658_01"
BE659,,Eyelash,BE659,25,product,"Baci\BE659_01",BE659_01,"Eyelashes\BE659_01"
BE660,,Eyelash,BE660,24,product,"Baci\BE660_01",BE660_01,"Eyelashes\BE660_01"
BE661,,Eyelash,BE661,35,product,"Baci\BE661_01",BE661_01,"Eyelashes\BE661_01"
BE663,,Eyelash,BE663,49,product,"Baci\BE663_01",BE663_01,"Eyelashes\BE663_01"
BE664,,Eyelash,BE664,19,product,"Baci\BE664_01",BE664_01,"Eyelashes\BE664_01"
BE666,,Eyelash,BE666,31,product,"Baci\BE666_01",BE666_01,"Eyelashes\BE666_01"
BE667,,Eyelash,BE667,48,product,"Baci\BE667_01",BE667_01,"Eyelashes\BE667_01"
BE669,,Eyelash,BE669,63,product,"Baci\BE669_01",BE669_01,"Eyelashes\BE669_01"
BE671,,Eyelash,BE671,32,product,"Baci\BE671_01",BE671_01,"Eyelashes\BE671_01"
BE672,,Eyelash,BE672,41,product,"Baci\BE672_01",BE672_01,"Eyelashes\BE672_01"
BE674,,Eyelash,BE674,22,product,"Baci\BE674_01",BE674_01,"Eyelashes\BE674_01"
BE675,,Eyelash,BE675,73,product,"Baci\BE675_01",BE675_01,"Eyelashes\BE675_01"
BE676,,Eyelash,BE676,22,product,"Baci\BE676_01",BE676_01,"Eyelashes\BE676_01"
BE677,,Eyelash,BE677,41,product,"Baci\BE677_01",BE677_01,"Eyelashes\BE677_01"
BE678,,Eyelash,BE678,35,product,"Baci\BE678_01",BE678_01,"Eyelashes\BE678_01"
BE680,,Eyelash,BE680,28,product,"Baci\BE680_01",BE680_01,"Eyelashes\BE680_01"
BE681,,Eyelash,BE681,65,product,"Baci\BE681_01",BE681_01,"Eyelashes\BE681_01"
BE682,,Eyelash,BE682,40,product,"Baci\BE682_01",BE682_01,"Eyelashes\BE682_01"
BE683,,Eyelash,BE683,33,product,"Baci\BE683_01",BE683_01,"Eyelashes\BE683_01"
BE685,,Eyelash,BE685,1,product,"Baci\BE685_01",BE685_01,"Eyelashes\BE685_01"
BE686,,Eyelash,BE686,41,product,"Baci\BE686_01",BE686_01,"Eyelashes\BE686_01"
BE687,,Eyelash,BE687,70,product,"Baci\BE687_01",BE687_01,"Eyelashes\BE687_01"
BE690,,Eyelash,BE690,26,product,"Baci\BE690_01",BE690_01,"Eyelashes\BE690_01"
BE691,,Eyelash,BE691,33,product,"Baci\BE691_01",BE691_01,"Eyelashes\BE691_01"
BW048,,Pastee,BW048,78,product,"Baci\BW048_01.jpg",
BW088,,Babydoll,BW088,1,product,"Baci\BW088_01.jpg","Baci\BW088_02.jpg"
BW3026,,Chemise,BW3026,1,product,"Baci\BW3026_01.jpg","Baci\BW3026_02.jpg"
BW3033,,Teddy,BW3033,157,product,"Baci\BW3033_01","Baci\BW3033_02.jpg"
BW3040,,Babydoll,BW3040,3,product,"Baci\BW3040_01","Baci\BW3040_02.jpg"
BW3045,,"Bra Set",BW3045,8,product,"Baci\BW3045_01","Baci\BW3045_02.jpg"
BW3046,,"Bra Set",BW3046,0,product,"Baci\BW3046_01","Baci\BW3046_02.jpg"
BW3048,,Garterbelt,BW3048,155,product,"Baci\BW3048_01","Baci\BW3048_02.jpg"
BW3049,,Garterbelt,BW3049,212,product,"Baci\BW3049_01.jpg",
BW3050,,"Leg Garter",BW3050,23,product,"Baci\BW3050_01",
BW3051,,"Leg Garter",BW3051,18,product,"Baci\BW3051_01",
BW3052,,"Leg Garter",BW3052,132,product,"Baci\BW3052_01",
BW3054,,Chemise,BW3054,0,product,"Baci\BW3054_01","Baci\BW3054_02.jpg"
BW3055,,Chemise,BW3055,158,product,"Baci\BW3055_01","Baci\BW3055_02.jpg"
BW3057,,Chemise,BW3057,22,product,"Baci\BW3057_01","Baci\BW3057_02.jpg"
BW3058,,Chemise,BW3058,3,product,"Baci\BW3058_01","Baci\BW3058_02.jpg"
BW3060,,Chemise,BW3060,18,product,"Baci\BW3060_01","Baci\BW3060_02.jpg"
BW3068,,Babydoll,BW3068,2,product,"Baci\BW3068_01","Baci\BW3068_02.jpg"
BW3072,,"Bra Set",BW3072,52,product,"Baci\BW3072_01","Baci\BW3072_02.jpg"
BW3076,,Garterbelt,BW3076,19,product,"Baci\BW3076_01","Baci\BW3076_02.jpg"
BW3077,,"Leg Garter",BW3077,1,product,"Baci\BW3077_01",
BW3078,,"Leg Garter",BW3078,73,product,"Baci\BW3078_01",
BW3079,,"Leg Garter",BW3079,192,product,"Baci\BW3079_01",
BW3082,,Masks,BW3082,44,product,"Baci\BW3082_01",
BW3108,,"Bustiers & Corsets",BW3108,23,product,"Baci\3108-LEO_front","Baci\3108-LEO_back.jpg"
BW471,,Pantyhose,BW471,7,product,"Baci\BW471_01.jpg","Baci\BW471_02.jpg"
BW128-PNK-M,"Crotchless lace panties - Pink Medium",Knicker,BW128,101,product,"Baci\BW128_01.jpg","Baci\BW128_02.jpg"
BW128-PNK-L,"Crotchless lace panties - Pink Large",Knicker,BW128,10,product,"Baci\BW128_01.jpg","Baci\BW128_02.jpg"
