stock_code,parent_stock_type,parent_stock_code,stock_available
CO33002-BLK-OS,Leggings,CO33002,2,"Cocolicious\33002-BLK.jpg"
CO35003-NDE-OS,Dress,CO35003,1,"Cocolicious\35003-NDE.jpg"
CO36001-HPNK-OS,G-String,CO36001,3,"Cocolicious\36001-HP.jpg"
CO36003-BLK-OS,Thong,CO36003,0,"Cocolicious\36003-BLK.jpg"
CO37003-BLK-OS,Bikini,CO37003,1,"Cocolicious\37003-BLK.jpg"
CO37003-RED-OS,Bikini,CO37003,1,"Cocolicious\37003-RED.jpg"
CO38022-BLK-OS,"Thigh High",CO38022,1,"Cocolicious\38022-BLK.jpg"
CO39018-BLK-OS,Pantyhose,CO39018,3,"Cocolicious\39018-BLK.jpg"
