stock_code,description,parent_stock_type,parent_stock_code,stock_available
STM10513X-TUR-1X/2X,"Laila Panty - Turquoise 1X/2X",Knicker,STM10513X,0,"STM\10513X_TURQ_F.jpg","STM\10513X_TURQ_B.jpg"
STM10513X-TUR-3X/4X,"Laila Panty - Turquoise 3X/4X",Knicker,STM10513X,0,"STM\10513X_TURQ_F.jpg","STM\10513X_TURQ_B.jpg"
STM10519-BLK-XL,"Olivia Thong / Black / X-Large",Thong,STM10519,6,"STM\10519_BLACK_F.jpg","STM\10519_BLACK_B.jpg","STM\10519_BLACK_F"
STM10560P,,Merrywidow,STM10560P,0,"STM\10560P_RED_F.jpg","STM\10560P_RED_B.jpg"
STM10560XP,,Merrywidow,STM10560XP,0,"STM\10560XP_RED_F.jpg","STM\10560XP_RED_B.jpg"
STM10565P-RED-OS,"Bow Statement Bra Set - Red One Size","Bra Set",STM10565P,7,"STM\10565P_RED_F.jpg","STM\10565P_RED_B.jpg"
STM10565P-BLK-OS,"Bow Statement Bra Set - Black One Size","Bra Set",STM10565P,12,"STM\10565P_Black_F.JPG","STM\10565P_Black_B.JPG"
STM10607-BLK-S,"Galloon Lace Panty - Black Small",Knicker,STM10607,4,"STM\10607_BLACK_F.jpg","STM\10607_BLACK_B.jpg"
STM10607-BLK-M,"Galloon Lace Panty - Black Medium",Knicker,STM10607,0,"STM\10607_BLACK_F.jpg","STM\10607_BLACK_B.jpg"
STM10607-BLK-L,"Galloon Lace Panty - Black Large",Knicker,STM10607,0,"STM\10607_BLACK_F.jpg","STM\10607_BLACK_B.jpg"
STM10607-BLK-XL,"Galloon Lace Panty - Black X-Large",Knicker,STM10607,0,"STM\10607_BLACK_F.jpg","STM\10607_BLACK_B.jpg"
STM10607-HPNK-S,"Galloon Lace Panty - HotPink Small",Knicker,STM10607,0,"STM\10607_HOTPINK_F.jpg","STM\10607_HOTPINK_B.jpg"
STM10607-HPNK-M,"Galloon Lace Panty - HotPink Medium",Knicker,STM10607,0,"STM\10607_HOTPINK_F.jpg","STM\10607_HOTPINK_B.jpg"
