stock_code,parent_stock_type,parent_stock_code,stock_available
RR1046-BLK-S/M,Panty,RR1046,3,"Rene\1046-BLK","Rene\1046-BLK-B.jpg"
RR1047-BLK-M/L,Panty,RR1047,20,"Rene\1047-BLK-front","Rene\1047-BLK-rear.jpg"
RR1048-BLK-M/L,Boyshort,RR1048,24,"Rene\1048-BLK-front","Rene\1048-BLK-rear.jpg"
RR1048-BLK-S/M,Boyshort,RR1048,24,"Rene\1048-BLK-front","Rene\1048-BLK-rear.jpg"
RR1050-BLK-S/M,Thong,RR1050,0,"Rene\1050-BLK-front","Rene\1050-BLK-rear.jpg"
RR1050-BLK-M/L,Thong,RR1050,6,"Rene\1050-BLK-front","Rene\1050-BLK-rear.jpg"
RR1051-BLK-M/L,Boyshort,RR1051,1,"Rene\1051-BLK-front","Rene\1051-BLK-rear.jpg"
RR1059-BLK-M/L,Garterbelt,RR1059,7,"Rene\1059-BLK","Rene\1059-BLK-B.jpg"
RR1059-BLK-S/M,Garterbelt,RR1059,10,"Rene\1059-BLK","Rene\1059-BLK-B.jpg"
RR1059-WHT-M/L,Garterbelt,RR1059,28,"Rene\1059-WHT","Rene\1059-WHT-B.jpg"
RR1059-WHT-S/M,Garterbelt,RR1059,17,"Rene\1059-WHT","Rene\1059-WHT-B.jpg"
RR1061-BLK-M/L,Boyshort,RR1061,4,"Rene\RR1061-BLK_01","Rene\RR1061-BLK_02.jpg"
RR1061-BLK-S/M,Boyshort,RR1061,29,"Rene\RR1061-BLK_01","Rene\RR1061-BLK_02.jpg"
RR1062-BLK-M/L,Garterbelt,RR1062,133,"Rene\RR1062-BLK_01","Rene\RR1062-BLK_02.jpg"
RR1062-BLK-S/M,Garterbelt,RR1062,35,"Rene\RR1062-BLK_01","Rene\RR1062-BLK_02.jpg"
RR1064-BLK-M/L,Panty,RR1064,19,"Rene\1064-BLK","Rene\1064-BLK-B.jpg"
RR1065-NDE-M/L,Panty,RR1065,0,"Rene\RR1065_010_01","Rene\RR1065_010_02.jpg"
