stock_code,parent_stock_type,parent_stock_code,stock_available
RR50014X-WHT-1X/2X,Teddy,RR50014X,8,"Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-2994","Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-3024.jpg"
RR50014X-WHT-3X/4X,Teddy,RR50014X,10,"Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-2994","Rene\50014XWHT-Plunge-In-Lace-1pc-Teddy-3024.jpg"
RR501168-LEO-M/L,Babydoll,RR501168,1,"Rene\501168-427-front"
RR501168-LEO-S/M,Babydoll,RR501168,6,"Rene\501168-427-front"
RR501185-BLK-M/L,Slip,RR501185,1,"Rene\501185-BLK","Rene\501185-BLK-B.jpg"
RR501185-BLK-S/M,Slip,RR501185,4,"Rene\501185-BLK","Rene\501185-BLK-B.jpg"
RR501455-LEO-M/L,Babydoll,RR501455,1,"Rene\501455-3154-front","Rene\501455-3154-rear.jpg"
RR501455-LEO-S/M,Babydoll,RR501455,12,"Rene\501455-3154-front","Rene\501455-3154-rear.jpg"
RR502001-LEO-M/L,Babydoll,RR502001,3,"Rene\502001-001-front","Rene\502001-001-rear.jpg"
RR502003-BLK-M/L,Teddy,RR502003,18,"Rene\502003-BLK-front","Rene\502003-BLK-rear.jpg"
RR502004-BLK-M/L,Teddy,RR502004,92,"Rene\502004-BLK front","Rene\502004-BLK rear.jpg"
RR502005-BLK-M/L,Teddy,RR502005,19,"Rene\502005-BLK-front","Rene\502005-BLK-rear.jpg"
RR502005-BLK-S/M,Teddy,RR502005,25,"Rene\502005-BLK-front","Rene\502005-BLK-rear.jpg"
RR502014-BLK-M/L,Teddy,RR502014,19,"Rene\502014-front","Rene\502014-rear.jpg"
RR502014-BLK-S/M,Teddy,RR502014,18,"Rene\502014-front","Rene\502014-rear.jpg"
RR502024-BLK-M/L,Teddy,RR502024,19,"Rene\502024-BLK-front","Rene\502024-BLK-rear.jpg"
RR502024-BLK-S/M,Teddy,RR502024,14,"Rene\502024-BLK-front","Rene\502024-BLK-rear.jpg"
RR502028-BLK-M/L,Teddy,RR502028,1,"Rene\502028-front","Rene\502028-rear.jpg"
RR502028-BLK-S/M,Teddy,RR502028,3,"Rene\502028-front","Rene\502028-rear.jpg"
RR502040-BLK-M/L,Bodysuit,RR502040,37,"Rene\502040-BLK","Rene\502040-BLK-B.jpg"
RR502040-BLK-S/M,Bodysuit,RR502040,65,"Rene\502040-BLK","Rene\502040-BLK-B.jpg"
RR502046-BLK-M/L,Teddy,RR502046,33,"Rene\502046-BLK","Rene\502046-BLK-B.jpg"
RR502122-BLK-M/L,Teddy,RR502122,5,"Rene\502122-BLK","Rene\502122-BLK-B.jpg"
RR502126-BLK-M/L,Bodysuit,RR502126,4,"Rene\502126-BLK","Rene\502126-BLK-B.jpg"
RR502126-BLK-S/M,Bodysuit,RR502126,4,"Rene\502126-BLK","Rene\502126-BLK-B.jpg"
RR502127-BLK-M/L,Teddy,RR502127,5,"Rene\502127-BLK","Rene\502127-BLK-B.jpg"
RR502138-RED-M/L,Teddy,RR502138,11,"Rene\502138-RED","Rene\502138-RED-B.jpg"
RR502138-RED-S/M,Teddy,RR502138,0,"Rene\502138-RED","Rene\502138-RED-B.jpg"
RR502138-BLK-M/L,Teddy,RR502138,5,"Rene\502138-BLK","Rene\502138-BLK-B.jpg"
RR502138-BLK-S/M,Teddy,RR502138,5,"Rene\502138-BLK","Rene\502138-BLK-B.jpg"
RR502138-NVY-S/M,Teddy,RR502138,2,"Rene\502138-BLK","Rene\502138-BLK-B.jpg","Rene\502138-RED.jpg","Rene\502138-RED-B.jpg"
RR502138-NVY-M/L,Teddy,RR502138,0,"Rene\502138-BLK","Rene\502138-BLK-B.jpg","Rene\502138-RED.jpg","Rene\502138-RED-B.jpg"
RR502139-BLK-M/L,Teddy,RR502139,10,"Rene\502139-BLK","Rene\502139-BLK-B.jpg"
RR502139-BLK-S/M,Teddy,RR502139,9,"Rene\502139-BLK","Rene\502139-BLK-B.jpg"
RR502140-BLK-M/L,Bodysuit,RR502140,3,"Rene\502140-BLK","Rene\502140-BLK-B.jpg"
RR502140-BLK-S/M,Bodysuit,RR502140,0,"Rene\502140-BLK","Rene\502140-BLK-B.jpg"
RR502140-RED-M/L,Bodysuit,RR502140,1,"Rene\502140-RED","Rene\502140-RED-B.jpg"
RR502140-RED-S/M,Bodysuit,RR502140,6,"Rene\502140-RED","Rene\502140-RED-B.jpg"
RR502141-BLK-M/L,Teddy,RR502141,10,"Rene\502141-BLK","Rene\502141-BLK-B.jpg"
RR502141-BLK-S/M,Teddy,RR502141,3,"Rene\502141-BLK","Rene\502141-BLK-B.jpg"
RR502141-RED-M/L,Teddy,RR502141,40,"Rene\502141-RED","Rene\502141-RED-B.jpg"
RR502141-RED-S/M,Teddy,RR502141,6,"Rene\502141-RED","Rene\502141-RED-B.jpg"
RR502141-NVY-S/M,Teddy,RR502141,3,"Rene\502141-BLK","Rene\502141-BLK-B.jpg","Rene\502141-RED.jpg","Rene\502141-RED-B.jpg"
RR502141-NVY-M/L,Teddy,RR502141,3,"Rene\502141-BLK","Rene\502141-BLK-B.jpg","Rene\502141-RED.jpg","Rene\502141-RED-B.jpg"
RR502142-BLK-M/L,Teddy,RR502142,672,"Rene\502142-BLK","Rene\502142-BLK-B.jpg"
RR502142-BLK-S/M,Teddy,RR502142,374,"Rene\502142-BLK","Rene\502142-BLK-B.jpg"
RR502142-RED-M/L,Teddy,RR502142,665,"Rene\502142-RED","Rene\502142-RED-B.jpg"
RR502142-RED-S/M,Teddy,RR502142,849,"Rene\502142-RED","Rene\502142-RED-B.jpg"
RR502143,Teddy,RR502143,6,"Rene\502143-BLK.jpg","Rene\502143-BLK-B.jpg"
RR502146,Teddy,RR502146,34,"Rene\502146-BLK.jpg","Rene\502146-BLK-B.jpg"
RR502147-BLK-M/L,Bondage,RR502147,2,"Rene\502147-BLK","Rene\502147-BLK-B.jpg"
RR502147-BLK-S/M,Bondage,RR502147,1,"Rene\502147-BLK","Rene\502147-BLK-B.jpg"
RR502153-BLK-M/L,Teddy,RR502153,8,"Rene\502153-BLK","Rene\502153-BLK-B.jpg"
RR502153-BLK-S/M,Teddy,RR502153,2,"Rene\502153-BLK","Rene\502153-BLK-B.jpg"
RR502159-BLK-M/L,Teddy,RR502159,0,"Rene\502159-BLK","Rene\502159-BLK-B.jpg"
RR502167-BLK-M/L,Teddy,RR502167,33,"Rene\502167-BLK-05","Rene\502167-BLK-06.jpg"
RR502167-BLK-S/M,Teddy,RR502167,28,"Rene\502167-BLK-05","Rene\502167-BLK-06.jpg"
RR502169-RED-M/L,Teddy,RR502169,14,"Rene\502169-RED-05","Rene\502169-RED-04.jpg"
RR502169-RED-S/M,Teddy,RR502169,0,"Rene\502169-RED-05","Rene\502169-RED-04.jpg"
RR502170-BLK-M/L,Teddy,RR502170,1,"Rene\502170-BLK-07","Rene\502170-BLK-06.jpg"
RR502170-BLK-S/M,Teddy,RR502170,0,"Rene\502170-BLK-07","Rene\502170-BLK-06.jpg"
RR5039-BLK-M/L,"Bra Set",RR5039,3,"Rene\5039-RED-front-3","Rene\5039-RED-rear-2.jpg"
RR50619X,Dress,RR50619X,75,"Rene\50619X-BLK-front.jpg","Rene\50619X-BLK-rear.jpg"
RR51001X-BLK-1X/2X,Chemise,RR51001X,16,"Rene\51001X-BLK-7086","Rene\51001X-BLK-7111.jpg"
RR51001X-BLK-3X/4X,Chemise,RR51001X,18,"Rene\51001X-BLK-7086","Rene\51001X-BLK-7111.jpg"
RR51002-BLK-M/L,Chemise,RR51002,3,"Rene\51002-BLK-0924","Rene\51002-BLK-0961.jpg"
RR51002-BLK-S/M,Chemise,RR51002,2,"Rene\51002-BLK-0924","Rene\51002-BLK-0961.jpg"
RR51003-BLK-M/L,Dress,RR51003,13,"Rene\51003-BLK-6667","Rene\51003-BLK-6703.jpg"
RR51003-BLK-S/M,Dress,RR51003,14,"Rene\51003-BLK-6667","Rene\51003-BLK-6703.jpg"
RR51004X-BLK-1X/2X,"Gowns & Robes",RR51004X,12,"Rene\51004X-BLK-5574","Rene\51004X-BLK-5623.jpg"
RR51004X-BLK-3X/4X,"Gowns & Robes",RR51004X,9,"Rene\51004X-BLK-5574","Rene\51004X-BLK-5623.jpg"
RR51005-BLK-M/L,Chemise,RR51005,0,"Rene\51005-BLK-6786","Rene\51005-BLK-6857.jpg"
RR51005-BLK-S/M,Chemise,RR51005,1,"Rene\51005-BLK-6786","Rene\51005-BLK-6857.jpg"
RR51006X-BLK-1X/2X,Chemise,RR51006X,6,"Rene\51006X-BLK-5818","Rene\51006X-BLK-5885.jpg"
RR51006X-BLK-3X/4X,Chemise,RR51006X,6,"Rene\51006X-BLK-5818","Rene\51006X-BLK-5885.jpg"
RR51007X-BLK-1X/2X,Chemise,RR51007X,4,"Rene\51007X-BLK-5358","Rene\51007X-BLK-5389.jpg"
RR51007X-BLK-3X/4X,Chemise,RR51007X,4,"Rene\51007X-BLK-5358","Rene\51007X-BLK-5389.jpg"
RR51007X-BUR-1X/2X,Chemise,RR51007X,4,"Rene\51007X-BOR-5477","Rene\51007X-BOR-5502.jpg"
RR51007X-BUR-3X/4X,Chemise,RR51007X,4,"Rene\51007X-BOR-5477","Rene\51007X-BOR-5502.jpg"
RR511542X,Babydoll,RR511542X,3,"Rene\511542X-BLK-front.jpg","Rene\511542X-BLK-rear.jpg"
RR511543X,Babydoll,RR511543X,1,"Rene\511543X-BLK-front.jpg","Rene\511543X-BLK-rear.jpg"
RR511574,Babydoll,RR511574,2,"Rene\511574-BLK-OS-front.jpg","Rene\511574-BLK-OS-rear.jpg"
RR511575-PNK-OS,Babydoll,RR511575,13,"Rene\511575-PNK-OS-front.jpg","Rene\511575-PNK-OS-rear.jpg"
RR511575-PNK-QS,Babydoll,RR511575,3,"Rene\511575-PNK-OS-front.jpg","Rene\511575-PNK-OS-rear.jpg"
RR511576,Chemise,RR511576,4,"Rene\511576-PNK-OS-front.jpg","Rene\511576-PNK-OS-rear.jpg"
RR512017,Chemise,RR512017,11,"Rene\512017-BLK.jpg","Rene\512017-BLK-B.jpg"
RR512019-BLK-M/L,Merrywidow,RR512019,1,"Rene\512019-front","Rene\512019-rear.jpg"
RR512020,Dress,RR512020,0,"Rene\512020-BLK-front","Rene\512020-BLK-rear.jpg"
RR512029-BLK-M/L,Babydoll,RR512029,84,"Rene\512029-front","Rene\512029-rear.jpg"
RR512029-BLK-S/M,Babydoll,RR512029,128,"Rene\512029-front","Rene\512029-rear.jpg"
RR512037-BLK-M/L,Chemise,RR512037,3,"Rene\512037-BLK","Rene\512037-BLK-B.jpg"
RR512037-BLK-S/M,Chemise,RR512037,1,"Rene\512037-BLK","Rene\512037-BLK-B.jpg"
RR512037-RED-M/L,Chemise,RR512037,5,"Rene\512037-RED","Rene\512037-RED-B.jpg"
RR512037-RED-S/M,Chemise,RR512037,0,"Rene\512037-RED","Rene\512037-RED-B.jpg"
RR512041-BLK-M/L,Chemise,RR512041,95,"Rene\512041-BLK","Rene\512041-BLK-B.jpg"
RR512041-BLK-S/M,Chemise,RR512041,67,"Rene\512041-BLK","Rene\512041-BLK-B.jpg"
RR512058-RED-M/L,Chemise,RR512058,0,"Rene\512058-RED","Rene\512058-RED-B.jpg"
RR512060-BLK-S/M,Chemise,RR512060,19,"Rene\512060-BLK","Rene\512060-BLK-B.jpg"
RR512065-BLK-M/L,Chemise,RR512065,14,"Rene\512065-BLK","Rene\512065-BLK-B.jpg"
RR512065-BLK-S/M,Chemise,RR512065,15,"Rene\512065-BLK","Rene\512065-BLK-B.jpg"
RR512068-RED-M/L,Chemise,RR512068,188,"Rene\512068-RED","Rene\512068-RED-B.jpg"
RR512068-RED-S/M,Chemise,RR512068,201,"Rene\512068-RED","Rene\512068-RED-B.jpg"
RR512071-BLK-S,"Bustiers & Corsets",RR512071,10,"Rene\512071","Rene\512071-B.jpg"
RR512072-BLK-XL,"Bustiers & Corsets",RR512072,3,"Rene\512072","Rene\512072-B.jpg"
RR512075-RED-L,"Bustiers & Corsets",RR512075,30,"Rene\512075-RED","Rene\512075-B.jpg"
RR512075-RED-M,"Bustiers & Corsets",RR512075,49,"Rene\512075-RED","Rene\512075-B.jpg"
RR512075-RED-S,"Bustiers & Corsets",RR512075,52,"Rene\512075-RED","Rene\512075-B.jpg"
RR512075-RED-XL,"Bustiers & Corsets",RR512075,22,"Rene\512075-RED","Rene\512075-B.jpg"
RR512076-PUR-S,"Bustiers & Corsets",RR512076,2,"Rene\512076","Rene\512076-B.jpg"
RR512078-BLK-L,Chemise,RR512078,2,"Rene\512078","Rene\512078-B.jpg"
RR512078-BLK-M,Chemise,RR512078,2,"Rene\512078","Rene\512078-B.jpg"
RR512078-BLK-S,Chemise,RR512078,1,"Rene\512078","Rene\512078-B.jpg"
RR512078-BLK-XL,Chemise,RR512078,5,"Rene\512078","Rene\512078-B.jpg"
RR512079-PNK-M,Chemise,RR512079,6,"Rene\512079","Rene\512079-B.jpg"
RR512079-PNK-S,Chemise,RR512079,8,"Rene\512079","Rene\512079-B.jpg"
RR512079-PNK-XL,Chemise,RR512079,10,"Rene\512079","Rene\512079-B.jpg"
RR512079-PNK-L,Chemise,RR512079,0,"Rene\512079","Rene\512079-B.jpg"
RR512080-BLK-S/M,Chemise,RR512080,3,"Rene\512080-BLK","Rene\512080-BLK-B.jpg"
RR512081-BLK-M/L,Chemise,RR512081,10,"Rene\512081-BLK","Rene\512081-BLK-B.jpg"
RR512081-BLK-S/M,Chemise,RR512081,12,"Rene\512081-BLK","Rene\512081-BLK-B.jpg"
RR512082-BLK-S/M,Chemise,RR512082,18,"Rene\512082-BLK","Rene\512082-BLK-B.jpg"
RR512082-RED-M/L,Chemise,RR512082,10,"Rene\512082-RED","Rene\512082-RED-B.jpg"
RR512082-RED-S/M,Chemise,RR512082,8,"Rene\512082-RED","Rene\512082-RED-B.jpg"
RR512083-PNK-M/L,Chemise,RR512083,200,"Rene\512083-PNK","Rene\512083-PNK-B.jpg"
RR512083-PNK-S/M,Chemise,RR512083,202,"Rene\512083-PNK","Rene\512083-PNK-B.jpg"
RR512084-BLK-M/L,Chemise,RR512084,92,"Rene\512084-BLK","Rene\512084-BLK-B.jpg"
RR512084-BLK-S/M,Chemise,RR512084,72,"Rene\512084-BLK","Rene\512084-BLK-B.jpg"
RR512086-BLK-S/M,Chemise,RR512086,9,"Rene\512086-BLK","Rene\512086-BLK-B.jpg"
RR512087-BLK-M/L,Chemise,RR512087,166,"Rene\512087-BLK","Rene\512087-BLK-B.jpg"
RR512087-BLK-S/M,Chemise,RR512087,166,"Rene\512087-BLK","Rene\512087-BLK-B.jpg"
RR512090-RED-M/L,Chemise,RR512090,10,"Rene\512090-RED","Rene\512090-RED-B.jpg"
RR512090-RED-S/M,Chemise,RR512090,8,"Rene\512090-RED","Rene\512090-RED-B.jpg"
RR512090-BLK-M/L,Chemise,RR512090,13,"Rene\512090-BLK","Rene\512090-BLK-B.jpg"
RR512091-NUD-M/L,Chemise,RR512091,4,"Rene\512091-NUD","Rene\512091-NUD-B.jpg"
RR512095-RED-L,"Bustiers & Corsets",RR512095,3,"Rene\512095-RED","Rene\512095-RED-B.jpg"
RR512095-RED-M,"Bustiers & Corsets",RR512095,0,"Rene\512095-RED","Rene\512095-RED-B.jpg"
RR512095-RED-XL,"Bustiers & Corsets",RR512095,1,"Rene\512095-RED","Rene\512095-RED-B.jpg"
RR512097-BLK-L,"Bustiers & Corsets",RR512097,3,"Rene\512097-BLK","Rene\512097-BLK-B.jpg"
RR512097-BLK-M,"Bustiers & Corsets",RR512097,1,"Rene\512097-BLK","Rene\512097-BLK-B.jpg"
RR512097-BLK-S,"Bustiers & Corsets",RR512097,10,"Rene\512097-BLK","Rene\512097-BLK-B.jpg"
RR512097-BLK-XL,"Bustiers & Corsets",RR512097,4,"Rene\512097-BLK","Rene\512097-BLK-B.jpg"
RR512098-BLK-M,"Bustiers & Corsets",RR512098,7,"Rene\512098-BLK","Rene\512098-BLK-B.jpg"
RR512099-PNK-L,"Bustiers & Corsets",RR512099,3,"Rene\512099-PNK","Rene\512099-PNK-B.jpg"
RR512099-PNK-XL,"Bustiers & Corsets",RR512099,3,"Rene\512099-PNK","Rene\512099-PNK-B.jpg"
RR512099-PNK-S,"Bustiers & Corsets",RR512099,6,"Rene\512099-PNK","Rene\512099-PNK-B.jpg"
RR512100-BLK-M/L,Chemise,RR512100,6,"Rene\512100-BLK","Rene\512100-BLK-B.jpg"
RR512100-BLK-S/M,Chemise,RR512100,4,"Rene\512100-BLK","Rene\512100-BLK-B.jpg"
RR512101-BLK-M/L,Chemise,RR512101,6,"Rene\512101-BLK","Rene\512101-BLK-B.jpg"
RR512101-BLK-S/M,Chemise,RR512101,3,"Rene\512101-BLK","Rene\512101-BLK-B.jpg"
RR512102-BLK-M/L,Chemise,RR512102,7,"Rene\512102-BLK","Rene\512102-BLK-B.jpg"
RR512107,"Bustiers & Corsets",RR512107,0,"Rene\512107-RED","Rene\512107-RED-B.jpg"
RR512109-BLK-M,"Bustiers & Corsets",RR512109,2,"Rene\512109-BLK","Rene\512109-BLK-B.jpg"
RR512116-BLK-M/L,Chemise,RR512116,95,"Rene\512116-BLK","Rene\512116-BLK-B.jpg"
RR512116-RED-M/L,Chemise,RR512116,131,"Rene\512116-RED","Rene\512116-RED-B.jpg"
RR512116-RED-S/M,Chemise,RR512116,14,"Rene\512116-RED","Rene\512116-RED-B.jpg"
RR512120-BLK-M,"Bustiers & Corsets",RR512120,7,"Rene\512120-BLK","Rene\512120-BLK-B.jpg"
RR512120-BLK-S,"Bustiers & Corsets",RR512120,13,"Rene\512120-BLK","Rene\512120-BLK-B.jpg"
RR512120-BLK-XL,"Bustiers & Corsets",RR512120,0,"Rene\512120-BLK","Rene\512120-BLK-B.jpg"
RR512121-RED-M/L,Chemise,RR512121,5,"Rene\512121-RED","Rene\512121-RED-B.jpg"
RR512121-RED-S/M,Chemise,RR512121,3,"Rene\512121-RED","Rene\512121-RED-B.jpg"
RR512127-BLK-M/L,Chemise,RR512127,7,"Rene\512127-BLK","Rene\512127-BLK-B.jpg"
RR512127-BLK-S/M,Chemise,RR512127,7,"Rene\512127-BLK","Rene\512127-BLK-B.jpg"
RR512128-BLK-M/L,Chemise,RR512128,5,"Rene\512128-BLK","Rene\512128-BLK-B.jpg"
RR512128-BLK-S/M,Chemise,RR512128,1,"Rene\512128-BLK","Rene\512128-BLK-B.jpg"
RR512128-RED-M/L,Chemise,RR512128,5,"Rene\512128-RED","Rene\512128-RED-B.jpg"
RR512128-RED-S/M,Chemise,RR512128,0,"Rene\512128-RED","Rene\512128-RED-B.jpg"
RR512154-BLK-M/L,Chemise,RR512154,23,"Rene\512154-BLK","Rene\512154-BLK-B.jpg"
RR512154-BLK-S/M,Chemise,RR512154,5,"Rene\512154-BLK","Rene\512154-BLK-B.jpg"
RR512158-BLK-M/L,Chemise,RR512158,4,"Rene\512158-BLK","Rene\512158-BLK-B.jpg"
RR512158-BLK-S/M,Chemise,RR512158,2,"Rene\512158-BLK"
RR512165-BLK-M/L,Chemise,RR512165,2,"Rene\512165-BLK-01","Rene\512165-BLK-03.jpg"
RR512166-BLK-M/L,Dress,RR512166,11,"Rene\512166-BLK-03","Rene\512166-BLK-06.jpg"
RR512166-BLK-S/M,Dress,RR512166,8,"Rene\512166-BLK-03","Rene\512166-BLK-06.jpg"
RR512171-BLK-M/L,Chemise,RR512171,4,"Rene\512171-BLK-05","Rene\512171-BLK-02.jpg"
RR512171-BLK-S/M,Chemise,RR512171,1,"Rene\512171-BLK-05","Rene\512171-BLK-02.jpg"
RR52001X-BLK-1X/2X,Chemise,RR52001X,14,"Rene\52001X-BLK-7599","Rene\52001X-BLK-7624.jpg"
RR52001X-BLK-3X/4X,Chemise,RR52001X,10,"Rene\52001X-BLK-7599","Rene\52001X-BLK-7624.jpg"
RR521286-BLK-M/L,Babydoll,RR521286,25,"Rene\521286-BLK-front"
RR521357-LEO-M/L,Chemise,RR521357,1,"Rene\521357-293-front"
RR522021-BLK-S/M,Dress,RR522021,8,"Rene\522021-BLK-front","Rene\522021-BLK-rear.jpg"
RR53001-BLK-M/L,"Bra Set",RR53001,14,"Rene\53001-BLK-9437","Rene\53001-BLK-9518.jpg"
RR53001-BLK-S/M,"Bra Set",RR53001,10,"Rene\53001-BLK-9437","Rene\53001-BLK-9518.jpg"
RR53002-BLK-M/L,"Bra Set",RR53002,4,"Rene\53002-BLK-0766","Rene\53002-BLK-0871.jpg"
RR53002-BLK-S/M,"Bra Set",RR53002,0,"Rene\53002-BLK-0766","Rene\53002-BLK-0871.jpg"
RR53003-BLK-M/L,"Bra Set",RR53003,7,"Rene\53003-BLK-0591","Rene\53003-BLK-0641.jpg"
RR53004-BLK-M/L,"Bra Set",RR53004,4,"Rene\53004-BLK-0058","Rene\53004-BLK-0068.jpg"
RR53004-BLK-S/M,"Bra Set",RR53004,1,"Rene\53004-BLK-0058","Rene\53004-BLK-0068.jpg"
RR53005,"Bra Set",RR53005,0,"Rene\53005-BLK-9687.jpg","Rene\53005-BLK-9731.jpg"
RR53007-BLK-M/L,"Bra Set",RR53007,8,"Rene\53007-BLK-7409","Rene\53007-BLK-7434.jpg"
RR53007-BLK-S/M,"Bra Set",RR53007,0,"Rene\53007-BLK-7409","Rene\53007-BLK-7434.jpg"
RR53007-BUR-M/L,"Bra Set",RR53007,8,"Rene\53007-BUR-7246","Rene\53007-BUR-7300.jpg"
RR53007-BUR-S/M,"Bra Set",RR53007,8,"Rene\53007-BUR-7246","Rene\53007-BUR-7300.jpg"
RR53008-RED-M/L,"Bra Set",RR53008,11,"Rene\53008-RED-7028","Rene\53008-RED-7063.jpg"
RR53008-RED-S/M,"Bra Set",RR53008,11,"Rene\53008-RED-7028","Rene\53008-RED-7063.jpg"
RR53008-BLK-M/L,"Bra Set",RR53008,12,"Rene\53008-BLK-7157","Rene\53008-BLK-7187.jpg"
RR53008-BLK-S/M,"Bra Set",RR53008,12,"Rene\53008-BLK-7157","Rene\53008-BLK-7187.jpg"
RR53012-BLK-M/L,"Bra Set",RR53012,21,"Rene\53012-BLK-8124","Rene\53012-BLK-8160.jpg"
RR53012-BLK-S/M,"Bra Set",RR53012,15,"Rene\53012-BLK-8124","Rene\53012-BLK-8160.jpg"
RR53012-NUD-M/L,"Bra Set",RR53012,33,"Rene\53012-NDE-7932","Rene\53012-NDE-7966.jpg"
RR53012-NUD-S/M,"Bra Set",RR53012,23,"Rene\53012-NDE-7932","Rene\53012-NDE-7966.jpg"
RR53013-BLK-M/L,"Bra Set",RR53013,24,"Rene\53013-BLK-Exquisite-Trap-Crotchless-Panty-0779","Rene\53013-BLK-Exquisite-Trap-Crotchless-Panty-0717.jpg"
RR53013-BLK-S/M,"Bra Set",RR53013,29,"Rene\53013-BLK-Exquisite-Trap-Crotchless-Panty-0779","Rene\53013-BLK-Exquisite-Trap-Crotchless-Panty-0717.jpg"
RR5301X-BLK-1X/2X,"Bra Set",RR5301X,0,"Rene\5301X-BLK-7519","Rene\5301X-BLK-7526.jpg"
RR5301X-BLK-3X/4X,"Bra Set",RR5301X,2,"Rene\5301X-BLK-7519","Rene\5301X-BLK-7526.jpg"
RR532007-BLK-M/L,"Bra Set",RR532007,55,"Rene\532007-BLK front","Rene\532007-BLK rear.jpg"
RR532007-BLK-S/M,"Bra Set",RR532007,16,"Rene\532007-BLK front","Rene\532007-BLK rear.jpg"
RR532008-BLK-M/L,"Bra Set",RR532008,0,"Rene\532008-BLK front","Rene\532008-BLK rear.jpg"
RR532008-BLK-S/M,"Bra Set",RR532008,1,"Rene\532008-BLK front","Rene\532008-BLK rear.jpg"
RR532009-BLK-M/L,"Bra Set",RR532009,8,"Rene\532009-BLK front","Rene\532009-BLK rear.jpg"
RR532009-BLK-S/M,"Bra Set",RR532009,0,"Rene\532009-BLK front","Rene\532009-BLK rear.jpg"
RR532015-BLK-M/L,"Bra Set",RR532015,3,"Rene\532015-BLK-front","Rene\532015-BLK-back.jpg"
RR532015-BLK-S/M,"Bra Set",RR532015,3,"Rene\532015-BLK-front","Rene\532015-BLK-back.jpg"
RR532018-BLK-M/L,"Bra Set",RR532018,40,"Rene\532018-BLK-front","Rene\532018-BLK-rear.jpg"
RR532018-BLK-S/M,"Bra Set",RR532018,17,"Rene\532018-BLK-front","Rene\532018-BLK-rear.jpg"
RR532023-BLK-M/L,"Bra Set",RR532023,13,"Rene\532023-BLK-front","Rene\532023-BLK-rear.jpg"
RR532023-BLK-S/M,"Bra Set",RR532023,2,"Rene\532023-BLK-front","Rene\532023-BLK-rear.jpg"
RR532025-BLK-M/L,"Bra Set",RR532025,4,"Rene\532025-front","Rene\532025-rear.jpg"
RR532025-BLK-S/M,"Bra Set",RR532025,2,"Rene\532025-front","Rene\532025-rear.jpg"
RR532045-BLK-M/L,Accessories,RR532045,68,"Rene\532045-BLK","Rene\532045-BLK-B.jpg"
RR532045-BLK-S/M,Accessories,RR532045,59,"Rene\532045-BLK","Rene\532045-BLK-B.jpg"
RR532047-NDE-M/L,"Bra Set",RR532047,9,"Rene\532047-NUD","Rene\532047-NUD-B.jpg"
RR532047-NDE-S/M,"Bra Set",RR532047,4,"Rene\532047-NUD","Rene\532047-NUD-B.jpg"
RR532048-PNK-M/L,"Bra Set",RR532048,0,"Rene\532048-PNK","Rene\532048-PNK-B.jpg"
RR532049-BLK-M/L,"Bra Set",RR532049,43,"Rene\532049-BLK","Rene\532049-BLK-B.jpg"
RR532049-BLK-S/M,"Bra Set",RR532049,0,"Rene\532049-BLK","Rene\532049-BLK-B.jpg"
RR532051-BLK-M/L,"Bra Set",RR532051,17,"Rene\532051-BLK","Rene\532051-BLK-B.jpg"
RR532051-BLK-S/M,"Bra Set",RR532051,13,"Rene\532051-BLK","Rene\532051-BLK-B.jpg"
RR532051-RED-M/L,"Bra Set",RR532051,24,"Rene\532051-RED","Rene\532051-RED-B.jpg"
RR532051-RED-S/M,"Bra Set",RR532051,17,"Rene\532051-RED","Rene\532051-RED-B.jpg"
RR532056-BLK-M/L,"Bra Set",RR532056,29,"Rene\532056-BLK","Rene\532056-BLK-B.jpg"
RR532056-BLK-S/M,"Bra Set",RR532056,32,"Rene\532056-BLK","Rene\532056-BLK-B.jpg"
RR532057,"Bra Set",RR532057,0,"Rene\532057-BLK","Rene\532057-BLK-B.jpg"
RR532070-BLK-M/L,"Bra Set",RR532070,132,"Rene\532070-BLK","Rene\532070-BLK-B.jpg"
RR532070-BLK-S/M,"Bra Set",RR532070,113,"Rene\532070-BLK","Rene\532070-BLK-B.jpg"
RR532088-BLK-M/L,"Bra Set",RR532088,14,"Rene\532088-BLK","Rene\532088-BLK-B.jpg"
RR532093-BLK-M/L,"Bra Set",RR532093,3,"Rene\532093-BLK","Rene\532093-BLK-B.jpg"
RR532093-BLK-S/M,"Bra Set",RR532093,11,"Rene\532093-BLK","Rene\532093-BLK-B.jpg"
RR532104-BLK-M/L,"Bustiers & Corsets",RR532104,8,"Rene\532104-BLK","Rene\532104-BLK-B.jpg"
RR532104-BLK-S/M,"Bustiers & Corsets",RR532104,6,"Rene\532104-BLK","Rene\532104-BLK-B.jpg"
RR532115-BLK-M/L,"Bra Set",RR532115,12,"Rene\532115-BLK","Rene\532115-BLK-B.jpg"
RR532115-BLK-S/M,"Bra Set",RR532115,14,"Rene\532115-BLK","Rene\532115-BLK-B.jpg"
RR532118,"Bra Set",RR532118,33,"Rene\532118-BLK.jpg","Rene\532118-BLK-B.jpg"
RR532119-BLK-M/L,"Bra Set",RR532119,60,"Rene\532119-BLK","Rene\532119-BLK-B.jpg"
