stock_code,description,parent_stock_type,parent_stock_code,stock_available,post_type,image_1,image_2
CO33002-BLK-OS,"Luxx Legs Seamless Leggings / Black / One Size",Leggings,CO33002,2,product,"Cocolicious\33002-BLK.jpg",
CO35003-NDE-OS,"Hot Coco Seamless Tube Dress / Nude / One Size",Dress,CO35003,1,product,"Cocolicious\35003-NDE.jpg",
CO36001-HPNK-OS,"String Thing Fishnet G-String / Hot Pink / One Size",G-String,CO36001,3,product,"Cocolicious\36001-HP.jpg",
CO36003-BLK-OS,"Peep This Thong Lace Side / Black / One Size",Thong,CO36003,0,product,"Cocolicious\36003-BLK.jpg",
CO37003-BLK-OS,"Nice Set Fishnet Bikini Set / Black / One Size",Bikini,CO37003,1,product,"Cocolicious\37003-BLK.jpg",
CO37003-RED-OS,"Nice Set Fishnet Bikini Set / Red / One Size",Bikini,CO37003,1,product,"Cocolicious\37003-RED.jpg",
CO38022-BLK-OS,"Over The Line Sheer Thigh High  / Black / One Size","Thigh High",CO38022,1,product,"Cocolicious\38022-BLK.jpg",
CO39018-BLK-OS,"Pop Your Bubble Fishnet Hose  / Black / One Size",Pantyhose,CO39018,3,product,"Cocolicious\39018-BLK.jpg",
