stock_code,description,parent_stock_type,parent_stock_code,stock_available
TL9603-CAP-L,"Tia Lyn Core Hi-Waist Garter Thong / Capri / Large",Thong,TL9603,1,"Tia Lyn\9603-CAPRI-F"
TL9603-MOC-L,"Tia Lyn Core Hi-Waist Garter Thong / Mocha / Large",Thong,TL9603,1,"Tia Lyn\9603-MOCH-F"
TL9608-BLK/IVY-3X,"Tia Lyn Vintage Chemise / Black/Ivory / 3X",Chemise,TL9608,1,"Tia Lyn\9608-BLAC-F"
TL9608-BLK/IVY-L,"Tia Lyn Vintage Chemise / Black/Ivory / Large",Chemise,TL9608,2,"Tia Lyn\9608-BLAC-F"
TL9612-BLK-1X,"Tia Lyn Signature Garter Thong / Black / 1X",Thong,TL9612,2,"Tia Lyn\9612-BLAC-F"
TL9612-BLK-2X,"Tia Lyn Signature Garter Thong / Black / 2X",Thong,TL9612,1,"Tia Lyn\9612-BLAC-F"
TL9614-CRIM-M,"Tia Lyn Signature Thong / Crimson / Medium",Thong,TL9614,2
TL9615-IRIS-M,"Tia Lyn Bliss Hipster / Iris / Medium",Boyshort,TL9615,1,"Tia Lyn\9615-IRIS-F"
TL9616-BLK-S,"Tia Lyn Bliss Thong / Black / Small",Thong,TL9616,2,"Tia Lyn\9616-BLAC-F"
TL9622-BLK-1X,"Tia Lyn Rendezvous Garter Belt / Black / 1X",Garterbelt,TL9622,2,"Tia Lyn\9622-FRONT"
TL9622-BLK-2X,"Tia Lyn Rendezvous Garter Belt / Black / 2X",Garterbelt,TL9622,2,"Tia Lyn\9622-FRONT"
TL9622-BLK-3X,"Tia Lyn Rendezvous Garter Belt / Black / 3X",Garterbelt,TL9622,2,"Tia Lyn\9622-FRONT"
TL9622-BLK-L,"Tia Lyn Rendezvous Garter Belt / Black / Large",Garterbelt,TL9622,2,"Tia Lyn\9622-FRONT"
TL9623-BLK-1X,"Tia Lyn Rendezvous Thong / Black / 1X",Thong,TL9623,2,"Tia Lyn\9623-FRONT"
TL9623-BLK-2X,"Tia Lyn Rendezvous Thong / Black / 2X",Thong,TL9623,2,"Tia Lyn\9623-FRONT"
TL9623-BLK-3X,"Tia Lyn Rendezvous Thong / Black / 3X",Thong,TL9623,2,"Tia Lyn\9623-FRONT"
TL9623-BLK-L,"Tia Lyn Rendezvous Thong / Black / Large",Thong,TL9623,2,"Tia Lyn\9623-FRONT"
TL9624-BLK-1X,"Tia Lyn Rendezvous Hipster / Black / 1X",Boyshort,TL9624,2,"Tia Lyn\9624-FRONT"
TL9624-BLK-2X,"Tia Lyn Rendezvous Hipster / Black / 2X",Boyshort,TL9624,2,"Tia Lyn\9624-FRONT"
TL9624-BLK-3X,"Tia Lyn Rendezvous Hipster / Black / 3X",Boyshort,TL9624,2,"Tia Lyn\9624-FRONT"
TL9624-BLK-L,"Tia Lyn Rendezvous Hipster / Black / Large",Boyshort,TL9624,2,"Tia Lyn\9624-FRONT"
TL9625-BLK/IVY-1X,"Tia Lyn Decadent Hipster / Black/Ivory / 1X",Boyshort,TL9625,2,"Tia Lyn\9625-BLAC-F"
TL9625-BLK/IVY-2X,"Tia Lyn Decadent Hipster / Black/Ivory / 2X",Boyshort,TL9625,2,"Tia Lyn\9625-BLAC-F"
TL9625-BLK/IVY-3X,"Tia Lyn Decadent Hipster / Black/Ivory / 3X",Boyshort,TL9625,2,"Tia Lyn\9625-BLAC-F"
TL9625-BLK/IVY-L,"Tia Lyn Decadent Hipster / Black/Ivory / Large",Boyshort,TL9625,2,"Tia Lyn\9625-BLAC-F"
TL9627-BLK/IVY-1X,"Tia Lyn Decadent Fashion Panty / Black/Ivory / 1X",Panty,TL9627,2,"Tia Lyn\9627-FRONT"
TL9627-BLK/IVY-2X,"Tia Lyn Decadent Fashion Panty / Black/Ivory / 2X",Panty,TL9627,2,"Tia Lyn\9627-FRONT"
TL9627-BLK/IVY-3X,"Tia Lyn Decadent Fashion Panty / Black/Ivory / 3X",Panty,TL9627,2,"Tia Lyn\9627-FRONT"
TL9627-BLK/IVY-L,"Tia Lyn Decadent Fashion Panty / Black/Ivory / Large",Panty,TL9627,2,"Tia Lyn\9627-FRONT"
TL9802-BLK-1X,"Tia Lyn Rendezvous Teddy / Black / 1X",Teddy,TL9802,1,"Tia Lyn\9802-BLAC-F"
TL9802-BLK-2X,"Tia Lyn Rendezvous Teddy / Black / 2X",Teddy,TL9802,1,"Tia Lyn\9802-BLAC-F"
TL9802-BLK-3X,"Tia Lyn Rendezvous Teddy / Black / 3X",Teddy,TL9802,1,"Tia Lyn\9802-BLAC-F"
TL9802-BLK-L,"Tia Lyn Rendezvous Teddy / Black / Large",Teddy,TL9802,1,"Tia Lyn\9802-BLAC-F"
