stock_code,parent_stock_type,parent_stock_code,stock_available
GWB1303-RED-OS,Teddy,GWB1303,6,"G-World\B1303blackyellowIMG_3829"
GWB1601-EMR-OS,Teddy,GWB1601,11,"G-World\B1601emerald_1297.jpg","P:\G World\2020 New Arrivals\B1601emerald_1344.jpg"
GWB1616-GRY-OS,Teddy,GWB1616,23,"G-World\B1616 Vintage Gray 26305.jpg","P:\G World\2020 New Arrivals\B1616 Vintage Gray 26436.jpg"
GWB1706,Bodystocking,GWB1706,9,"G-World\B1706BLACK_16498","P:\G World\ALL IMAGES 2018 - 1500\ALL IMAGES 2018 - 1500\B1706BLACK_16569.jpg"
GWB1754,Teddy,GWB1754,1,"G-World\B1754NIGHTBLUE_7173-Edit","P:\G World\2020 New Arrivals\B1754NIGHTBLUE_7180-Edit.jpg"
GWB1850-BLK-OS,Teddy,GWB1850,2,"G-World\B1850BlueAngel_2018Fall 9926-Edit","P:\G World\2020 New Arrivals\B1850BlueAngel_2018Fall 9941-Edit.jpg"
GWB1850-BLU-OS,Teddy,GWB1850,9,"G-World\B1850BlueAngel_2018Fall 9926-Edit","P:\G World\2020 New Arrivals\B1850BlueAngel_2018Fall 9941-Edit.jpg"
GWB1874-BLK-OS,Teddy,GWB1874,2,"G-World\B1874Black_2018Fall 8311-Edit","P:\G World\2020 New Arrivals\B1874Black_2018Fall 8409-Edit.jpg"
GWB1874-RED-OS,Teddy,GWB1874,5,"G-World\B1874Black_2018Fall 8311-Edit","P:\G World\2020 New Arrivals\B1874Black_2018Fall 8409-Edit.jpg"
GWB1901-NEON-OS,Teddy,GWB1901,3,"G-World\B1901 Smoke_0293.jpg","P:\G World\2020 New Arrivals\B1901 Smoke_0335.jpg"
GWB1901-SMK-OS,Teddy,GWB1901,4,"G-World\B1901 Smoke_0293.jpg","P:\G World\2020 New Arrivals\B1901 Smoke_0335.jpg"
GWB1902-BLU-OS,Teddy,GWB1902,2,"G-World\B1902 Rose Pinot_0456.jpg","P:\G World\2020 New Arrivals\B1902 Rose Pinot_0498.jpg"
GWB1902-RSE-OS,Teddy,GWB1902,2,"G-World\B1902 Rose Pinot_0456.jpg","P:\G World\2020 New Arrivals\B1902 Rose Pinot_0498.jpg"
GWB1910,"Bustiers & Corsets",GWB1910,3,"G-World\B1910 Raspberry_2930.jpg","P:\G World\2019 Summer Edits 1500 Compression\B1910 Raspberry_3031.jpg"
GWB1912-ELN-OS,Teddy,GWB1912,0,"G-World\B1912 Electro Neon_2044.jpg","P:\G World\2019 Summer Edits 1500 Compression\B1912 Electro Neon_2055.jpg"
