stock_code,parent_stock_type,parent_stock_code,stock_available
FV25667,Wig,FV25667,0,"Fever\25667.jpg"
FV26038-RED-S,"Fancy Dress",FV26038,0,"Fever\26038.jpg"
FV26038-RED-M,"Fancy Dress",FV26038,0,"Fever\26038.jpg"
"FV26053-BLU & BLK-XS","Fancy Dress",FV26053,0,"Fever\26053.jpg"
FV26053-BLU/BLK-XS,"Fancy Dress",FV26053,0,"Fever\26053.jpg"
FV26145-RED-M,"Fancy Dress",FV26145,0,"Fever\26145_A1.jpg","Fever\26145_S.jpg","Fever\26145_B.jpg"
FV26145-RED-S,"Fancy Dress",FV26145,0,"Fever\26145_A1.jpg","Fever\26145_S.jpg","Fever\26145_B.jpg"
FV26145-RED-XS,"Fancy Dress",FV26145,0,"Fever\26145_A1.jpg","Fever\26145_S.jpg","Fever\26145_B.jpg"
FV26192-BLK-S,"Bedroom Costume",FV26192,0,"Fever\26192.jpg"
FV26222-GRN-M,"Fancy Dress",FV26222,0,"Fever\26222.jpg"
FV26222-GRN-S,"Fancy Dress",FV26222,0,"Fever\26222.jpg"
FV26222-GRN-XS,"Fancy Dress",FV26222,0,"Fever\26222.jpg"
FV26278,Gloves,FV26278,0,"Fever\26278.jpg"
FV26279,Gloves,FV26279,2,"Fever\26279.jpg"
FV26345,Gloves,FV26345,3,"Fever\26345.jpg"
FV26519-BLK-L,"Bedroom Costume",FV26519,0,"Fever\26519.jpg"
FV26519-BLK-M,"Bedroom Costume",FV26519,0,"Fever\26519.jpg"
FV26519-BLK-S,"Bedroom Costume",FV26519,1,"Fever\26519.jpg"
FV26520-RED-L,"Bedroom Costume",FV26520,0,"Fever\26520.jpg"
FV26520-RED-M,"Bedroom Costume",FV26520,0,"Fever\26520.jpg"
FV26520-RED-S,"Bedroom Costume",FV26520,0,"Fever\26520.jpg"
FV26521-BLK-L,"Bedroom Costume",FV26521,0,"Fever\26521.jpg"
FV26521-BLK-M,"Bedroom Costume",FV26521,5,"Fever\26521.jpg"
FV26521-BLK-S,"Bedroom Costume",FV26521,1,"Fever\26521.jpg"
FV26522-BLU-L,"Bedroom Costume",FV26522,0,"Fever\26522.jpg"
FV26522-BLU-M,"Bedroom Costume",FV26522,0,"Fever\26522.jpg"
FV26522-BLU-S,"Bedroom Costume",FV26522,0,"Fever\26522.jpg"
FV26523-BLU-L,"Bedroom Costume",FV26523,0,"Fever\26523.jpg"
FV26523-BLU-M,"Bedroom Costume",FV26523,2,"Fever\26523.jpg"
FV26523-BLU-S,"Bedroom Costume",FV26523,0,"Fever\26523.jpg"
FV26524-BLU-L,"Bedroom Costume",FV26524,0,"Fever\26524.jpg"
FV26524-BLU-M,"Bedroom Costume",FV26524,0,"Fever\26524.jpg"
FV26524-BLU-S,"Bedroom Costume",FV26524,0,"Fever\26524.jpg"
FV26556-BLK-L,"Bedroom Costume",FV26556,1,"Fever\26556.jpg"
FV26556-BLK-M,"Bedroom Costume",FV26556,0,"Fever\26556.jpg"
FV26556-BLK-S,"Bedroom Costume",FV26556,0,"Fever\26556.jpg"
