stock_code,description,parent_stock_type,parent_stock_code,stock_available
HP5-BLK-S/M,"Hustler Ultra-Sexy Crotchless Ruffle Booty Shorts - Black Small/Medium",Boyshort,HP5,16,"Hustler\HP5_BLK_01"
HP5-BLK-M/L,"Hustler Ultra-Sexy Crotchless Ruffle Booty Shorts - Black Medium/Large",Boyshort,HP5,26,"Hustler\HP5_BLK_01"
HP6-PNK-S/M,"Hustler Ultra-Sexy Crotchless Ruffle Booty Shorts - Pink Small/Medium",Boyshort,HP6,40,"Hustler\HP6_PNK_01"
HRP-03-BLK-M/L,"Bling Booty Short - HUSTLER - Black Medium/Large",Boyshort,HRP-03,8,"Hustler\HRP-03_01"
HRP-04-BLK-S/M,"Bling Booty Short - Wanna Ride? - Black Small/Medium",Boyshort,HRP-04,34,"Hustler\HRP-04_01"
HRP-04-BLK-M/L,"Bling Booty Short - Wanna Ride? - Black Medium/Large",Boyshort,HRP-04,22,"Hustler\HRP-04_01"
HRP-05-BLK-M/L,"Bling Booty Short - I ""Heart"" COCK - Black Medium/Large",Boyshort,HRP-05,6,"Hustler\HRP-05_01"
HRP-06-BLK-S/M,"Bling Booty Short - evilbitch - Black Small/Medium",Boyshort,HRP-06,3,"Hustler\HRP-06_01"
HSP-05-BLK-S/M,"Hustler Screen Print Panties - I Accept Tips - Black Small/Medium",Panty,HSP-05,25,"Hustler\HSP-05_01"
HSP-05-BLK-M/L,"Hustler Screen Print Panties - I Accept Tips - Black Medium/Large",Panty,HSP-05,24,"Hustler\HSP-05_01"
HSP-06-BLK-S/M,"Hustler Screen Print Panties - BARELY LEGAL - Black Small/Medium",Panty,HSP-06,16,"Hustler\HSP-06_01"
HSP-06-BLK-M/L,"Hustler Screen Print Panties - BARELY LEGAL - Black Medium/Large",Panty,HSP-06,15,"Hustler\HSP-06_01"
HSP-09-BLK-S/M,"Hustler Screen Print Panties - DTF - Black Small/Medium",Panty,HSP-09,16,"Hustler\HSP-09_01"
HSP-09-BLK-M/L,"Hustler Screen Print Panties - DTF - Black Medium/Large",Panty,HSP-09,16,"Hustler\HSP-09_01"
HSP-10-BLK-S/M,"Hustler Screen Print Panties - SLUT - Black Small/Medium",Panty,HSP-10,15,"Hustler\HSP-10_01"
HTIE-BLU-OS,"Hustler Reform School Naughty Necktie - Blue One Size",Necktie,HTIE,6,"Hustler\HTIE_BLU_01"
HTIE-GRN-OS,"Hustler Reform School Naughty Necktie - Green One Size",Necktie,HTIE,1,"Hustler\HTIE_GN_01"
HTIE-GRY-OS,"Hustler Reform School Naughty Necktie - Grey One Size",Necktie,HTIE,4,"Hustler\HTIE_GR_01"
HTIE-PNK-OS,"Hustler Reform School Naughty Necktie - Pink One Size",Necktie,HTIE,3,"Hustler\HTIE_PNK_01"
HTIE-RED-OS,"Hustler Reform School Naughty Necktie - Red One Size",Necktie,HTIE,4,"Hustler\HTIE_RED_01"
HTIE-WNE-OS,"Hustler Reform School Naughty Necktie - Wine One Size",Necktie,HTIE,1,"Hustler\HTIE_WINE_01"
HU16328-GRY-S,"Hustler Reform School Velcro Mini Skirt - Grey Small",Skirt,HU16328,4,"Hustler\HU16328_GR_01"
HU16328-PNK-L,"Hustler Reform School Velcro Mini Skirt - Pink Large",Skirt,HU16328,6,"Hustler\HU16328_PNK_01"
HU22113-BLK-34D,"Hustler Maximum Cleavage 5 Way Bra - Black 34D",Bra,HU22113,7,"Hustler\HU22113_BLK_01"
HU22113-BLK-36B,"Hustler Maximum Cleavage 5 Way Bra - Black 36B",Bra,HU22113,5,"Hustler\HU22113_BLK_01"
HU22113-BLK-38C,"Hustler Maximum Cleavage 5 Way Bra - Black 38C",Bra,HU22113,6,"Hustler\HU22113_BLK_01"
HU22113-BLK-38D,"Hustler Maximum Cleavage 5 Way Bra - Black 38D",Bra,HU22113,12,"Hustler\HU22113_BLK_01"
HU22113-PNK-34B,"Hustler Maximum Cleavage 5 Way Bra - Pink 34B",Bra,HU22113,2,"Hustler\HU22113_PNK_01"
HU22113-PNK-34C,"Hustler Maximum Cleavage 5 Way Bra - Pink 34C",Bra,HU22113,6,"Hustler\HU22113_PNK_01"
HU22113-PNK-34D,"Hustler Maximum Cleavage 5 Way Bra - Pink 34D",Bra,HU22113,8,"Hustler\HU22113_PNK_01"
HU22113-PNK-36B,"Hustler Maximum Cleavage 5 Way Bra - Pink 36B",Bra,HU22113,7,"Hustler\HU22113_PNK_01"
HU22113-PNK-36C,"Hustler Maximum Cleavage 5 Way Bra - Pink 36C",Bra,HU22113,5,"Hustler\HU22113_PNK_01"
HU22113-PNK-36D,"Hustler Maximum Cleavage 5 Way Bra - Pink 36D",Bra,HU22113,6,"Hustler\HU22113_PNK_01"
HU22113-PNK-36DD,"Hustler Maximum Cleavage 5 Way Bra - Pink 36DD",Bra,HU22113,1,"Hustler\HU22113_PNK_01"
HU22113-PNK-38C,"Hustler Maximum Cleavage 5 Way Bra - Pink 38C",Bra,HU22113,5,"Hustler\HU22113_PNK_01"
HU22113-PNK-38D,"Hustler Maximum Cleavage 5 Way Bra - Pink 38D",Bra,HU22113,8,"Hustler\HU22113_PNK_01"
HU22113-PNK-38DD,"Hustler Maximum Cleavage 5 Way Bra / Pink / 38DD",Bra,HU22113,1,"Hustler\HU22113_PNK_01.jpg"
HU22115-WHT-36D,"Hustler Sexiest Push Up Bra - White 36D",Bra,HU22115,5,"Hustler\HU22115_WHT_01"
HU3-BLK-S/M,"Hustler Maximum Cleavage Lace Chemise - Black Small/Medium",Chemise,HU3,16,"Hustler\HU3"
HU3-BLK-M/L,"Hustler Maximum Cleavage Lace Chemise - Black Medium/Large",Chemise,HU3,10,"Hustler\HU3"
HU8-M/L-BLK,"Hustler Tie Back Fishnet Teddy - Medium Black",Teddy,HU8,2,"Hustler\HU8-BLK_01"
HU9-RED-S/M,"Hustler Lace Chemise and Panty Set - Red Small/Medium",Chemise,HU9,1,"Hustler\HU9"
NU11-BLK-S/M,"Hustler Fundies - Rip Off - Black Small/Medium","Mens Dress Up",NU11,0,"Hustler\NU11-BLK_01"
NU11-RED-S/M,"Hustler Fundies - Rip Off - Red Small/Medium","Mens Dress Up",NU11,7,"Hustler\NU11-RED_01"
NU5-BLK-M/L,"Hustler Fundies - Respect The Game - Black Medium/Large",Shorts,NU5,1,"Hustler\NU5-BLK_01"
NU5-BLK-S/M,"Hustler Fundies - Respect The Game - Black Small/Medium",Shorts,NU5,1,"Hustler\NU5-BLK_01"
NU5-WHT-S/M,"Hustler Fundies - Respect The Game - White Small/Medium",Shorts,NU5,1,"Hustler\NU5-WHT_01"
NU7-BLK-S/M,"Hustler Fundies - Drive The Ladies Wild - Black Small/Medium",Thong,NU7,6,"Hustler\NU7_01"
HP1-BLK-M/L,"Hustler Ultra-Sexy Crotchless Lace Thong - Black Medium/Large",Thong,HP1,7,"Hustler\HP1-Front"
HP2-BLK-M/L,"Hustler Ultra-Sexy Crotchless Lace Thong - Black Medium/Large",Thong,HP2,1,"Hustler\HP2_01"
