id,stock_code,associated_ref,stock_desc,long_desc,epos_desc,web_teaser,sell_price,sell_price_web,image_filename,vat_rate,stock_type,stock_type_id,stock_mid_type,stock_mid_type_id,sub_type,stock_sub_type,sub_type_id,manufacturer,supplier_stock_code,lead_time,weight,stock_ttype,stock_ttype_id,web_pageorder,web_colourvalue,deleted,web,discounted,drop_ship,discounts_disabled,run_to_zero,vat_relief_qualified,stock_id,stock_controlled,availability,meta_title,meta_description,meta_keywords,max_display_qty,launch_date,launch_time,reward_points,reorder_multiple,purchase_multiple,min_level,safe_level,height,width,depth,depth,country_of_manufacture
38,ADORE-1008SQ,,"7"" Heel, 2 3/4"" PF Peep Toe Sequins Ankle Boot, Side Zip",,,,31.24,0,?,20,Boots,96,,0,Ankle,Ankle,5,Pleaser,,1,500,Footwear,14,0,default,0,-1,0,0,0,0,0,43156,0,,,,,0,,,0,1,0,0,0,4.1,11,15.4,
43,ADORE-1016,,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot, Side Zip",,,,49.28,0,?,20,Boots,96,,0,Ankle,Ankle,5,Pleaser,,1,500,Footwear,14,0,default,0,-1,0,0,0,0,0,43179,0,,,,,0,,,0,1,0,0,0,4.1,11,15.4,
46,AL-12-0012K,,"Kiley Bralette Set","Kiley Bralette Set. 90% Polyester 10% Elastan",,,14.36,0,?,20,"Bra Set",73,,0,,,0,Allure,,1,140,Lingerie,9,0,default,0,0,0,0,0,0,0,65182,-1,,,,,0,,,0,1,0,0,0,23,15,4,
47,AL-12-0022K,,"Tara Bralette Set","Tara Bralette Set. 90% Polyester 10% Elastan",,,15.39,0,?,20,"Bra Set",73,,0,,,0,Allure,,1,140,Lingerie,9,0,default,0,0,0,0,0,0,0,65183,-1,,,,,0,,,0,1,0,0,0,23,15,4,
49,ADORE-1017MFF,,"*7"" Heel, 2 3/4"" PF Marabou Fur Fringe Ankle Boot, Side Zip",,,,45.32,0,?,20,Boots,96,,0,Ankle,Ankle,5,Pleaser,,1,500,Footwear,14,0,default,0,-1,0,0,0,0,0,43192,0,,,,,0,,,0,1,0,0,0,4.1,11,15.4,
53,ADORE-1017RSF,,"7"" Heel, 2 3/4"" PF Open Toe/Heel Lace-Up Fringe Ankle Boot",,,,64.24,0,?,20,Boots,96,,0,Ankle,Ankle,5,Pleaser,,1,500,Footwear,14,0,default,0,-1,0,0,0,0,0,43216,0,,,,,0,,,0,1,0,0,0,4.1,11,15.4,
55,AL-12-0252K,,"KITTEN MOLLY BRALETTE SET","KITTEN MOLLY BRALETTE SET. 90% Polyester 10% Elastan",,,14.36,0,?,20,"Bra Set",73,,0,,,0,Allure,,1,140,Lingerie,9,0,default,0,0,0,0,0,0,0,65185,-1,,,,,0,,,0,1,0,0,0,23,15,4,
57,ADORE-1017RSFT,,"7"" Heel, 2 3/4"" PF Open Toe/Heel Lace-Up Fringe Ankle Boot",,,,60.72,0,?,20,Boots,96,,0,Ankle,Ankle,5,Pleaser,,1,500,Footwear,14,0,default,0,-1,0,0,0,0,0,43243,0,,,,,0,,,0,1,0,0,0,4.1,11,15.4,
59,AL-12-0352K,,"KITTEN ANNA BRA & GARTERSKIRT SET","KITTEN ANNA BRA & GARTERSKIRT SET. 90% Polyester 10% Elastan",,,14.36,0,?,20,"Bra Set",73,,0,,,0,Allure,,1,140,Lingerie,9,0,default,0,0,0,0,0,0,0,65186,-1,,,,,0,,,0,1,0,0,0,23,15,4,
62,ADORE-1017SQF,,"7"" Heel, 2 3/4"" PF Sequins Fringe Ankle Boot, Side Zip",,,,57.2,0,?,20,Boots,96,,0,Ankle,Ankle,5,Pleaser,,1,500,Footwear,14,0,default,0,-1,0,0,0,0,0,43265,0,,,,,0,,,0,1,0,0,0,4.1,11,15.4,
65,ADORE-1017SRS,,"7"" Heel, 2 3/4"" PF Lace-Up Back Ankle Boot, Side Zip",,,,66,0,?,20,"Platforms (Exotic Dancing)",268,,0,Ankle,Ankle,5,Pleaser,,1,500,Footwear,14,0,default,0,-1,0,0,0,0,0,43280,0,,,,,0,,,0,1,0,0,0,4.1,11,15.4,
