stock_code,description,parent_stock_type,parent_stock_code,stock_available
MP167004-BLK-L/XL,"Criss Cross Short - Black Large/X-Large",Shorts,MP167004,2,"Male_Power\167004BK.jpg","Male_Power\167004BK_Back.jpg"
MP169004-BLK-L/XL,"Double Exposure - Black Large/X-Large",Boxer,MP169004,2,"Male_Power\169004BK.jpg","Male_Power\169004BK_Back.jpg"
MP170004,,Shorts,MP170004,0,"Male_Power\170004BK.jpg","Male_Power\170004BK_Back.jpg"
MP176178-BLK-L/XL,"G-String Garter Short - Black Large/X-Large",G-String,MP176178,1,"Male_Power\176178BK.jpg","Male_Power\176178BK_Back.jpg"
MP176178-BLK-S/M,"G-String Garter Short - Black Small/Medium",G-String,MP176178,0,"Male_Power\176178BK.jpg","Male_Power\176178BK_Back.jpg"
MP178178-BLK-S/M,"Split Back Short - Black Small/Medium",Shorts,MP178178,3,"Male_Power\178178BK.jpg","Male_Power\178178BK_Back.jpg"
MP178178-BLK-L/XL,"Split Back Short - Black Large/X-Large",Shorts,MP178178,1,"Male_Power\178178BK.jpg","Male_Power\178178BK_Back.jpg"
MP300003-BLK-L/XL,"Moonshine - Black Large/X-Large",Brief,MP300003,3,"Male_Power\300003BK.jpg","Male_Power\300003BK_Back.jpg"
MP301207-WNE-L/XL,"Zipper Moonshine - Wine Large/X-Large",Brief,MP301207,4,"Male_Power\301207WI.jpg","Male_Power\301207WI_Back.jpg"
MP301207-WNE-S/M,"Zipper Moonshine - Wine Small/Medium",Brief,MP301207,3,"Male_Power\301207WI.jpg","Male_Power\301207WI_Back.jpg"
MP309178-BLK-L/XL,"Choker Thong - Black Large/X-Large",Thong,MP309178,0,"Male_Power\309178BK.jpg","Male_Power\309178BK_Back.jpg"
MP309178-BLK-S/M,"Choker Thong - Black Small/Medium",Thong,MP309178,0,"Male_Power\309178BK.jpg","Male_Power\309178BK_Back.jpg"
MP310004-BLK-L/XL,"Cock-a-too Thong - Black Large/X-Large",Thong,MP310004,1,"Male_Power\310004BK.jpg","Male_Power\310004BK_Back.jpg"
MP310004-BLK-S/M,"Cock-a-too Thong - Black Small/Medium",Thong,MP310004,2,"Male_Power\310004BK.jpg","Male_Power\310004BK_Back.jpg"
MP31011C-BLK-S/M,"Cock-A-Too Bikini - Black Small/Medium",Bikini,MP31011C,2,"Male_Power\31011CBK.jpg","Male_Power\31011CBK_Back.jpg"
MP31011C-BLK-L/XL,"Cock-A-Too Bikini - Black Large/X-Large",Bikini,MP31011C,3,"Male_Power\31011CBK.jpg","Male_Power\31011CBK_Back.jpg"
MP340004,,G-String,MP340004,0,"Male_Power\340004BK.jpg","Male_Power\340004BK_Back.jpg"
MP347238-BLU/BLK-S/M,"Strappy Jock - Blue/Black Small/Medium",Jock,MP347238,5,"Male_Power\347238BK.jpg","Male_Power\347238BK Back.jpg"
MP347238-BLU/BLK-L/XL,"Strappy Jock - Blue/Black Large/X-Large",Jock,MP347238,4,"Male_Power\347238BK.jpg","Male_Power\347238BK Back.jpg"
MP370004-BLK-S,"Ring Jock - Black Small",Jock,MP370004,1,"Male_Power\370004BK.jpg","Male_Power\370004BK_Back.jpg"
MP370004-BLK-XL,"Ring Jock - Black X-Large",Jock,MP370004,1,"Male_Power\370004BK.jpg","Male_Power\370004BK_Back.jpg"
MP370004-BLK-L,"Ring Jock - Black Large",Jock,MP370004,1,"Male_Power\370004BK.jpg","Male_Power\370004BK_Back.jpg"
MP371004-BLK-L,"Double Ring Jock - Black Large",Jock,MP371004,1,"Male_Power\371004BK.jpg","Male_Power\371004BK_Back.jpg"
MP371004-BLK-M,"Double Ring Jock - Black Medium",Jock,MP371004,1,"Male_Power\371004BK.jpg","Male_Power\371004BK_Back.jpg"
MP371004-BLK-S,"Double Ring Jock - Black Small",Jock,MP371004,1,"Male_Power\371004BK.jpg","Male_Power\371004BK_Back.jpg"
MP389056-BLK-L/XL,"Jock - Black Large/X-Large",Jock,MP389056,1,"Male_Power\389056BK.jpg","Male_Power\389056BK_Back.jpg"
MP389056-WHT-L/XL,"Jock - White Large/X-Large",Jock,MP389056,3,"Male_Power\389056WH.jpg"
MP389211-GRY-L/XL,"Jock - Grey Large/X-Large",Jock,MP389211,2,"Male_Power\389211GY_1.jpg"
MP389211-GRY-S/M,"Jock - Grey Small/Medium",Jock,MP389211,2,"Male_Power\389211GY_1.jpg"
MP389215-ROY/BLK-S/M,"Jock - Royal/Black Small/Medium",Jock,MP389215,2,"Male_Power\389215RB.jpg"
MP389215-ROY/BLK-L/XL,"Jock - Royal/Black Large/X-Large",Jock,MP389215,1,"Male_Power\389215RB.jpg"
MP389215-WHT/BLK-S/M,"Jock - White/Black Small/Medium",Jock,MP389215,3,"Male_Power\389215WB.jpg","Male_Power\389215WB_Back.jpg"
MP389215-WHT/BLK-L/XL,"Jock - White/Black Large/X-Large",Jock,MP389215,3,"Male_Power\389215WB.jpg","Male_Power\389215WB_Back.jpg"
MP390003-BLK-S/M,"Jock - Black Small/Medium",Jock,MP390003,2,"Male_Power\390003BK.jpg","Male_Power\390003BK_Back.jpg"
MP390194-CRL-S/M,"Jock - Coral Small/Medium",Jock,MP390194,2,"Male_Power\390194CR.jpg"
MP390194-CRL-L/XL,"Jock - Coral Large/X-Large",Jock,MP390194,2,"Male_Power\390194CR.jpg"
MP390194-TRQ-S/M,"Jock - Turquoise Small/Medium",Jock,MP390194,2,"Male_Power\390194TQ.jpg"
MP390194-TRQ-L/XL,"Jock - Turquoise Large/X-Large",Jock,MP390194,1,"Male_Power\390194TQ.jpg"
MP390194-PNK-S/M,"Jock - Pink Small/Medium",Jock,MP390194,0,"Male_Power\390194PK.jpg"
MP390194-PNK-L/XL,"Jock - Pink Large/X-Large",Jock,MP390194,0,"Male_Power\390194PK.jpg"
MP391228-WHT-L/XL,"Sport Jock - White Large/X-Large",Jock,MP391228,2,"Male_Power\391228WH.jpg","Male_Power\391228WH_Back.jpg"
MP391228-WHT-S/M,"Sport Jock - White Small/Medium",Jock,MP391228,1,"Male_Power\391228WH.jpg","Male_Power\391228WH_Back.jpg"
MP392030-LEO-S/M,"Sport Jock - Leopard Small/Medium",Jock,MP392030,2,"Male_Power\392030BL_2.jpg","Male_Power\392030BL_Back.jpg"
MP393004-BLK-S/M,"Prolong Panel Jock - Black Small/Medium",Jock,MP393004,1,"Male_Power\393004BK.jpg","Male_Power\393004BK_Back.jpg"
MP394242-BLK-L/XL,"Panel Jock - Black Large/X-Large",Jock,MP394242,2,"Male_Power\394-242BK.jpg","Male_Power\394-242BK_ALT.jpg"
MP394242-BUR-S/M,"Panel Jock - Burgundy Small/Medium",Jock,MP394242,1,"Male_Power\394-242BN.jpg","Male_Power\394-242BN_Back.jpg"
MP394242-BUR-L/XL,"Panel Jock - Burgundy Large/X-Large",Jock,MP394242,3,"Male_Power\394-242BN.jpg","Male_Power\394-242BN_Back.jpg"
MP395241-CLY-S/M,"Panel Jock - Clay Small/Medium",Jock,MP395241,3,"Male_Power\395-241CY.jpg","Male_Power\395-241CY_Back.jpg"
MP395241-CLY-L/XL,"Panel Jock - Clay Large/X-Large",Jock,MP395241,2,"Male_Power\395-241CY.jpg","Male_Power\395-241CY_Back.jpg"
MP395244-GRY-L/XL,"Cutout Jock - Grey Large/X-Large",Jock,MP395244,1,"Male_Power\395-244GY_ALT.jpg","Male_Power\395-244GY_Back.jpg"
MP396217-GRY-S/M,"Lace Up Jock - Grey Small/Medium",Jock,MP396217,5,"Male_Power\396217GY.jpg","Male_Power\396217GY_Back.jpg"
MP396217-GRY-L/XL,"Lace Up Jock - Grey Large/X-Large",Jock,MP396217,6,"Male_Power\396217GY.jpg","Male_Power\396217GY_Back.jpg"
MP397220-GRY/NVY-S/M,"Pocket Jock - Grey/Navy Small/Medium",Jock,MP397220,6,"Male_Power\397220NV.jpg","Male_Power\397220NV_Back.jpg"
MP397220-GRY/NVY-L/XL,"Pocket Jock - Grey/Navy Large/X-Large",Jock,MP397220,6,"Male_Power\397220NV.jpg","Male_Power\397220NV_Back.jpg"
MP397220-BLK/RED-S/M,"Pocket Jock - Black/Red Small/Medium",Jock,MP397220,0,"Male_Power\397220BR.jpg","Male_Power\397220BR_Back.jpg"
MP397220-BLK/RED-L/XL,"Pocket Jock - Black/Red Large/X-Large",Jock,MP397220,0,"Male_Power\397220BR.jpg","Male_Power\397220BR_Back.jpg"
MP399236-BLK-L/XL,"Hose Jock - Black Large/X-Large",Jock,MP399236,9,"Male_Power\399236BK.jpg","Male_Power\399236BK_Back.jpg"
MP399236-BLK-S/M,"Hose Jock - Black Small/Medium",Jock,MP399236,10,"Male_Power\399236BK.jpg","Male_Power\399236BK_Back.jpg"
MP399236-RED-L/XL,"Hose Jock - Red Large/X-Large",Jock,MP399236,0,"Male_Power\399236RE.jpg","Male_Power\399236RE_Back.jpg"
MP399236-RED-S/M,"Hose Jock - Red Small/Medium",Jock,MP399236,0,"Male_Power\399236RE.jpg","Male_Power\399236RE_Back.jpg"
MP411244-GRY-S/M,"Cutout Thong - Grey Small/Medium",Thong,MP411244,2,"Male_Power\411-244GY.jpg","Male_Power\411-244GY_Back.jpg"
MP411244-GRY-L/XL,"Cutout Thong - Grey Large/X-Large",Thong,MP411244,2,"Male_Power\411-244GY.jpg","Male_Power\411-244GY_Back.jpg"
MP412243-BLK-S/M,"Sport Strap Thong - Black Small/Medium",Thong,MP412243,2,"Male_Power\412-243BK.jpg","Male_Power\412-243BK_Back.jpg"
MP412243-BLK-L/XL,"Sport Strap Thong - Black Large/X-Large",Thong,MP412243,3,"Male_Power\412-243BK.jpg","Male_Power\412-243BK_Back.jpg"
MP413242-BLK-S/M,"Insert Thong - Black Small/Medium",Thong,MP413242,3,"Male_Power\413-242BK.jpg"
MP413242-BLK-L/XL,"Insert Thong - Black Large/X-Large",Thong,MP413242,1,"Male_Power\413-242BK.jpg"
MP413242-BUR-S/M,"Insert Thong - Burgundy Small/Medium",Thong,MP413242,2,"Male_Power\413-242BN.jpg"
MP413242-BUR-L/XL,"Insert Thong - Burgundy Large/X-Large",Thong,MP413242,2,"Male_Power\413-242BN.jpg"
MP415239-BLK-L/XL,"Clip Thong - Black Large/X-Large",Thong,MP415239,1,"Male_Power\415239BK.jpg","Male_Power\415239BK_Back.jpg"
MP415239-BLK-S/M,"Clip Thong - Black Small/Medium",Thong,MP415239,0,"Male_Power\415239BK.jpg","Male_Power\415239BK_Back.jpg"
MP418004-BLK-M,"Strappy String Thong - Black Medium",Thong,MP418004,2,"Male_Power\418004BK.jpg"
MP418004-BLK-XL,"Strappy String Thong - Black X-Large",Thong,MP418004,2,"Male_Power\418004BK.jpg"
MP418004-BLK-L,"Strappy String Thong - Black Large",Thong,MP418004,0,"Male_Power\418004BK.jpg"
MP418004-BLK-S,"Strappy String Thong - Black Small",Thong,MP418004,0,"Male_Power\418004BK.jpg"
MP419238-BLU/BLK-S/M,"Strappy Thong - Blue/Black Small/Medium",Thong,MP419238,2,"Male_Power\419238BK.jpg","Male_Power\419238BK Back.jpg"
MP419238-BLU/BLK-L/XL,"Strappy Thong - Blue/Black Large/X-Large",Thong,MP419238,1,"Male_Power\419238BK.jpg","Male_Power\419238BK Back.jpg"
MP420220-BLK/RED-M,"Pocket Thong - Black/Red Medium",Thong,MP420220,1,"Male_Power\420220BR.jpg","Male_Power\420220BR_Back.jpg"
MP420220-BLK/RED-XL,"Pocket Thong - Black/Red X-Large",Thong,MP420220,2,"Male_Power\420220BR.jpg","Male_Power\420220BR.jpg","Male_Power\420220BR_Back.jpg"
MP420220-GRY/NVY-S,"Pocket Thong - Grey/Navy Small",Thong,MP420220,2,"Male_Power\420220NV.jpg","Male_Power\420220NV_Back.jpg"
MP420220-GRY/NVY-M,"Pocket Thong - Grey/Navy Medium",Thong,MP420220,2,"Male_Power\420220NV.jpg","Male_Power\420220NV_Back.jpg"
MP420220-GRY/NVY-L,"Pocket Thong - Grey/Navy Large",Thong,MP420220,1,"Male_Power\420220NV.jpg","Male_Power\420220NV_Back.jpg"
MP420220-BLK/RED-S,"Pocket Thong - Black/Red Small",Thong,MP420220,0,"Male_Power\420220BR.jpg","Male_Power\420220BR_Back.jpg"
MP420220-BLK/RED-L,"Pocket Thong - Black/Red Large",Thong,MP420220,0,"Male_Power\420220BR.jpg","Male_Power\420220BR_Back.jpg"
MP420220-GRY/NVY-XL,"Pocket Thong - Grey/Navy X-Large",Thong,MP420220,0,"Male_Power\420220NV.jpg","Male_Power\420220NV_Back.jpg"
MP421221-BLK/GRN-S,"Goal Keeper Thong - Black/Green Small",Thong,MP421221,1,"Male_Power\421221BG.jpg","Male_Power\421221BG_Back.jpg"
MP421221-BLK/GRN-M,"Goal Keeper Thong - Black/Green Medium",Thong,MP421221,1,"Male_Power\421221BG.jpg","Male_Power\421221BG_Back.jpg"
MP421221-BLK/GRN-XL,"Goal Keeper Thong - Black/Green X-Large",Thong,MP421221,1,"Male_Power\421221BG.jpg","Male_Power\421221BG_Back.jpg"
MP421221-TRQ/YEL-S,"Goal Keeper Thong - Turq/Yellow Small",Thong,MP421221,1,"Male_Power\421221TY.jpg","Male_Power\421221TY_Back.jpg"
MP421221-TRQ/YEL-M,"Goal Keeper Thong - Turq/Yellow Medium",Thong,MP421221,1,"Male_Power\421221TY.jpg","Male_Power\421221TY_Back.jpg"
MP421221-TRQ/YEL-L,"Goal Keeper Thong - Turq/Yellow Large",Thong,MP421221,1,"Male_Power\421221TY.jpg","Male_Power\421221TY_Back.jpg"
MP421221-BLK/GRN-L,"Goal Keeper Thong - Black/Green Large",Thong,MP421221,0,"Male_Power\421221BG.jpg","Male_Power\421221BG_Back.jpg"
MP421221-TRQ/YEL-XL,"Goal Keeper Thong - Turq/Yellow X-Large",Thong,MP421221,0,"Male_Power\421221TY.jpg","Male_Power\421221TY_Back.jpg"
MP422004-BLK-L/XL,"Ladder Thong - Black Large/X-Large",Thong,MP422004,1,"Male_Power\422004BK.jpg","Male_Power\422004BK_Back.jpg"
MP422004-BLK-S/M,"Ladder Thong - Black Small/Medium",Thong,MP422004,2,"Male_Power\422004BK.jpg","Male_Power\422004BK_Back.jpg"
MP427225-PUR/BLK-L/XL,"Thong - Purple/Black Large/X-Large",Thong,MP427225,1,"Male_Power\427225BP.jpg","Male_Power\427225BP_Back.jpg"
MP427225-PUR/BLK-S/M,"Thong - Purple/Black Small/Medium",Thong,MP427225,0,"Male_Power\427225BP.jpg","Male_Power\427225BP_Back.jpg"
MP431219-NVY-S/M,"Snap Thong - Navy Small/Medium",Thong,MP431219,4,"Male_Power\431219NV.jpg","Male_Power\431219NV_Back.jpg"
MP431219-NVY-L/XL,"Snap Thong - Navy Large/X-Large",Thong,MP431219,5,"Male_Power\431219NV.jpg","Male_Power\431219NV_Back.jpg"
MP431219-BLK-S/M,"Snap Thong - Black Small/Medium",Thong,MP431219,0,"Male_Power\431219BK.jpg","Male_Power\431219BK_Back.jpg"
MP431219-BLK-L/XL,"Snap Thong - Black Large/X-Large",Thong,MP431219,0,"Male_Power\431219BK.jpg","Male_Power\431219BK_Back.jpg"
MP432202-BLK/GRY-S,"Sport Thong - Black/Grey Small",Thong,MP432202,2,"Male_Power\432202BR.jpg","Male_Power\432202BR_Back.jpg"
MP432202-BLK/GRY-M,"Sport Thong - Black/Grey Medium",Thong,MP432202,3,"Male_Power\432202BR.jpg","Male_Power\432202BR_Back.jpg"
MP432202-BLK/GRY-L,"Sport Thong - Black/Grey Large",Thong,MP432202,2,"Male_Power\432202BR.jpg","Male_Power\432202BR_Back.jpg"
MP432202-BLK/GRY-XL,"Sport Thong - Black/Grey X-Large",Thong,MP432202,2,"Male_Power\432202BR.jpg","Male_Power\432202BR_Back.jpg"
MP432202-TRQ/BLK-M,"Sport Thong - Turq/Black Medium",Thong,MP432202,1,"Male_Power\432202TB.jpg","Male_Power\432202TB_Back.jpg"
MP432202-TRQ/BLK-S,"Sport Thong - Turq/Black Small",Thong,MP432202,0,"Male_Power\432202TB.jpg","Male_Power\432202TB_Back.jpg"
MP432202-TRQ/BLK-L,"Sport Thong - Turq/Black Large",Thong,MP432202,0,"Male_Power\432202TB.jpg","Male_Power\432202TB_Back.jpg"
MP432202-TRQ/BLK-XL,"Sport Thong - Turq/Black X-Large",Thong,MP432202,0,"Male_Power\432202TB.jpg","Male_Power\432202TB_Back.jpg"
MP43307B-LME-L,"Micro Thong - Lime Large",Thong,MP43307B,3,"Male_Power\43307BLM.jpg","Male_Power\43307BLM_Back.jpg"
MP43307B-LME-S,"Micro Thong - Lime Small",Thong,MP43307B,3,"Male_Power\43307BLM.jpg","Male_Power\43307BLM_Back.jpg"
MP43307B-LME-XL,"Micro Thong - Lime X-Large",Thong,MP43307B,1,"Male_Power\43307BLM.jpg","Male_Power\43307BLM_Back.jpg"
MP43307B-ORG-L,"Micro Thong - Orange Large",Thong,MP43307B,2,"Male_Power\43307BOR.jpg","Male_Power\43307BOR_Back.jpg"
MP43307B-ORG-M,"Micro Thong - Orange Medium",Thong,MP43307B,3,"Male_Power\43307BOR.jpg","Male_Power\43307BOR_Back.jpg"
MP43307B-ORG-S,"Micro Thong - Orange Small",Thong,MP43307B,3,"Male_Power\43307BOR.jpg","Male_Power\43307BOR_Back.jpg"
MP43307B-ORG-XL,"Micro Thong - Orange X-Large",Thong,MP43307B,1,"Male_Power\43307BOR.jpg","Male_Power\43307BOR_Back.jpg"
MP43307B-PNK-L,"Micro Thong - Pink Large",Thong,MP43307B,3,"Male_Power\43307BPK.jpg","Male_Power\43307BPK_Back.jpg"
MP43307B-PNK-M,"Micro Thong - Pink Medium",Thong,MP43307B,3,"Male_Power\43307BPK.jpg","Male_Power\43307BPK_Back.jpg"
MP43307B-PNK-S,"Micro Thong - Pink Small",Thong,MP43307B,3,"Male_Power\43307BPK.jpg","Male_Power\43307BPK_Back.jpg"
MP43307B-YEL-L,"Micro Thong - Yellow Large",Thong,MP43307B,3,"Male_Power\43307BYE.jpg","Male_Power\43307BYE_Back.jpg"
MP43307B-YEL-S,"Micro Thong - Yellow Small",Thong,MP43307B,3,"Male_Power\43307BYE.jpg","Male_Power\43307BYE_Back.jpg"
MP43307B-YEL-XL,"Micro Thong - Yellow X-Large",Thong,MP43307B,3,"Male_Power\43307BYE.jpg","Male_Power\43307BYE_Back.jpg"
MP43307B-LME-M,"Micro Thong - Lime Medium",Thong,MP43307B,0,"Male_Power\43307BLM.jpg","Male_Power\43307BLM_Back.jpg"
MP43307B-PNK-XL,"Micro Thong - Pink X-Large",Thong,MP43307B,0,"Male_Power\43307BPK.jpg","Male_Power\43307BPK_Back.jpg"
MP43307B-YEL-M,"Micro Thong - Yellow Medium",Thong,MP43307B,0,"Male_Power\43307BYE.jpg","Male_Power\43307BYE_Back.jpg"
MP433160-GRN-S,"Micro Thong - Green Small",Thong,MP433160,1,"Male_Power\433160GN.jpg","Male_Power\433160GN_Back.jpg"
MP433160-GRN-M,"Micro Thong - Green Medium",Thong,MP433160,1,"Male_Power\433160GN.jpg","Male_Power\433160GN_Back.jpg"
MP433160-GRN-L,"Micro Thong - Green Large",Thong,MP433160,2,"Male_Power\433160GN.jpg","Male_Power\433160GN_Back.jpg"
MP433160-GRN-XL,"Micro Thong - Green X-Large",Thong,MP433160,1,"Male_Power\433160GN.jpg","Male_Power\433160GN_Back.jpg"
MP433160-RED-S,"Micro Thong - Red Small",Thong,MP433160,3,"Male_Power\433160RD.jpg","Male_Power\433160RD_2.jpg","Male_Power\433160RD_Back.jpg"
MP433160-RED-XL,"Micro Thong - Red X-Large",Thong,MP433160,2,"Male_Power\433160RD.jpg","Male_Power\433160RD_2.jpg","Male_Power\433160RD_Back.jpg"
MP433160-RED-M,"Micro Thong - Red Medium",Thong,MP433160,0,"Male_Power\433160RD.jpg","Male_Power\433160RD_2.jpg","Male_Power\433160RD_Back.jpg"
MP433160-RED-L,"Micro Thong - Red Large",Thong,MP433160,0,"Male_Power\433160RD.jpg","Male_Power\433160RD_2.jpg","Male_Power\433160RD_Back.jpg"
MP433171-BLK-L,"Micro Thong - Black Large",Thong,MP433171,3,"Male_Power\433171BK.jpg","Male_Power\433171BK_Back.jpg"
MP433171-TEA-L,"Micro Thong - Teal Large",Thong,MP433171,3,"Male_Power\433171BE.jpg","Male_Power\433171BE_Back.jpg"
MP433171-TEA-XL,"Micro Thong - Teal X-Large",Thong,MP433171,2,"Male_Power\433171BE.jpg","Male_Power\433171BE_Back.jpg"
MP433228-WHT-L,"Micro Thong - White Large",Thong,MP433228,2,"Male_Power\433228WH.jpg","Male_Power\433228WH_Back.jpg"
MP433228-WHT-M,"Micro Thong - White Medium",Thong,MP433228,1,"Male_Power\433228WH.jpg","Male_Power\433228WH_Back.jpg"
MP433228-WHT-XL,"Micro Thong - White X-Large",Thong,MP433228,2,"Male_Power\433228WH.jpg","Male_Power\433228WH_Back.jpg"
MP433228-WHT-S,"Micro Thong - White Small",Thong,MP433228,0,"Male_Power\433228WH.jpg","Male_Power\433228WH_Back.jpg"
MP435224-BLK/GLD-L/XL,"Enrichment Thong - Black/Gold Large/X-Large",Thong,MP435224,2,"Male_Power\435224BD.jpg","Male_Power\435224BD_Back.jpg"
MP435224-BLK/GLD-S/M,"Enrichment Thong - Black/Gold Small/Medium",Thong,MP435224,0,"Male_Power\435224BD.jpg","Male_Power\435224BD_Back.jpg"
MP436157-BLK-S/M,"Lo Rise Pouch Enhancer Thong - Black Small/Medium",Thong,MP436157,3,"Male_Power\436157BK.jpg","Male_Power\436157BK_Back.jpg"
MP436157-BLK-L/XL,"Lo Rise Pouch Enhancer Thong - Black Large/X-Large",Thong,MP436157,1,"Male_Power\436157BK.jpg","Male_Power\436157BK_Back.jpg"
MP436157-RED-S/M,"Lo Rise Pouch Enhancer Thong - Red Small/Medium",Thong,MP436157,4,"Male_Power\436157RE.jpg","Male_Power\436157RE_Back.jpg"
MP436157-RED-L/XL,"Lo Rise Pouch Enhancer Thong - Red Large/X-Large",Thong,MP436157,1,"Male_Power\436157RE.jpg","Male_Power\436157RE_Back.jpg"
MP436198-GRY-L/XL,"Lo Rise Enhancer Thong - Grey Large/X-Large",Thong,MP436198,2,"Male_Power\436198GY.jpg","Male_Power\436198GY_Back.jpg"
MP436198-GRY-S/M,"Lo Rise Enhancer Thong - Grey Small/Medium",Thong,MP436198,2,"Male_Power\436198GY.jpg","Male_Power\436198GY_Back.jpg"
MP436229-ORG-S/M,"Bong Thong - Orange Small/Medium",Thong,MP436229,2,"Male_Power\436229OR.jpg","Male_Power\436229OR_Back.jpg"
MP436229-ORG-L/XL,"Bong Thong - Orange Large/X-Large",Thong,MP436229,2,"Male_Power\436229OR.jpg","Male_Power\436229OR_Back.jpg"
MP436229-PUR-S/M,"Bong Thong - Purple Small/Medium",Thong,MP436229,2,"Male_Power\436229PL.jpg","Male_Power\436229PL_Back.jpg"
MP436229-PUR-L/XL,"Bong Thong - Purple Large/X-Large",Thong,MP436229,3,"Male_Power\436229PL.jpg","Male_Power\436229PL_Back.jpg"
MP436233-BLK-L/XL,"Thong - Black Large/X-Large",Thong,MP436233,3,"Male_Power\436233BK.jpg","Male_Power\436233BK_Back.jpg"
MP436233-BLK-S/M,"Thong - Black Small/Medium",Thong,MP436233,3,"Male_Power\436233BK.jpg","Male_Power\436233BK_Back.jpg"
MP438215-ROY/BLK-S/M,"Lo Rise Thong - Royal/Black Small/Medium",Thong,MP438215,3,"Male_Power\438215RB.jpg","Male_Power\438215RB_Back.jpg"
MP438215-WHT/BLK-S/M,"Lo Rise Thong - White/Black Small/Medium",Thong,MP438215,1,"Male_Power\438215WB.jpg"
MP438215-WHT/BLK-L/XL,"Lo Rise Thong - White/Black Large/X-Large",Thong,MP438215,2,"Male_Power\438215WB.jpg"
MP438215-ROY/BLK-L/XL,"Lo Rise Thong - Royal/Black Large/X-Large",Thong,MP438215,0,"Male_Power\438215RB.jpg","Male_Power\438215RB_Back.jpg"
MP438223-BLK-S/M,"Lo Rise Thong - Black Small/Medium",Thong,MP438223,2,"Male_Power\438223BK.jpg","Male_Power\438223BK_Back.jpg"
MP438223-BLK-L/XL,"Lo Rise Thong - Black Large/X-Large",Thong,MP438223,1,"Male_Power\438223BK.jpg","Male_Power\438223BK_Back.jpg"
MP438223-WHT-S/M,"Lo Rise Thong - White Small/Medium",Thong,MP438223,3,"Male_Power\438223WH.jpg","Male_Power\438223WH_Back.jpg"
MP438223-WHT-L/XL,"Lo Rise Thong - White Large/X-Large",Thong,MP438223,2,"Male_Power\438223WH.jpg","Male_Power\438223WH_Back.jpg"
MP438227-BLK-S/M,"Lo Rise Thong - Black Small/Medium",Thong,MP438227,3,"Male_Power\438227BK.jpg","Male_Power\438227BK_Back.jpg"
MP438227-BLK-L/XL,"Lo Rise Thong - Black Large/X-Large",Thong,MP438227,3,"Male_Power\438227BK.jpg","Male_Power\438227BK_Back.jpg"
MP438227-RED-S/M,"Lo Rise Thong - Red Small/Medium",Thong,MP438227,1,"Male_Power\438227RE.jpg","Male_Power\438227RE_Back.jpg"
MP438227-RED-L/XL,"Lo Rise Thong - Red Large/X-Large",Thong,MP438227,4,"Male_Power\438227RE.jpg","Male_Power\438227RE_Back.jpg"
MP438227-TRQ-S/M,"Lo Rise Thong - Turquoise Small/Medium",Thong,MP438227,2,"Male_Power\438227BE.jpg","Male_Power\438227BE_Back.jpg"
MP438227-TRQ-L/XL,"Lo Rise Thong - Turquoise Large/X-Large",Thong,MP438227,3,"Male_Power\438227BE.jpg","Male_Power\438227BE_Back.jpg"
MP440003-BLK-L,"Classic Thong - Black Large",Thong,MP440003,1,"Male_Power\440003BK.jpg","Male_Power\440003BK_Back.jpg"
MP440003-BLK-M,"Classic Thong - Black Medium",Thong,MP440003,2,"Male_Power\440003BK.jpg","Male_Power\440003BK_Back.jpg"
MP440003-BLK-S,"Classic Thong - Black Small",Thong,MP440003,2,"Male_Power\440003BK.jpg","Male_Power\440003BK_Back.jpg"
MP440003-BLK-XL,"Classic Thong - Black X-Large",Thong,MP440003,0,"Male_Power\440003BK.jpg","Male_Power\440003BK_Back.jpg"
MP441196-BLU/BLK-S/M,"Zipper Thong - Blue/Black Small/Medium",Thong,MP441196,5,"Male_Power\441196BE.jpg","Male_Power\441196BE_Back.jpg"
MP441196-BLU/BLK-L/XL,"Zipper Thong - Blue/Black Large/X-Large",Thong,MP441196,5,"Male_Power\441196BE.jpg","Male_Power\441196BE_Back.jpg"
MP441196-WNE/BLK-L/XL,"Zipper Thong - Wine/Black Large/X-Large",Thong,MP441196,2,"Male_Power\441196WI.jpg","Male_Power\441196WI_Back.jpg"
MP441196-WNE/BLK-S/M,"Zipper Thong - Wine/Black Small/Medium",Thong,MP441196,2,"Male_Power\441196WI.jpg","Male_Power\441196WI_Back.jpg"
MP442032-BRN-S/M,"Bong Thong - Brown Small/Medium",Thong,MP442032,2,"Male_Power\442032BN.jpg","Male_Power\442032BN_Back.jpg"
MP442032-BLU-L/XL,"Bong Thong - Blue Large/X-Large",Thong,MP442032,0,"Male_Power\442032BE.jpg","Male_Power\442032BE_Back.jpg"
MP442032-BLU-S/M,"Bong Thong - Blue Small/Medium",Thong,MP442032,0,"Male_Power\442032BE.jpg","Male_Power\442032BE_Back.jpg"
MP442032-BRN-L/XL,"Bong Thong - Brown Large/X-Large",Thong,MP442032,0,"Male_Power\442032BN.jpg","Male_Power\442032BN_Back.jpg"
MP442032-WHT-S/M,"Bong Thong - White Small/Medium",Thong,MP442032,0,"Male_Power\442032WH.jpg","Male_Power\442032WH_Back.jpg"
MP442032-WHT-L/XL,"Bong Thong - White Large/X-Large",Thong,MP442032,0,"Male_Power\442032WH.jpg","Male_Power\442032WH_Back.jpg"
MP442051-OS-BLK,"Bong Thong One Size / Black",Thong,MP442051,2,"Male_Power\442051BK.jpg"
