stock_code,parent_stock_type,parent_stock_code,stock_available
ES-PNK1,Skirt,ES-PNK1,7,"Hustler\ES-PNK1_01"
HF02,Set,HF02,38,"Hustler\HF02"
HH15,Pantyhose,HH15,41,"Hustler\HH15-BLK_01"
HH16,"Thigh High",HH16,1,"Hustler\HH16-BLK_01"
HH18,Pantyhose,HH18,46,"Hustler\HH18-BLK_01"
HH22,Pantyhose,HH22,78,"Hustler\HH22-BLK_01"
HH23,Pantyhose,HH23,40,"Hustler\HH23-BLK_01"
HH24,Pantyhose,HH24,27,"Hustler\HH24-BLK_01"
HH29,Pantyhose,HH29,61,"Hustler\HH29-BLK_01"
HH3,Pantyhose,HH3,22,"Hustler\HH3-BLK_01"
HH30,Pantyhose,HH30,39,"Hustler\HH30-BLK_01"
HH31,"Knee High",HH31,31,"Hustler\HH31-WHT_01"
HH32,"Knee High",HH32,65,"Hustler\HH32-BLK_01"
HH46,"Knee High",HH46,24,"Hustler\HH46_01"
HH47,"Knee High",HH47,8,"Hustler\HH47_01"
HH6,Pantyhose,HH6,95,"Hustler\HH6_BLK_01"
HH78,Tops,HH78,1,"Hustler\HH78-BLK_01"
HL200,Set,HL200,6,"Hustler\HL200_BLK_01"
HL212,Set,HL212,15,"Hustler\HL212_BLK_01"
HL228,Teddy,HL228,2,"Hustler\HL228_LEO_01"
HL229,Teddy,HL229,3,"Hustler\HL229_LEO_01"
HL231,Set,HL231,6,"Hustler\HL231_LEO_01"
HLW-3,"Leg Wraps",HLW-3,1,"Hustler\HLW_3_01"
HTIE-RED1,Necktie,HTIE-RED1,39,"Hustler\HTIE_RED1_01"
HU-X1002,Dress,HU-X1002,39,"Hustler\HU-X1002_01"
NU21,"Mens Dress Up",NU21,4,"Hustler\NU21_01"
NU22,"Mens Dress Up",NU22,4,"Hustler\NU22_01"
HRP-07-BLK-S/M,Boyshort,HRP-07,9,"Hustler\HRP-07_01"
HRP-07-BLK-M/L,Boyshort,HRP-07,14,"Hustler\HRP-07_01"
EP100-BLK/PNK-OS,Boyshort,EP100,10,"Hustler\EP100-BPNK_01"
EP100-BLK/RED-OS,Boyshort,EP100,1,"Hustler\EP100-BRED_01"
EP100-PUR-OS,Boyshort,EP100,37,"Hustler\EP100-PUR_01"
ESH-014-PNK-S,Skirt,ESH-014,3,"Hustler\ESH-014-PNK"
ESH-014-RED-S,Skirt,ESH-014,8,"Hustler\ESH-014-PNK","Hustler\ESH-014-RED"
HP15-PNK-M/L,G-String,HP15,49,"Hustler\HP15_01"
HP16-BLK-S/M,Boyshort,HP16,217,"Hustler\HP16-Front"
HP17-PNK-S/M,Boyshort,HP17,7,"Hustler\HP17-Front"
HP19-LEO-M/L,Boyshort,HP19,19,"Hustler\HP19-LEO"
HP19-LEO-S/M,Boyshort,HP19,17,"Hustler\HP19-LEO"
HP19-PNK-S/M,Boyshort,HP19,8,"Hustler\HP19-PNK"
HP19-PNK-M/L,Boyshort,HP19,7,"Hustler\HP19-PNK"
HP20-BLK/PNK-S/M,Thong,HP20,41,"Hustler\HP20_01"
HP20-BLK/PNK-M/L,Thong,HP20,36,"Hustler\HP20_01"
HP21-BLK/PNK-S/M,G-String,HP21,24,"Hustler\HP21_01"
HP21-BLK/PNK-M/L,G-String,HP21,23,"Hustler\HP21_01"
HP22-BLK/PNK-S/M,Panty,HP22,11,"Hustler\HP22-BPNK_01"
HP23-BLK/PNK-S/M,Boyshort,HP23,22,"Hustler\HP23_01"
HP23-BLK/PNK-M/L,Boyshort,HP23,14,"Hustler\HP23_01"
HP24-PNK-S/M,Knicker,HP24,17,"Hustler\HP24_01"
HP3-PNK-S/M,Thong,HP3,21,"Hustler\HP3_01"
HP3-PNK-M/L,Thong,HP3,3,"Hustler\HP3_01"
HP4-PUR-M/L,Thong,HP4,12,"Hustler\HP4_01"
HP5-BLK-S/M,Boyshort,HP5,16,"Hustler\HP5_BLK_01"
HP5-BLK-M/L,Boyshort,HP5,26,"Hustler\HP5_BLK_01"
HP6-PNK-S/M,Boyshort,HP6,40,"Hustler\HP6_PNK_01"
HRP-03-BLK-M/L,Boyshort,HRP-03,8,"Hustler\HRP-03_01"
HRP-04-BLK-S/M,Boyshort,HRP-04,34,"Hustler\HRP-04_01"
HRP-04-BLK-M/L,Boyshort,HRP-04,22,"Hustler\HRP-04_01"
HRP-05-BLK-M/L,Boyshort,HRP-05,6,"Hustler\HRP-05_01"
HRP-06-BLK-S/M,Boyshort,HRP-06,3,"Hustler\HRP-06_01"
HSP-05-BLK-S/M,Panty,HSP-05,25,"Hustler\HSP-05_01"
HSP-05-BLK-M/L,Panty,HSP-05,24,"Hustler\HSP-05_01"
HSP-06-BLK-S/M,Panty,HSP-06,16,"Hustler\HSP-06_01"
HSP-06-BLK-M/L,Panty,HSP-06,15,"Hustler\HSP-06_01"
HSP-09-BLK-S/M,Panty,HSP-09,16,"Hustler\HSP-09_01"
HSP-09-BLK-M/L,Panty,HSP-09,16,"Hustler\HSP-09_01"
HSP-10-BLK-S/M,Panty,HSP-10,15,"Hustler\HSP-10_01"
HTIE-BLU-OS,Necktie,HTIE,6,"Hustler\HTIE_BLU_01"
HTIE-GRN-OS,Necktie,HTIE,1,"Hustler\HTIE_GN_01"
