stock_code,description,parent_stock_type,parent_stock_code,stock_available
GWB1303-RED-OS,"1pc Essence Of Glamour Teddy Red / One Size",Teddy,GWB1303,6,"G-World\B1303blackyellowIMG_3829"
GWB1601-EMR-OS,"2pc Astonishing Teddy & Stockings Emerald / One Size",Teddy,GWB1601,11,"G-World\B1601emerald_1297.jpg","P:\G World\2020 New Arrivals\B1601emerald_1344.jpg"
GWB1616-GRY-OS,"2pc Strappy Chantilly Teddy & Stockings, Vintage Grey / One Size",Teddy,GWB1616,23,"G-World\B1616 Vintage Gray 26305.jpg","P:\G World\2020 New Arrivals\B1616 Vintage Gray 26436.jpg"
GWB1706,,Bodystocking,GWB1706,9,"G-World\B1706BLACK_16498","P:\G World\ALL IMAGES 2018 - 1500\ALL IMAGES 2018 - 1500\B1706BLACK_16569.jpg"
GWB1754,,Teddy,GWB1754,1,"G-World\B1754NIGHTBLUE_7173-Edit","P:\G World\2020 New Arrivals\B1754NIGHTBLUE_7180-Edit.jpg"
GWB1850-BLK-OS,"2pc High-Neck Laced Garter Teddy Black / One Size",Teddy,GWB1850,2,"G-World\B1850BlueAngel_2018Fall 9926-Edit","P:\G World\2020 New Arrivals\B1850BlueAngel_2018Fall 9941-Edit.jpg"
GWB1850-BLU-OS,"2pc High-Neck Laced Garter Teddy Blue / One Size",Teddy,GWB1850,9,"G-World\B1850BlueAngel_2018Fall 9926-Edit","P:\G World\2020 New Arrivals\B1850BlueAngel_2018Fall 9941-Edit.jpg"
GWB1874-BLK-OS,"2pc Curve Loving Strappy Teddy Black / One Size",Teddy,GWB1874,2,"G-World\B1874Black_2018Fall 8311-Edit","P:\G World\2020 New Arrivals\B1874Black_2018Fall 8409-Edit.jpg"
GWB1874-RED-OS,"2pc Curve Loving Strappy Teddy Red / One Size",Teddy,GWB1874,5,"G-World\B1874Black_2018Fall 8311-Edit","P:\G World\2020 New Arrivals\B1874Black_2018Fall 8409-Edit.jpg"
GWB1901-NEON-OS,"2pc Halter Plunge Caged Garter Teddy & Stockings Neon / One Size",Teddy,GWB1901,3,"G-World\B1901 Smoke_0293.jpg","P:\G World\2020 New Arrivals\B1901 Smoke_0335.jpg"
GWB1901-SMK-OS,"2pc Halter Plunge Caged Garter Teddy & Stockings Smoke / One Size",Teddy,GWB1901,4,"G-World\B1901 Smoke_0293.jpg","P:\G World\2020 New Arrivals\B1901 Smoke_0335.jpg"
