stock_code,parent_stock_type,parent_stock_code,stock_available
STM10607-HPNK-S,Knicker,STM10607,0,"STM\10607_HOTPINK_F.jpg","STM\10607_HOTPINK_B.jpg"
STM10607-HPNK-M,Knicker,STM10607,0,"STM\10607_HOTPINK_F.jpg","STM\10607_HOTPINK_B.jpg"
STM10607-HPNK-L,Knicker,STM10607,0,"STM\10607_HOTPINK_F.jpg","STM\10607_HOTPINK_B.jpg"
STM10607-HPNK-XL,Knicker,STM10607,0,"STM\10607_HOTPINK_F.jpg","STM\10607_HOTPINK_B.jpg"
STM10607-PUR-S,Knicker,STM10607,134,"STM\10607_PURPLE_F.jpg","STM\10607_PURPLE_B.jpg"
STM10607-PUR-M,Knicker,STM10607,13,"STM\10607_PURPLE_F.jpg","STM\10607_PURPLE_B.jpg"
STM10607-PUR-L,Knicker,STM10607,83,"STM\10607_PURPLE_F.jpg","STM\10607_PURPLE_B.jpg"
STM10607-PUR-XL,Knicker,STM10607,158,"STM\10607_PURPLE_F.jpg","STM\10607_PURPLE_B.jpg"
STM10607-RED-S,Knicker,STM10607,0,"STM\10607_RED_F.jpg","STM\10607_RED_B.jpg"
STM10607-RED-M,Knicker,STM10607,9,"STM\10607_RED_F.jpg","STM\10607_RED_B.jpg"
STM10607-RED-L,Knicker,STM10607,7,"STM\10607_RED_F.jpg","STM\10607_RED_B.jpg"
STM10607-RED-XL,Knicker,STM10607,3,"STM\10607_RED_F.jpg","STM\10607_RED_B.jpg"
STM10607-WHT-S,Knicker,STM10607,0,"STM\10607_WHITE_F.jpg","STM\10607_WHITE_B.jpg"
STM10607-WHT-M,Knicker,STM10607,0,"STM\10607_WHITE_F.jpg","STM\10607_WHITE_B.jpg"
STM10607-WHT-L,Knicker,STM10607,0,"STM\10607_WHITE_F.jpg","STM\10607_WHITE_B.jpg"
STM10607-WHT-XL,Knicker,STM10607,0,"STM\10607_WHITE_F.jpg","STM\10607_WHITE_B.jpg"
STM10607X-BLK-1X/2X,Knicker,STM10607X,0,"STM\10607X_BLACK_F.jpg","STM\10607X_BLACK_B.jpg"
STM10607X-BLK-3X/4X,Knicker,STM10607X,0,"STM\10607X_BLACK_F.jpg","STM\10607X_BLACK_B.jpg"
STM10607X-HPNK-1X/2X,Knicker,STM10607X,0,"STM\10607X_HOTPINK_F.jpg","STM\10607X_HOTPINK_B.jpg"
STM10607X-HPNK-3X/4X,Knicker,STM10607X,0,"STM\10607X_HOTPINK_F.jpg","STM\10607X_HOTPINK_B.jpg"
STM10607X-PUR-1X/2X,Knicker,STM10607X,42,"STM\10607X_PURPLE_F.jpg","STM\10607X_PURPLE_B.jpg"
STM10607X-PUR-3X/4X,Knicker,STM10607X,71,"STM\10607X_PURPLE_F.jpg","STM\10607X_PURPLE_B.jpg"
STM10607X-RED-1X/2X,Knicker,STM10607X,9,"STM\10607X_RED_F.jpg","STM\10607X_RED_B.jpg"
STM10607X-RED-3X/4X,Knicker,STM10607X,12,"STM\10607X_RED_F.jpg","STM\10607X_RED_B.jpg"
STM10607X-WHT-1X/2X,Knicker,STM10607X,0,"STM\10607X_WHITE_F.jpg","STM\10607X_WHITE_B.jpg"
STM10607X-WHT-3X/4X,Knicker,STM10607X,0,"STM\10607X_WHITE_F.jpg","STM\10607X_WHITE_B.jpg"
STM10615-WHT-XL,Thong,STM10615,5,"STM\10615_WHITE_F.jpg","STM\10615_WHITE_B.jpg","STM\10615_WHITE_F"
STM10615X-PUR-1X/2X,Thong,STM10615X,55,"STM\10615X_PURPLE_F.jpg","STM\10615X_PURPLE_B.jpg"
STM10615X-PUR-3X/4X,Thong,STM10615X,57,"STM\10615X_PURPLE_F.jpg","STM\10615X_PURPLE_B.jpg"
STM10615X-TUR-1X/2X,Thong,STM10615X,58,"STM\10615X_TURQ_F.jpg","STM\10615X_TURQ_B.jpg"
STM10615X-TUR-3X/4X,Thong,STM10615X,56,"STM\10615X_TURQ_F.jpg","STM\10615X_TURQ_B.jpg"
STM10629-PNK-XL,Knicker,STM10629,1,"STM\10629_PINK_F.jpg","STM\10629_PINK_B.jpg"
STM10629X-BLK-1X/2X,Knicker,STM10629X,0,"STM\10629X_BLACK_F.jpg","STM\10629X_BLACK_B.jpg"
STM10629X-BLK-3X/4X,Knicker,STM10629X,0,"STM\10629X_BLACK_F.jpg","STM\10629X_BLACK_B.jpg"
STM10629X-BLU-1X/2X,Knicker,STM10629X,0,"STM\10629X_BLUE_F.jpg","STM\10629X_BLUE_B.jpg"
STM10629X-BLU-3X/4X,Knicker,STM10629X,0,"STM\10629X_BLUE_F.jpg","STM\10629X_BLUE_B.jpg"
STM10629X-PNK-1X/2X,Knicker,STM10629X,0,"STM\10629X_PINK_F.jpg","STM\10629X_PINK_B.jpg"
STM10629X-PNK-3X/4X,Knicker,STM10629X,0,"STM\10629X_PINK_F.jpg","STM\10629X_PINK_B.jpg"
STM10629X-PUR-1X/2X,Knicker,STM10629X,0,"STM\10629X_PURPLE_F.jpg","STM\10629X_PURPLE_B.jpg"
STM10629X-PUR-3X/4X,Knicker,STM10629X,0,"STM\10629X_PURPLE_F.jpg","STM\10629X_PURPLE_B.jpg"
STM10645P-RED-OS,Thong,STM10645P,5,"STM\10645P_RED_F.jpg","STM\10645P_RED_B.jpg","STM\10645P_RED_F"
STM10645XP-RED-QUEEN,Thong,STM10645XP,2,"STM\10645XP_RED_F.jpg","STM\10645XP_RED_B.jpg"
STM10648P-BLK-OS,Thong,STM10648P,150,"STM\10648P_BLACK_F.jpg","STM\10648P_BLACK_B.jpg"
STM10648P-RED-OS,Thong,STM10648P,0,"STM\10648P_RED_F.jpg","STM\10648P_RED_B.jpg"
STM10648P-WHT-OS,Thong,STM10648P,46,"STM\10648P_WHITE_F.jpg","STM\10648P_WHITE_B.jpg"
STM10648XP-WHT-QUEEN,Thong,STM10648XP,0,"STM\10648XP_WHITE_F.jpg","STM\10648XP_WHITE_B.jpg"
STM10648XP-BLK-QUEEN,Thong,STM10648XP,0,"STM\10648XP_BLACK_F.jpg","STM\10648XP_BLACK_B.jpg"
STM10648XP-RED-QUEEN,Thong,STM10648XP,0,"STM\10648XP_RED_F.jpg","STM\10648XP_RED_B.jpg"
STM10672-BLK-S/M,Babydoll,STM10672-BLK-S/M,38,"STM\10672_Black_F.JPG","STM\10672_Black_B.JPG"
STM10672-BLK-L/XL,Babydoll,STM10672-BLK-L/XL,64,"STM\10672_Black_F.JPG","STM\10672_Black_B.JPG"
STM10672-FUC-S/M,Babydoll,STM10672,0,"STM\10672_FUS_F.jpg","STM\10672_FUS_B.jpg"
STM10672-FUC-L/XL,Babydoll,STM10672,0,"STM\10672_FUS_F.jpg","STM\10672_FUS_B.jpg"
STM10672-NVY-S/M,Babydoll,STM10672,237,"STM\10672_NAVY_F.JPG","STM\10672_NAVY_B.jpg"
STM10672-NVY-L/XL,Babydoll,STM10672,512,"STM\10672_NAVY_F.JPG","STM\10672_NAVY_B.jpg"
STM10672-RED-S/M,Babydoll,STM10672,62,"STM\10672_RED_F.jpg","STM\10672_RED_B.jpg"
STM10672-RED-L/XL,Babydoll,STM10672-RED-L/XL,51,"STM\10672_RED_F.jpg","STM\10672_RED_B.jpg"
STM10672-EMR-L/XL,Babydoll,STM10672,0,"STM\10672_Black_F.JPG","STM\10672_Black_B.JPG","STM\10672_RED_F.jpg","STM\10672_RED_B.jpg","STM\10672_FUS_F.jpg","STM\10672_FUS_B.jpg","STM\10672_NAVY_F.JPG","STM\10672_NAVY_B.jpg"
STM10672-EMR-S/M,Babydoll,STM10672,2,"STM\10672_Black_F.JPG","STM\10672_Black_B.JPG","STM\10672_RED_F.jpg","STM\10672_RED_B.jpg","STM\10672_FUS_F.jpg","STM\10672_FUS_B.jpg","STM\10672_NAVY_F.JPG","STM\10672_NAVY_B.jpg"
STM10672-WHT-LXL,Babydoll,STM10672,0,"STM\10672_Black_F.JPG","STM\10672_Black_B.JPG","STM\10672_RED_F.jpg","STM\10672_RED_B.jpg","STM\10672_FUS_F.jpg","STM\10672_FUS_B.jpg","STM\10672_NAVY_F.JPG","STM\10672_NAVY_B.jpg"
STM10672-WHT-SM,Babydoll,STM10672,1,"STM\10672_Black_F.JPG","STM\10672_Black_B.JPG","STM\10672_RED_F.jpg","STM\10672_RED_B.jpg","STM\10672_FUS_F.jpg","STM\10672_FUS_B.jpg","STM\10672_NAVY_F.JPG","STM\10672_NAVY_B.jpg"
STM10672X-BLK-1X/2X,Babydoll,STM10672X-BLK-1X/2X,47,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10672X-BLK-3X/4X,Babydoll,STM10672X-BLK-3X/4X,209,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10672X-FUC-1X/2X,Babydoll,STM10672X,0,"STM\10672X_FUS_F.jpg","STM\10672X_FUS_B.jpg"
STM10672X-FUC-3X/4X,Babydoll,STM10672X,0,"STM\10672X_FUS_F.jpg","STM\10672_FUS_B.jpg"
STM10672X-NVY-1X/2X,Babydoll,STM10672X,79,"STM\10672X_NAVY_F.jpg","STM\10672X_NAVY_B.jpg"
STM10672X-NVY-3X/4X,Babydoll,STM10672X,394,"STM\10672X_NAVY_F.jpg","STM\10672X_NAVY_B.jpg"
