stock_code,description,parent_stock_type,parent_stock_code,stock_available,post_type,image_1,image_2
MSB497-PNK-S/M,"Cupless & Crotchless Baby Doll & G-String - Pink Small/Medium",Lingerie,MSB497,1,product,"Magic Silk\B497PIN.jpg","Magic Silk\B497PIN_Back.jpg"
MSB497-PNK-L/XL,"Cupless & Crotchless Baby Doll & G-String - Pink Large/X-Large",Lingerie,MSB497,1,product,"Magic Silk\B497PIN.jpg","Magic Silk\B497PIN_Back.jpg"
MSB561-BLK-S/M,"Keyhole Teddy - Black Small/Medium",Lingerie,MSB561,1,product,"Magic Silk\B561BLK_Alt1.jpg","Magic Silk\B561BLK_Back.jpg"
MSB561-BLK-L/XL,"Keyhole Teddy - Black Large/X-Large",Lingerie,MSB561,1,product,"Magic Silk\B561BLK_Alt1.jpg","Magic Silk\B561BLK_Back.jpg"
MSB561-BLK-QUEEN,"Keyhole Teddy - Black Queen Size",Lingerie,MSB561,1,product,"Magic Silk\B561BLK_QS.jpg","Magic Silk\B561BLK_Back_QS.jpg"
MSB561-WHT-S/M,"Keyhole Teddy - White Small/Medium",Lingerie,MSB561,1,product,"Magic Silk\B561WHT_1.jpg","Magic Silk\B561WHT_2.jpg"
MSB561-WHT-L/XL,"Keyhole Teddy - White Large/X-Large",Lingerie,MSB561,1,product,"Magic Silk\B561WHT_1.jpg","Magic Silk\B561WHT_2.jpg"
MSB561-WHT-QUEEN,"Keyhole Teddy - White Queen Size",Lingerie,MSB561,1,product,"Magic Silk\B561WHT.jpg","Magic Silk\B561WHT_Back.jpg"
MSB574-BLK-QS,,"Bra Set",MSB574-BLK-QS,2,product,"Magic Silk\B574BLK_QS.jpg","Magic Silk\B574BLK_Back_QS.jpg"
MSB576-BLK-L/XL,"Strappy Chemise & G-String - Black Large/X-Large",Lingerie,MSB576,1,product,"Magic Silk\B576BLK.jpg","Magic Silk\B576BLK_Back.jpg"
MSB576-BLK-QS,,Chemise,MSB576-BLK-QS,2,product,"Magic Silk\B576BLK_QS.jpg","Magic Silk\B576BLK_Back_QS.jpg"
MSB578-BLK-L/XL,"Long Sleeve Cupless & Crotchless Teddy - Black Large/X-Large",Lingerie,MSB578,3,product,"Magic Silk\B578BLK.jpg","Magic Silk\B578BLK_Back.jpg"
MSB579-BLK-QS,,Boyshort,MSB579-BLK-QS,3,product,"Magic Silk\B579BLK.jpg","Magic Silk\B579BLK_Back.jpg"
MSB585-BLK-S/M,"Cropped Bustier & High Waist Panty Set - Black Small/Medium",Lingerie,MSB585,2,product,"Magic Silk\B585BLK.jpg","Magic Silk\B585BLK_Back.jpg"
MSB585-BLK-L/XL,"Cropped Bustier & High Waist Panty Set - Black Large/X-Large",Lingerie,MSB585,3,product,"Magic Silk\B585BLK.jpg","Magic Silk\B585BLK_Back.jpg"
MSB586,,Lingerie,MSB586,0,product,"Magic Silk\B586BLK.jpg","Magic Silk\B586BLK_Back.jpg"
MSB590-BLK-QS,,"Gowns & Robes",MSB590-BLK-QS,1,product,"Magic Silk\B590BLK_ALT1.jpg","Magic Silk\B590BLK_Back.jpg"
MSB597-BLK-S/M,"Crop Top & Short Set - Black Small/Medium",Lingerie,MSB597,1,product,"Magic Silk\B597BLK.jpg","Magic Silk\B597BLK_Back.jpg"
MSB676-BLK-L/XL,"Teddy with Snap Crotch & Chaps Set - Black Large/X-Large",Lingerie,MSB676,1,product,"Magic Silk\B676BLK.jpg","Magic Silk\B676BLK_Back.jpg"
MSB676-BLK-QS,,Teddy,MSB676-BLK-QS,1,product,"Magic Silk\B676BLK.jpg","Magic Silk\B676BLK_Back.jpg"
MSB678-BLK-L/XL,"Halter Merry Widow, Bandeau & G-String Set - Black Large/X-Large",Lingerie,MSB678,20,product,"Magic Silk\B678BLK.jpg","Magic Silk\B678BLK_Back.jpg"
MSB701,,Merrywidow,MSB701,11,product,"Magic Silk\B701BLK.jpg","Magic Silk\B701_Back.jpg"
MSB774-WHT-QUEEN,"Bra, Garter Skirt & G-string - White Queen Size",Lingerie,MSB774,9,product,"Magic Silk\B774WHT.jpg","Magic Silk\B774 white back.jpg"
MSB776-RED-QUEEN,"Cupless & Crotchless Teddy - Red Queen Size",Lingerie,MSB776,1,product,"Magic Silk\B776RED.jpg",
MSB807,,Babydoll,MSB807,15,product,"Magic Silk\B807WHT.jpg","Magic Silk\B807WHT Back.jpg","Magic Silk\B807WHT 2.jpg"
MSB858,,G-String,MSB858,2,product,"Magic Silk\B858LIP_QS.jpg","Magic Silk\B858LIP_LS_QS.jpg","Magic Silk\B858LIP_ALT_QS.jpg","Magic Silk\B858LIP_Back_QS.jpg"
MSC106-PNK-L/XL,"Way After Schoolgirl - Pink Large/X-Large","Bedroom Costume",MSC106,0,product,"Magic Silk\C106PLA.jpg","Magic Silk\C106PLA_Back.jpg"
MSC106-RED-L/XL,"Way After Schoolgirl - Red Large/X-Large","Bedroom Costume",MSC106,1,product,"Magic Silk\C106RED.jpg","Magic Silk\C106RED_Back.jpg"
MSC106-PNK-QS,,"Bedroom Costume",MSC106-PNK-QS,0,product,"Magic Silk\C106PLA.jpg","Magic Silk\C106PLA_Back.jpg"
MSC129-RED-QS,,"Bedroom Costume",MSC129-RED-QS,1,product,"Magic Silk\C129RED.jpg","Magic Silk\C129RED_Back.jpg"
MSC306-WHT-S/M,"Nurse This - White Small/Medium","Bedroom Costume",MSC306,8,product,"Magic Silk\C306WHT_Censored.jpg","Magic Silk\C306WHT_Back.jpg"
MSC306-WHT-L/XL,"Nurse This - White Large/X-Large","Bedroom Costume",MSC306,0,product,"Magic Silk\C306WHT_Censored.jpg","Magic Silk\C306WHT_Back.jpg"
MSC308-BLK-QS,,"Bedroom Costume",MSC308-BLK-QS,22,product,"Magic Silk\C308BLK.jpg","Magic Silk\C308BLK_Back.jpg"
MSC309-RED-L/XL,"Varsity Vixen - Red Large/X-Large","Bedroom Costume",MSC309,21,product,"Magic Silk\C309_Censored.jpg","Magic Silk\C309RED_Back.jpg"
MSC319-BLK-L/XL,"Maid To Order - Black Large/X-Large","Bedroom Costume",MSC319,0,product,"Magic Silk\C319BLK.jpg","Magic Silk\C319BLK_Back.jpg"
MSGB01-BLK-OS,"Garter Belt - Black One Size",Lingerie,MSGB01,3,product,"Magic Silk\GB01BLK.jpg",
MSGB01-WHT-OS,"Garter Belt - White One Size",Lingerie,MSGB01,2,product,"Magic Silk\GB01WHT.jpg",
MSGG01-BLU-OS,"Leg Garter - Blue One Size",Lingerie,MSGG01,12,product,"Magic Silk\GG01 BLU.jpg",
MSL122,,Dress,MSL122,1,product,"Magic Silk\L122BLK.jpg","Magic Silk\L122BLK_Back.jpg"
MSL819,,Bodystocking,MSL819,1,product,"Magic Silk\L119BLK.jpg","Magic Silk\L119BLK_Back.jpg"
MSPAK213-BLK-L/XL,"Aphrodite - Black Large/X-Large",Bondage,MSPAK213,5,product,"Magic Silk\PAK-213ST.jpg","Magic Silk\PAK-213ST_Back.jpg"
MSPAK213-BLK-QUEEN,"Aphrodite - Black Queen Size",Bondage,MSPAK213,4,product,"Magic Silk\Pak213.jpg","Magic Silk\Pak213_Back.jpg","Magic Silk\PAK-213ST_QS .jpg","Magic Silk\PAK-213ST_ALT_QS .jpg","Magic Silk\PAK-213ST_ALT2_QS .jpg"
MSPAK214-BLK-L/XL,"Barbarella - Black Large/X-Large",Bondage,MSPAK214,4,product,"Magic Silk\PAK-214ST.jpg","Magic Silk\PAK-214ST_Back.jpg"
MSPAK214-BLK-QUEEN,"Barbarella - Black Queen Size",Bondage,MSPAK214,1,product,"Magic Silk\PAK-214ST_QS .jpg","Magic Silk\PAK-214ST_ALT_QS .jpg","Magic Silk\PAK-214ST_Back_QS .jpg"
MSPAK215-BLK-S/M,"Vamp - Black Small/Medium",Bondage,MSPAK215,0,product,"Magic Silk\PAK-215ST.jpg","Magic Silk\PAK-215ST_Back.jpg"
MSPAK220-BLK-L/XL,"Xena - Black Large/X-Large",Bondage,MSPAK220,1,product,"Magic Silk\PAK-220ST.jpg","Magic Silk\PAK-220ST_Back.jpg"
MSPAK220-BLK-S/M,"Xena - Black Small/Medium",Bondage,MSPAK220,2,product,"Magic Silk\PAK-220ST.jpg","Magic Silk\PAK-220ST_Back.jpg"
MSPAK220-BLK-QUEEN,"Xena - Black Queen Size",Bondage,MSPAK220,4,product,"Magic Silk\PAK-220ST_QS .jpg","Magic Silk\PAK-220ST_ALT_QS .jpg","Magic Silk\PAK-220ST_ALT2_QS .jpg","Magic Silk\PAK-220ST_Back_QS .jpg"
MSPAK221-BLK-L/XL,"Pandora - Black Large/X-Large",Bondage,MSPAK221,2,product,"Magic Silk\PAK-221ST.jpg","Magic Silk\PAK-221ST_Back.jpg"
MSPAK221-BLK-S/M,"Pandora - Black Small/Medium",Bondage,MSPAK221,1,product,"Magic Silk\PAK-221ST.jpg","Magic Silk\PAK-221ST_Back.jpg"
MSPAK221-BLK-QUEEN,"Pandora - Black Queen Size",Bondage,MSPAK221,4,product,"Magic Silk\PAK-221ST_QS .jpg","Magic Silk\PAK-221ST_ALT_QS .jpg","Magic Silk\PAK-221ST_ALT2_QS .jpg","Magic Silk\PAK-221ST_Back_QS .jpg"
MSPAK229-BLK-L/XL,"Temptress - Black Large/X-Large",Bondage,MSPAK229,6,product,"Magic Silk\PAk-229ST.jpg","Magic Silk\PAK-229ST_Back.jpg"
MSPAK229-BLK-S/M,"Temptress - Black Small/Medium",Bondage,MSPAK229,6,product,"Magic Silk\PAk-229ST.jpg","Magic Silk\PAK-229ST_Back.jpg"
MSPAK229-BLK-QUEEN,"Temptress - Black Queen Size",Bondage,MSPAK229,3,product,"Magic Silk\PAK-229ST_QS .jpg","Magic Silk\PAK-229ST_ALT_QS .jpg","Magic Silk\PAK-229ST_ALT2_QS .jpg","Magic Silk\PAK-229ST_Back_QS .jpg"
MSPAK233-BLK-L/XL,"Cobra - Black Large/X-Large",Bondage,MSPAK233,2,product,"Magic Silk\PAK-233ST.jpg","Magic Silk\PAK-233ST_Back.jpg"
MSPAK235-BLK-S/M,"Madame - Black Small/Medium",Bondage,MSPAK235,1,product,"Magic Silk\PAK-235ST.jpg","Magic Silk\PAK-235ST_Back.jpg"
MSPAK235-BLK-L/XL,"Madame - Black Large/X-Large",Bondage,MSPAK235,4,product,"Magic Silk\PAK-235ST.jpg","Magic Silk\PAK-235ST_Back.jpg"
MSPAK236-BLK-QUEEN,"Raven - Black Queen Size",Bondage,MSPAK236,4,product,"Magic Silk\PAK-236ST_QS .jpg","Magic Silk\PAK-236ST_ALT_QS .jpg","Magic Silk\PAK-236ST_Back_QS .jpg"
MSPAK236-BLK-L/XL,"Raven - Black Large/X-Large",Bondage,MSPAK236,5,product,"Magic Silk\PAK-236ST.jpg","Magic Silk\PAK-236ST_Back.jpg"
MSPAK236-BLK-S/M,"Raven - Black Small/Medium",Bondage,MSPAK236,1,product,"Magic Silk\PAK-236ST.jpg","Magic Silk\PAK-236ST_Back.jpg"
MSPAK237-BLK-S/M,"Electra - Black Small/Medium",Bondage,MSPAK237,11,product,"Magic Silk\PAK-237ST.jpg","Magic Silk\PAK-237ST_Back.jpg"
MSPAK237-BLK-L/XL,"Electra - Black Large/X-Large",Bondage,MSPAK237,8,product,"Magic Silk\PAK-237ST.jpg","Magic Silk\PAK-237ST_Back.jpg"
MSPAK238-BLK-QUEEN,"Mistress - Black Queen Size",Bondage,MSPAK238,3,product,"Magic Silk\PAK-238ST_QS .jpg","Magic Silk\PAK-238ST_ALT_QS .jpg","Magic Silk\PAK-238ST_ALT2_QS .jpg","Magic Silk\PAK-238ST_Back_QS .jpg"
MSPAK238-BLK-L/XL,"Mistress - Black Large/X-Large",Bondage,MSPAK238,4,product,"Magic Silk\PAK-238ST.jpg","Magic Silk\PAK-238ST_Back.jpg"
MSPAK238-BLK-S/M,"Mistress - Black Small/Medium",Bondage,MSPAK238,2,product,"Magic Silk\PAK-238ST.jpg","Magic Silk\PAK-238ST_Back.jpg"
MSPAK239-BLK-S/M,"Jezebel - Black Small/Medium",Bondage,MSPAK239,8,product,"Magic Silk\PAK-239ST.jpg","Magic Silk\PAK-239ST_Back.jpg"
MSPAK239-BLK-L/XL,"Jezebel - Black Large/X-Large",Bondage,MSPAK239,4,product,"Magic Silk\PAK-239ST.jpg","Magic Silk\PAK-239ST_Back.jpg"
MSPAK239-BLK-QUEEN,"Jezebel - Black Queen Size",Bondage,MSPAK239,5,product,"Magic Silk\PAK-239ST_QS .jpg","Magic Silk\PAK-239ST_ALT_QS .jpg","Magic Silk\PAK-239ST_ALT2_QS .jpg","Magic Silk\PAK-239ST_Back_QS .jpg"
MSPAK240-BLK-S/M,"Seducer - Black Small/Medium",Bondage,MSPAK240,2,product,"Magic Silk\PAK-240ST.jpg","Magic Silk\PAK-240ST_Back.jpg"
MSPAK240-BLK-L/XL,"Seducer - Black Large/X-Large",Bondage,MSPAK240,6,product,"Magic Silk\PAK-240ST.jpg","Magic Silk\PAK-240ST_Back.jpg"
MSPAK240-BLK-QUEEN,"Seducer - Black Queen Size",Bondage,MSPAK240,1,product,"Magic Silk\PAK-240ST_QS .jpg","Magic Silk\PAK-240ST_ALT_QS .jpg","Magic Silk\PAK-240ST_Back_QS .jpg"
MSPAK241-BLK-QUEEN,"Selene - Black Queen Size",Bondage,MSPAK241,2,product,"Magic Silk\PAK-241ST_QS .jpg","Magic Silk\PAK-241ST_ALT_QS .jpg","Magic Silk\PAK-241ST_Back_QS .jpg"
MSPAK242-BLK-QUEEN,"Vixen - Black Queen Size",Bondage,MSPAK242,1,product,"Magic Silk\PAK-242ST_QS .jpg","Magic Silk\PAK-242ST_ALT_QS .jpg","Magic Silk\PAK-242ST_ALT2_QS .jpg","Magic Silk\PAK-242ST_Back_QS .jpg"
MSPAK242-BLK-L/XL,"Vixen - Black Large/X-Large",Bondage,MSPAK242,4,product,"Magic Silk\PAK-242ST.jpg","Magic Silk\PAK-242ST_Back.jpg"
MSPAK242-BLK-S/M,"Vixen - Black Small/Medium",Bondage,MSPAK242,6,product,"Magic Silk\PAK-242ST.jpg","Magic Silk\PAK-242ST_Back.jpg"
MSPAK243-BLK-L/XL,"Urania - Black Large/X-Large",Bondage,MSPAK243,7,product,"Magic Silk\PAK-243ST.jpg","Magic Silk\PAK-243ST_Back.jpg"
