stock_code,description,parent_stock_type,parent_stock_code,stock_available
BE627,,Eyelash,BE627,68,"Baci\BE627_01",BE627_01,"Eyelashes\BE627_01"
BE632,,Eyelash,BE632,89,"Baci\BE632_01",BE632_01,"Eyelashes\BE632_01"
BE644,,Eyelash,BE644,59,"Baci\BE644_01",BE644_01,"Eyelashes\BE644_01"
BE647,,Eyelash,BE647,76,"Baci\BE647_01",BE647_01,"Eyelashes\BE647_01"
BE656,,Eyelash,BE656,42,"Baci\BE656_01",BE656_01,"Eyelashes\BE656_01"
BE657,,Eyelash,BE657,32,"Baci\BE657_01",BE657_01,"Eyelashes\BE657_01"
BE658,,Eyelash,BE658,42,"Baci\BE658_01",BE658_01,"Eyelashes\BE658_01"
BE659,,Eyelash,BE659,25,"Baci\BE659_01",BE659_01,"Eyelashes\BE659_01"
BE660,,Eyelash,BE660,24,"Baci\BE660_01",BE660_01,"Eyelashes\BE660_01"
BE661,,Eyelash,BE661,35,"Baci\BE661_01",BE661_01,"Eyelashes\BE661_01"
BE663,,Eyelash,BE663,49,"Baci\BE663_01",BE663_01,"Eyelashes\BE663_01"
BE664,,Eyelash,BE664,19,"Baci\BE664_01",BE664_01,"Eyelashes\BE664_01"
BE666,,Eyelash,BE666,31,"Baci\BE666_01",BE666_01,"Eyelashes\BE666_01"
BE667,,Eyelash,BE667,48,"Baci\BE667_01",BE667_01,"Eyelashes\BE667_01"
BE669,,Eyelash,BE669,63,"Baci\BE669_01",BE669_01,"Eyelashes\BE669_01"
BE671,,Eyelash,BE671,32,"Baci\BE671_01",BE671_01,"Eyelashes\BE671_01"
BE672,,Eyelash,BE672,41,"Baci\BE672_01",BE672_01,"Eyelashes\BE672_01"
BE674,,Eyelash,BE674,22,"Baci\BE674_01",BE674_01,"Eyelashes\BE674_01"
BE675,,Eyelash,BE675,73,"Baci\BE675_01",BE675_01,"Eyelashes\BE675_01"
BE676,,Eyelash,BE676,22,"Baci\BE676_01",BE676_01,"Eyelashes\BE676_01"
BE677,,Eyelash,BE677,41,"Baci\BE677_01",BE677_01,"Eyelashes\BE677_01"
BE678,,Eyelash,BE678,35,"Baci\BE678_01",BE678_01,"Eyelashes\BE678_01"
BE680,,Eyelash,BE680,28,"Baci\BE680_01",BE680_01,"Eyelashes\BE680_01"
BE681,,Eyelash,BE681,65,"Baci\BE681_01",BE681_01,"Eyelashes\BE681_01"
BE682,,Eyelash,BE682,40,"Baci\BE682_01",BE682_01,"Eyelashes\BE682_01"
BE683,,Eyelash,BE683,33,"Baci\BE683_01",BE683_01,"Eyelashes\BE683_01"
BE685,,Eyelash,BE685,1,"Baci\BE685_01",BE685_01,"Eyelashes\BE685_01"
BE686,,Eyelash,BE686,41,"Baci\BE686_01",BE686_01,"Eyelashes\BE686_01"
BE687,,Eyelash,BE687,70,"Baci\BE687_01",BE687_01,"Eyelashes\BE687_01"
BE690,,Eyelash,BE690,26,"Baci\BE690_01",BE690_01,"Eyelashes\BE690_01"
BE691,,Eyelash,BE691,33,"Baci\BE691_01",BE691_01,"Eyelashes\BE691_01"
BW048,,Pastee,BW048,78,"Baci\BW048_01.jpg"
BW088,,Babydoll,BW088,1,"Baci\BW088_01.jpg","Baci\BW088_02.jpg"
BW3026,,Chemise,BW3026,1,"Baci\BW3026_01.jpg","Baci\BW3026_02.jpg"
BW3033,,Teddy,BW3033,157,"Baci\BW3033_01","Baci\BW3033_02.jpg"
BW3040,,Babydoll,BW3040,3,"Baci\BW3040_01","Baci\BW3040_02.jpg"
BW3045,,"Bra Set",BW3045,8,"Baci\BW3045_01","Baci\BW3045_02.jpg"
BW3046,,"Bra Set",BW3046,0,"Baci\BW3046_01","Baci\BW3046_02.jpg"
BW3048,,Garterbelt,BW3048,155,"Baci\BW3048_01","Baci\BW3048_02.jpg"
BW3049,,Garterbelt,BW3049,212,"Baci\BW3049_01.jpg"
BW3050,,"Leg Garter",BW3050,23,"Baci\BW3050_01"
BW3051,,"Leg Garter",BW3051,18,"Baci\BW3051_01"
BW3052,,"Leg Garter",BW3052,132,"Baci\BW3052_01"
BW3054,,Chemise,BW3054,0,"Baci\BW3054_01","Baci\BW3054_02.jpg"
