stock_code,description,parent_stock_type,parent_stock_code,stock_available
PL20026-BLK-S/M,"Take The Plunge Bodysuit Black / Small/Medium",Bodysuit,PL20026,5,"PL\20026-WHT-8045","PL\20026-BLK-8258.jpg"
PL20027,,Bodysuit,PL20027,12,"PL\20027-BLK-7722","PL\20027-BLK-7732.jpg","PL\20027-BLK-7748.jpg","PL\20027-BLK-7748.jpg"
PL20027X,,Bodysuit,PL20027X,5,"PL\20027X-BLK-9829","PL\20027X-BLK-9835.jpg","PL\20027X-BLK-9837.jpg","PL\20027X-BLK-9855.jpg","PL\20027X-BLK-9865.jpg"
PL20030-BLK-M/L,"Shamless Seamless Teddy - Black Medium/Large",Teddy,PL20030,8,"PL\20030-BLK-0931","PL\20030-BLK-0956.jpg","PL\20030-BLK-0946.jpg","PL\20030-BLK-0940.jpg","PL\20030-BLK-0953.jpg"
PL20030-BLK-S/M,"Shamless Seamless Teddy - Black Small/Medium",Teddy,PL20030,1,"PL\20030-BLK-0931","PL\20030-BLK-0956.jpg","PL\20030-BLK-0946.jpg","PL\20030-BLK-0940.jpg","PL\20030-BLK-0953.jpg"
PL20030-PNK-M/L,"Shamless Seamless Teddy - Pink Medium/Large",Teddy,PL20030,5,"PL\20030-PNK-0802","PL\20030-PNK-0810.jpg","PL\20030-PNK-0792.jpg","PL\20030-PNK-0815.jpg"
PL20030-PNK-S/M,"Shamless Seamless Teddy - Pink Small/Medium",Teddy,PL20030,5,"PL\20030-PNK-0802","PL\20030-PNK-0810.jpg","PL\20030-PNK-0792.jpg","PL\20030-PNK-0815.jpg"
PL20031X-BLK-1X/2X,"Dirty Little Secret Bodysuit - Black 1X/2X",Bodysuit,PL20031X,4,"PL\20031X-BLK-1921","PL\20031X-BLK-1920.jpg","PL\20031X-BLK-1929.jpg","PL\20031X-BLK-1942.jpg","PL\20031X-BLK-1948.jpg","PL\20031X-BLK-1940.jpg"
PL20031X-BLK-3X/4X,"Dirty Little Secret Bodysuit - Black 3X/4X",Bodysuit,PL20031X,3,"PL\20031X-BLK-1921","PL\20031X-BLK-1920.jpg","PL\20031X-BLK-1929.jpg","PL\20031X-BLK-1942.jpg","PL\20031X-BLK-1940.jpg","PL\20031X-BLK-1948.jpg"
PL20032-BLK-S/M,"Off The Wall Seamless Bodysuit - Black Small/Medium",Bodysuit,PL20032,2,"PL\20032-BLK-Off-The-Wall-1pc-seamless-body-5839","PL\20032-BLK-Off-The-Wall-1pc-seamless-body-5870.jpg"
