stock_code,description,parent_stock_type,parent_stock_code,stock_available
FV24286-BLK/WHT-S,"Fever Convict Cutie Costume Black & White - Black/White Small","Fancy Dress",FV24286,0,"Fever\24286.jpg"
FV24286-BLK/WHT-XS,"Fever Convict Cutie Costume Black & White - Black/White Extra Small","Fancy Dress",FV24286,0,"Fever\24286.jpg"
FV24540,,Tights,FV24540,0,"Fever\24540_A2.jpg"
FV24549,,Tights,FV24549,0,"Fever\24549.jpg"
FV24550,,Hold-Ups,FV24550,25,"Fever\24550.jpg"
FV24551,,Hold-Ups,FV24551,5,"Fever\24551_A1.jpg"
FV24594,,Hold-Ups,FV24594,0,"Fever\24594.jpg"
FV24597,,Hold-Ups,FV24597,0,"Fever\24597.jpg"
FV24631,,Dress,FV24631,0,"Fever\24631.jpg","Fever\24631_B.jpg"
FV24634-ORG-L,"Fever Convict Queen Costume Orange - Orange Large","Fancy Dress",FV24634,0,"Fever\24634.jpg"
FV24634-ORG-M,"Fever Convict Queen Costume Orange - Orange Medium","Fancy Dress",FV24634,0,"Fever\24634.jpg"
FV24634-ORG-S,"Fever Convict Queen Costume Orange - Orange Small","Fancy Dress",FV24634,0,"Fever\24634.jpg"
FV24731,,Gloves,FV24731,0,"Fever\24731.jpg"
FV24870,,Headband,FV24870,0,"Fever\24870.jpg"
FV24871,,Headband,FV24871,0,"Fever\24871.jpg"
FV25001-BLU-L,"Fever All that Glitters Rule Britannia Costume Bl - Blue Large","Fancy Dress",FV25001,0,"Fever\25001_A3.jpg","Fever\25001_A1.jpg","Fever\25001_B.jpg"
FV25001-BLU-M,"Fever All that Glitters Rule Britannia Costume Bl - Blue Medium","Fancy Dress",FV25001,0,"Fever\25001_A3.jpg","Fever\25001_A1.jpg","Fever\25001_B.jpg"
FV25001-BLU-S,"Fever All that Glitters Rule Britannia Costume Bl - Blue Small","Fancy Dress",FV25001,0,"Fever\25001_A3.jpg","Fever\25001_A1.jpg","Fever\25001_B.jpg"
FV25042,,Gloves,FV25042,0,"Fever\25042.jpg"
FV25431,,Eyelash,FV25431,0,"Fever\25431.jpg"
FV25667,,Wig,FV25667,0,"Fever\25667.jpg"
FV26038-RED-S,"Plentiful Pirate Costume Red - Red Small","Fancy Dress",FV26038,0,"Fever\26038.jpg"
FV26038-RED-M,"Plentiful Pirate Costume Red - Red Medium","Fancy Dress",FV26038,0,"Fever\26038.jpg"
"FV26053-BLU & BLK-XS","Fever Evil Queen Costume, Blue & Black Extra Small","Fancy Dress",FV26053,0,"Fever\26053.jpg"
FV26053-BLU/BLK-XS,"Fever Evil Queen Costume Blue & Black - Blue/Black Extra Small","Fancy Dress",FV26053,0,"Fever\26053.jpg"
FV26145-RED-M,"All That Glitters Vamp Gloss Costume Red - Red Medium","Fancy Dress",FV26145,0,"Fever\26145_A1.jpg","Fever\26145_S.jpg","Fever\26145_B.jpg"
FV26145-RED-S,"All That Glitters Vamp Gloss Costume Red - Red Small","Fancy Dress",FV26145,0,"Fever\26145_A1.jpg","Fever\26145_S.jpg","Fever\26145_B.jpg"
FV26145-RED-XS,"All That Glitters Vamp Gloss Costume Red - Red Extra Small","Fancy Dress",FV26145,0,"Fever\26145_A1.jpg","Fever\26145_S.jpg","Fever\26145_B.jpg"
FV26192-BLK-S,"Fever Tutu Police Costume Black - Black Small","Bedroom Costume",FV26192,0,"Fever\26192.jpg"
FV26222-GRN-M,"Fever Elf Costume Green - Green Medium","Fancy Dress",FV26222,0,"Fever\26222.jpg"
FV26222-GRN-S,"Fever Elf Costume Green - Green Small","Fancy Dress",FV26222,0,"Fever\26222.jpg"
FV26222-GRN-XS,"Fever Elf Costume Green - Green Extra Small","Fancy Dress",FV26222,0,"Fever\26222.jpg"
FV26278,,Gloves,FV26278,0,"Fever\26278.jpg"
FV26279,,Gloves,FV26279,2,"Fever\26279.jpg"
FV26345,,Gloves,FV26345,3,"Fever\26345.jpg"
FV26519-BLK-L,"Fever Storybook Hooded Hottie Black - Black Large","Bedroom Costume",FV26519,0,"Fever\26519.jpg"
FV26519-BLK-M,"Fever Storybook Hooded Hottie Black - Black Medium","Bedroom Costume",FV26519,0,"Fever\26519.jpg"
FV26519-BLK-S,"Fever Storybook Hooded Hottie Black - Black Small","Bedroom Costume",FV26519,1,"Fever\26519.jpg"
FV26520-RED-L,"Fever Storybook Miss Red Red - Red Large","Bedroom Costume",FV26520,0,"Fever\26520.jpg"
FV26520-RED-M,"Fever Storybook Miss Red Red - Red Medium","Bedroom Costume",FV26520,0,"Fever\26520.jpg"
FV26520-RED-S,"Fever Storybook Miss Red Red - Red Small","Bedroom Costume",FV26520,0,"Fever\26520.jpg"
FV26521-BLK-L,"Fever Storybook Red Mistress Black - Black Large","Bedroom Costume",FV26521,0,"Fever\26521.jpg"
FV26521-BLK-M,"Fever Storybook Red Mistress Black - Black Medium","Bedroom Costume",FV26521,5,"Fever\26521.jpg"
FV26521-BLK-S,"Fever Storybook Red Mistress Black - Black Small","Bedroom Costume",FV26521,1,"Fever\26521.jpg"
FV26522-BLU-L,"Fever Fairytale Fairest of Them All Blue - Blue Large","Bedroom Costume",FV26522,0,"Fever\26522.jpg"
FV26522-BLU-M,"Fever Fairytale Fairest of Them All Blue - Blue Medium","Bedroom Costume",FV26522,0,"Fever\26522.jpg"
FV26522-BLU-S,"Fever Fairytale Fairest of Them All Blue - Blue Small","Bedroom Costume",FV26522,0,"Fever\26522.jpg"
FV26523-BLU-L,"Fever Fairytale Forbidden Fruit Blue - Blue Large","Bedroom Costume",FV26523,0,"Fever\26523.jpg"
FV26523-BLU-M,"Fever Fairytale Forbidden Fruit Blue - Blue Medium","Bedroom Costume",FV26523,2,"Fever\26523.jpg"
FV26523-BLU-S,"Fever Fairytale Forbidden Fruit Blue - Blue Small","Bedroom Costume",FV26523,0,"Fever\26523.jpg"
FV26524-BLU-L,"Fever Fairytale Snow Sweetheart Blue - Blue Large","Bedroom Costume",FV26524,0,"Fever\26524.jpg"
FV26524-BLU-M,"Fever Fairytale Snow Sweetheart Blue - Blue Medium","Bedroom Costume",FV26524,0,"Fever\26524.jpg"
FV26524-BLU-S,"Fever Fairytale Snow Sweetheart Blue - Blue Small","Bedroom Costume",FV26524,0,"Fever\26524.jpg"
FV26556-BLK-L,"Fever Sweetheart Queen of Hearts Black - Black Large","Bedroom Costume",FV26556,1,"Fever\26556.jpg"
FV26556-BLK-M,"Fever Sweetheart Queen of Hearts Black - Black Medium","Bedroom Costume",FV26556,0,"Fever\26556.jpg"
FV26556-BLK-S,"Fever Sweetheart Queen of Hearts Black - Black Small","Bedroom Costume",FV26556,0,"Fever\26556.jpg"
FV26557-BLK-L,"Fever Sweetheart Amore Black - Black Large","Bedroom Costume",FV26557,0,"Fever\26557.jpg"
FV26557-BLK-M,"Fever Sweetheart Amore Black - Black Medium","Bedroom Costume",FV26557,0,"Fever\26557.jpg"
FV26557-BLK-S,"Fever Sweetheart Amore Black - Black Small","Bedroom Costume",FV26557,0,"Fever\26557.jpg"
FV26558-BLK-L,"Fever Sweetheart Be Mine Collar & Cuffs Set Bla - Black Large","Bedroom Costume",FV26558,0,"Fever\26558.jpg"
