stock_code,parent_stock_type,parent_stock_code,stock_available
MSB561-BLK-S/M,Lingerie,MSB561,1,"Magic Silk\B561BLK_Alt1.jpg","Magic Silk\B561BLK_Back.jpg"
MSB561-BLK-L/XL,Lingerie,MSB561,1,"Magic Silk\B561BLK_Alt1.jpg","Magic Silk\B561BLK_Back.jpg"
MSB561-BLK-QUEEN,Lingerie,MSB561,1,"Magic Silk\B561BLK_QS.jpg","Magic Silk\B561BLK_Back_QS.jpg"
MSB561-WHT-S/M,Lingerie,MSB561,1,"Magic Silk\B561WHT_1.jpg","Magic Silk\B561WHT_2.jpg"
MSB561-WHT-L/XL,Lingerie,MSB561,1,"Magic Silk\B561WHT_1.jpg","Magic Silk\B561WHT_2.jpg"
MSB561-WHT-QUEEN,Lingerie,MSB561,1,"Magic Silk\B561WHT.jpg","Magic Silk\B561WHT_Back.jpg"
MSB574-BLK-QS,"Bra Set",MSB574-BLK-QS,2,"Magic Silk\B574BLK_QS.jpg","Magic Silk\B574BLK_Back_QS.jpg"
MSB576-BLK-L/XL,Lingerie,MSB576,1,"Magic Silk\B576BLK.jpg","Magic Silk\B576BLK_Back.jpg"
MSB576-BLK-QS,Chemise,MSB576-BLK-QS,2,"Magic Silk\B576BLK_QS.jpg","Magic Silk\B576BLK_Back_QS.jpg"
MSB578-BLK-L/XL,Lingerie,MSB578,3,"Magic Silk\B578BLK.jpg","Magic Silk\B578BLK_Back.jpg"
MSB579-BLK-QS,Boyshort,MSB579-BLK-QS,3,"Magic Silk\B579BLK.jpg","Magic Silk\B579BLK_Back.jpg"
MSB585-BLK-S/M,Lingerie,MSB585,2,"Magic Silk\B585BLK.jpg","Magic Silk\B585BLK_Back.jpg"
MSB585-BLK-L/XL,Lingerie,MSB585,3,"Magic Silk\B585BLK.jpg","Magic Silk\B585BLK_Back.jpg"
MSB586,Lingerie,MSB586,0,"Magic Silk\B586BLK.jpg","Magic Silk\B586BLK_Back.jpg"
MSB590-BLK-QS,"Gowns & Robes",MSB590-BLK-QS,1,"Magic Silk\B590BLK_ALT1.jpg","Magic Silk\B590BLK_Back.jpg"
MSB597-BLK-S/M,Lingerie,MSB597,1,"Magic Silk\B597BLK.jpg","Magic Silk\B597BLK_Back.jpg"
MSB676-BLK-L/XL,Lingerie,MSB676,1,"Magic Silk\B676BLK.jpg","Magic Silk\B676BLK_Back.jpg"
MSB676-BLK-QS,Teddy,MSB676-BLK-QS,1,"Magic Silk\B676BLK.jpg","Magic Silk\B676BLK_Back.jpg"
MSB678-BLK-L/XL,Lingerie,MSB678,20,"Magic Silk\B678BLK.jpg","Magic Silk\B678BLK_Back.jpg"
MSB701,Merrywidow,MSB701,11,"Magic Silk\B701BLK.jpg","Magic Silk\B701_Back.jpg"
MSB774-WHT-QUEEN,Lingerie,MSB774,9,"Magic Silk\B774WHT.jpg","Magic Silk\B774 white back.jpg"
MSB776-RED-QUEEN,Lingerie,MSB776,1,"Magic Silk\B776RED.jpg"
MSB807,Babydoll,MSB807,15,"Magic Silk\B807WHT.jpg","Magic Silk\B807WHT Back.jpg","Magic Silk\B807WHT 2.jpg"
MSB858,G-String,MSB858,2,"Magic Silk\B858LIP_QS.jpg","Magic Silk\B858LIP_LS_QS.jpg","Magic Silk\B858LIP_ALT_QS.jpg","Magic Silk\B858LIP_Back_QS.jpg"
MSC106-PNK-L/XL,"Bedroom Costume",MSC106,0,"Magic Silk\C106PLA.jpg","Magic Silk\C106PLA_Back.jpg"
MSC106-RED-L/XL,"Bedroom Costume",MSC106,1,"Magic Silk\C106RED.jpg","Magic Silk\C106RED_Back.jpg"
MSC106-PNK-QS,"Bedroom Costume",MSC106-PNK-QS,0,"Magic Silk\C106PLA.jpg","Magic Silk\C106PLA_Back.jpg"
MSC129-RED-QS,"Bedroom Costume",MSC129-RED-QS,1,"Magic Silk\C129RED.jpg","Magic Silk\C129RED_Back.jpg"
MSC306-WHT-S/M,"Bedroom Costume",MSC306,8,"Magic Silk\C306WHT_Censored.jpg","Magic Silk\C306WHT_Back.jpg"
MSC306-WHT-L/XL,"Bedroom Costume",MSC306,0,"Magic Silk\C306WHT_Censored.jpg","Magic Silk\C306WHT_Back.jpg"
MSC308-BLK-QS,"Bedroom Costume",MSC308-BLK-QS,22,"Magic Silk\C308BLK.jpg","Magic Silk\C308BLK_Back.jpg"
MSC309-RED-L/XL,"Bedroom Costume",MSC309,21,"Magic Silk\C309_Censored.jpg","Magic Silk\C309RED_Back.jpg"
MSC319-BLK-L/XL,"Bedroom Costume",MSC319,0,"Magic Silk\C319BLK.jpg","Magic Silk\C319BLK_Back.jpg"
MSGB01-BLK-OS,Lingerie,MSGB01,3,"Magic Silk\GB01BLK.jpg"
MSGB01-WHT-OS,Lingerie,MSGB01,2,"Magic Silk\GB01WHT.jpg"
MSGG01-BLU-OS,Lingerie,MSGG01,12,"Magic Silk\GG01 BLU.jpg"
MSL122,Dress,MSL122,1,"Magic Silk\L122BLK.jpg","Magic Silk\L122BLK_Back.jpg"
MSL819,Bodystocking,MSL819,1,"Magic Silk\L119BLK.jpg","Magic Silk\L119BLK_Back.jpg"
MSPAK213-BLK-L/XL,Bondage,MSPAK213,5,"Magic Silk\PAK-213ST.jpg","Magic Silk\PAK-213ST_Back.jpg"
MSPAK213-BLK-QUEEN,Bondage,MSPAK213,4,"Magic Silk\Pak213.jpg","Magic Silk\Pak213_Back.jpg","Magic Silk\PAK-213ST_QS .jpg","Magic Silk\PAK-213ST_ALT_QS .jpg","Magic Silk\PAK-213ST_ALT2_QS .jpg"
MSPAK214-BLK-L/XL,Bondage,MSPAK214,4,"Magic Silk\PAK-214ST.jpg","Magic Silk\PAK-214ST_Back.jpg"
MSPAK214-BLK-QUEEN,Bondage,MSPAK214,1,"Magic Silk\PAK-214ST_QS .jpg","Magic Silk\PAK-214ST_ALT_QS .jpg","Magic Silk\PAK-214ST_Back_QS .jpg"
MSPAK215-BLK-S/M,Bondage,MSPAK215,0,"Magic Silk\PAK-215ST.jpg","Magic Silk\PAK-215ST_Back.jpg"
