stock_code,parent_stock_type,parent_stock_code,stock_available
MP139219-NVY-L,Shorts,MP139219,1,"Male_Power\139219NV"
MP145056-BLK-L,Shorts,MP145056,1,"Male_Power\145056BK.jpg","Male_Power\145056BK_Back.jpg"
MP145056-BLK-M,Shorts,MP145056,3,"Male_Power\145056BK.jpg","Male_Power\145056BK_Back.jpg"
MP145056-BLK-S,Shorts,MP145056,6,"Male_Power\145056BK.jpg","Male_Power\145056BK_Back.jpg"
MP145056-BLK-XL,Shorts,MP145056,3,"Male_Power\145056BK.jpg","Male_Power\145056BK_Back.jpg"
MP145056-WHT-S,Shorts,MP145056,2,"Male_Power\145056WH.jpg","Male_Power\145056WH_Back.jpg"
MP145056-WHT-L,Shorts,MP145056,3,"Male_Power\145056WH.jpg","Male_Power\145056WH_Back.jpg"
MP145056-WHT-XL,Shorts,MP145056,1,"Male_Power\145056WH.jpg","Male_Power\145056WH_Back.jpg"
MP14507B-LME-S,Shorts,MP14507B,1,"Male_Power\14507BLM.jpg"
MP14507B-LME-M,Shorts,MP14507B,1,"Male_Power\14507BLM.jpg"
MP14507B-LME-L,Shorts,MP14507B,1,"Male_Power\14507BLM.jpg"
MP14507B-LME-XL,Shorts,MP14507B,1,"Male_Power\14507BLM.jpg"
MP14507B-ORG-S,Shorts,MP14507B,1,"Male_Power\14507BOR.jpg","Male_Power\14507BOR_Back.jpg"
MP14507B-ORG-L,Shorts,MP14507B,1,"Male_Power\14507BOR.jpg","Male_Power\14507BOR_Back.jpg"
MP14507B-ORG-XL,Shorts,MP14507B,1,"Male_Power\14507BOR.jpg","Male_Power\14507BOR_Back.jpg"
MP14507B-PNK-L,Shorts,MP14507B,1,"Male_Power\14507BPK.jpg"
MP14507B-PNK-M,Shorts,MP14507B,1,"Male_Power\14507BPK.jpg"
MP14507B-PNK-S,Shorts,MP14507B,1,"Male_Power\14507BPK.jpg"
MP14507B-PNK-XL,Shorts,MP14507B,1,"Male_Power\14507BPK.jpg"
MP14507B-YEL-S,Shorts,MP14507B,1,"Male_Power\14507BYE.jpg"
MP14507B-YEL-XL,Shorts,MP14507B,1,"Male_Power\14507BYE.jpg"
MP145160-GRN-M,Shorts,MP145160,1,"Male_Power\145160GN_2.jpg","Male_Power\145160GN_Back.jpg"
MP145162-BLK-S,Shorts,MP145162,6,"Male_Power\145162BK.jpg","Male_Power\145162BK_Back.jpg"
MP145162-BLK-M,Shorts,MP145162,6,"Male_Power\145162BK.jpg","Male_Power\145162BK_Back.jpg"
MP145162-BLK-L,Shorts,MP145162,8,"Male_Power\145162BK.jpg","Male_Power\145162BK_Back.jpg"
MP145162-BLK-XL,Shorts,MP145162,5,"Male_Power\145162BK.jpg","Male_Power\145162BK_Back.jpg"
MP145162-RED-S,Shorts,MP145162,3,"Male_Power\145162RE.jpg","Male_Power\145162RE_Back.jpg"
MP145162-RED-M,Shorts,MP145162,3,"Male_Power\145162RE.jpg","Male_Power\145162RE_Back.jpg"
MP145162-RED-L,Shorts,MP145162,3,"Male_Power\145162RE.jpg","Male_Power\145162RE_Back.jpg"
MP145162-RED-XL,Shorts,MP145162,3,"Male_Power\145162RE.jpg","Male_Power\145162RE_Back.jpg"
MP145162-WHT-M,Shorts,MP145162,1,"Male_Power\145162WH.jpg","Male_Power\145162WH_Back.jpg"
MP145176-BLK-L,Shorts,MP145176,3,"Male_Power\145176BK.jpg","Male_Power\145176BK_Back.jpg"
MP145176-BLK-M,Shorts,MP145176,3,"Male_Power\145176BK.jpg","Male_Power\145176BK_Back.jpg"
MP145176-BLK-S,Shorts,MP145176,3,"Male_Power\145176BK.jpg","Male_Power\145176BK_Back.jpg"
MP145176-BLK-XL,Shorts,MP145176,12,"Male_Power\145176BK.jpg","Male_Power\145176BK_Back.jpg"
MP145194-CRL-S,Shorts,MP145194,1,"Male_Power\145194CR.jpg","Male_Power\145194CR_Back.jpg"
MP145194-CRL-M,Shorts,MP145194,2,"Male_Power\145194CR.jpg","Male_Power\145194CR_Back.jpg"
MP145194-CRL-L,Shorts,MP145194,2,"Male_Power\145194CR.jpg","Male_Power\145194CR_Back.jpg"
MP145194-CRL-XL,Shorts,MP145194,2,"Male_Power\145194CR.jpg","Male_Power\145194CR_Back.jpg"
MP145194-PNK-S,Shorts,MP145194,3,"Male_Power\145194PK.jpg","Male_Power\145194PK_Back.jpg"
MP145194-PNK-M,Shorts,MP145194,2,"Male_Power\145194PK.jpg","Male_Power\145194PK_Back.jpg"
MP145194-PNK-L,Shorts,MP145194,3,"Male_Power\145194PK.jpg","Male_Power\145194PK_Back.jpg"
MP145194-PNK-XL,Shorts,MP145194,3,"Male_Power\145194PK.jpg","Male_Power\145194PK_Back.jpg"
MP145194-TRQ-S,Shorts,MP145194,3,"Male_Power\145194TQ.jpg","Male_Power\145194TQ_Back.jpg"
MP145194-TRQ-L,Shorts,MP145194,2,"Male_Power\145194TQ.jpg","Male_Power\145194TQ_Back.jpg"
MP145194-TRQ-XL,Shorts,MP145194,3,"Male_Power\145194TQ.jpg","Male_Power\145194TQ_Back.jpg"
MP145203-PRNT-S,Shorts,MP145203,2,"Male_Power\145203PR.jpg","Male_Power\145203PR_LS.jpg","Male_Power\145203PR_Back.jpg"
MP145203-PRNT-M,Shorts,MP145203,1,"Male_Power\145203PR.jpg","Male_Power\145203PR_LS.jpg","Male_Power\145203PR_Back.jpg"
MP145203-PRNT-XL,Shorts,MP145203,1,"Male_Power\145203PR.jpg","Male_Power\145203PR_LS.jpg","Male_Power\145203PR_Back.jpg"
MP145215-ROY/BLK-S,Shorts,MP145215,1,"Male_Power\145215RB.jpg","Male_Power\145215RB_Back.jpg"
MP145215-ROY/BLK-XL,Shorts,MP145215,2,"Male_Power\145215RB.jpg","Male_Power\145215RB_Back.jpg"
MP145215-WHT/BLK-S,Shorts,MP145215,1,"Male_Power\145215WB.jpg","Male_Power\145215WB_Back.jpg"
MP145215-WHT/BLK-M,Shorts,MP145215,2,"Male_Power\145215WB.jpg","Male_Power\145215WB_Back.jpg"
MP145215-WHT/BLK-L,Shorts,MP145215,2,"Male_Power\145215WB.jpg","Male_Power\145215WB_Back.jpg"
MP145223-WHT-XL,Shorts,MP145223,4,"Male_Power\145223WH.jpg","Male_Power\145223WH_Back.jpg"
MP145223-WHT-S,Shorts,MP145223,2,"Male_Power\145223WH.jpg","Male_Power\145223WH_Back.jpg"
MP145223-WHT-M,Shorts,MP145223,3,"Male_Power\145223WH.jpg","Male_Power\145223WH_Back.jpg"
MP145223-WHT-L,Shorts,MP145223,4,"Male_Power\145223WH.jpg","Male_Power\145223WH_Back.jpg"
MP145229-ORG-M,Shorts,MP145229,1,"Male_Power\145229OR.jpg","Male_Power\145229OR_Back.jpg"
MP145229-ORG-XL,Shorts,MP145229,1,"Male_Power\145229OR.jpg","Male_Power\145229OR_Back.jpg"
MP145229-PUR-XL,Shorts,MP145229,1,"Male_Power\145229PL.jpg","Male_Power\145229PL_Back.jpg"
MP145232-PRNT-L,Shorts,MP145232,1,"Male_Power\145232BK.jpg","Male_Power\145232BK_Back.jpg"
MP145232-PRNT-S,Shorts,MP145232,1,"Male_Power\145232BK.jpg","Male_Power\145232BK_Back.jpg"
MP145232-PRNT-XL,Shorts,MP145232,8,"Male_Power\145232BK.jpg","Male_Power\145232BK_Back.jpg"
MP145240-PRNT-S,Shorts,MP145240,1,"Male_Power\145240PR.jpg","Male_Power\145240PR_Back.jpg"
MP145240-PRNT-L,Shorts,MP145240,5,"Male_Power\145240PR.jpg","Male_Power\145240PR_Back.jpg"
MP145240-PRNT-XL,Shorts,MP145240,5,"Male_Power\145240PR.jpg","Male_Power\145240PR_Back.jpg"
MP145240-PRNT-M,Shorts,MP145240,5,"Male_Power\145240PR.jpg","Male_Power\145240PR_Back.jpg"
MP153003-BLK-XL,Shorts,MP153003,1,"Male_Power\153003BK_2.jpg","Male_Power\153003BK_Back.jpg"
MP153030-LEO-M,Shorts,MP153030,1,"Male_Power\153030BL.jpg","Male_Power\153030BL_Back.jpg"
MP153032-BLU-S,Shorts,MP153032,2,"Male_Power\153032BE.jpg","Male_Power\153032BE_Back.jpg"
MP153032-BLU-M,Shorts,MP153032,2,"Male_Power\153032BE.jpg","Male_Power\153032BE_Back.jpg"
MP153032-BLU-L,Shorts,MP153032,2,"Male_Power\153032BE.jpg","Male_Power\153032BE_Back.jpg"
MP153032-BLU-XL,Shorts,MP153032,2,"Male_Power\153032BE.jpg","Male_Power\153032BE_Back.jpg"
MP153032-BRN-S,Shorts,MP153032,2,"Male_Power\153032BN.jpg","Male_Power\153032BN_Back.jpg"
MP153032-BRN-M,Shorts,MP153032,2,"Male_Power\153032BN.jpg","Male_Power\153032BN_Back.jpg"
MP153032-BRN-L,Shorts,MP153032,1,"Male_Power\153032BN.jpg","Male_Power\153032BN_Back.jpg"
MP153032-BRN-XL,Shorts,MP153032,2,"Male_Power\153032BN.jpg","Male_Power\153032BN_Back.jpg"
MP153032-WHT-S,Shorts,MP153032,2,"Male_Power\153032WH.jpg","Male_Power\153032WH_Back.jpg"
MP153032-WHT-L,Shorts,MP153032,1,"Male_Power\153032WH.jpg","Male_Power\153032WH_Back.jpg"
MP153032-WHT-XL,Shorts,MP153032,2,"Male_Power\153032WH.jpg","Male_Power\153032WH_Back.jpg"
MP153051-BLK-M,Shorts,MP153051,1,"Male_Power\153051BK.jpg","Male_Power\153051BK_Back.jpg"
MP153051-BLK-L,Shorts,MP153051,2,"Male_Power\153051BK.jpg","Male_Power\153051BK_Back.jpg"
MP153051-BLK-XL,Shorts,MP153051,3,"Male_Power\153051BK.jpg","Male_Power\153051BK_Back.jpg"
MP153051-BLK-S,Shorts,MP153051,0,"Male_Power\153051BK.jpg","Male_Power\153051BK_Back.jpg"
MP153070-SLV-M,Shorts,MP153070-SLV-M,3,"Male_Power\153070SI_1.jpg"
MP153070-SLV-XL,Shorts,MP153070-SLV-XL,12,"Male_Power\153070SI_1.jpg"
MP153070-SLV-L,Shorts,MP153070,1,"Male_Power\153070SI.jpg","Male_Power\153070SI_Back.jpg"
MP153070-GLD-L,Shorts,MP153070,0,"Male_Power\153070GO.jpg","Male_Power\153070GO_Back.jpg"
MP153070-GLD-M,Shorts,MP153070,0,"Male_Power\153070GO.jpg","Male_Power\153070GO_Back.jpg"
MP153070-GLD-S,Shorts,MP153070,0,"Male_Power\153070GO.jpg","Male_Power\153070GO_Back.jpg"
MP153070-GLD-XL,Shorts,MP153070,0,"Male_Power\153070GO.jpg","Male_Power\153070GO_Back.jpg"
MP153070-RED-M,Shorts,MP153070,0,"Male_Power\153070RE.jpg","Male_Power\153070RE_Back.jpg"
MP153070-RED-L,Shorts,MP153070,0,"Male_Power\153070RE.jpg","Male_Power\153070RE_Back.jpg"
MP153070-RED-XL,Shorts,MP153070,0,"Male_Power\153070RE.jpg","Male_Power\153070RE_Back.jpg"
MP153070-RED-S,Shorts,MP153070,0,"Male_Power\153070RE.jpg","Male_Power\153070RE_Back.jpg"
MP153076-RED-L,Shorts,MP153076,1,"Male_Power\153076RE.jpg","Male_Power\153076RE_Back.jpg"
MP153076-RED-S,Shorts,MP153076,1,"Male_Power\153076RE.jpg","Male_Power\153076RE_Back.jpg"
